Date,ACWI IMI QUALITY
1998-11-30,1000.0
1998-12-01,1007.338507261539
1998-12-02,1007.0670174312108
1998-12-03,992.3266252238451
1998-12-04,1010.2327364527902
1998-12-07,1019.7726303904526
1998-12-08,1017.5021153535054
1998-12-09,1021.8586847974864
1998-12-10,1007.2183884043102
1998-12-11,1008.8599048457132
1998-12-14,989.2159514407214
1998-12-15,1004.4530977216098
1998-12-16,1004.4832583539921
1998-12-17,1016.0687577938862
1998-12-18,1021.6791015613537
1998-12-21,1036.7410167622634
1998-12-22,1043.0464040690747
1998-12-23,1065.7918676351467
1998-12-24,1062.1770223646784
1998-12-25,1062.2758407523534
1998-12-28,1066.6593748067685
1998-12-29,1079.1494109747032
1998-12-30,1070.8144759263855
1998-12-31,1072.3080271496408
1999-01-01,1072.3078700925132
1999-01-04,1078.4544985340492
1999-01-05,1089.0342789536662
1999-01-06,1109.9857966624597
1999-01-07,1107.4166359523772
1999-01-08,1107.6672815992442
1999-01-11,1100.7593290223326
1999-01-12,1080.8652968012964
1999-01-13,1073.5607630835716
1999-01-14,1061.4563402372116
1999-01-15,1081.3566605384938
1999-01-18,1086.9900993961692
1999-01-19,1096.5998328501084
1999-01-20,1101.2005343587364
1999-01-21,1081.3922415998818
1999-01-22,1069.3257914158335
1999-01-25,1078.3084537720497
1999-01-26,1098.3453223235847
1999-01-27,1098.7223514536342
1999-01-28,1115.934209254648
1999-01-29,1126.7557012962197
1999-02-01,1127.6990889006945
1999-02-02,1119.2203092681148
1999-02-03,1122.312822331429
1999-02-04,1103.4588043465847
1999-02-05,1090.6458894693653
1999-02-08,1093.8314117297305
1999-02-09,1069.1316710970182
1999-02-10,1071.525996947617
1999-02-11,1096.6716392097685
1999-02-12,1079.8708455429712
1999-02-15,1079.5501240817302
1999-02-16,1085.0248741547982
1999-02-17,1069.1283425368076
1999-02-18,1074.3976398827715
1999-02-19,1076.2881726257478
1999-02-22,1100.441157889098
1999-02-23,1105.025444748018
1999-02-24,1095.0339268773857
1999-02-25,1088.4066427098621
1999-02-26,1078.6217719871247
1999-03-01,1075.3892726968302
1999-03-02,1068.5051521363064
1999-03-03,1068.6032173819995
1999-03-04,1079.0798749962269
1999-03-05,1102.1667661992044
1999-03-08,1111.747489565113
1999-03-09,1112.8196051560155
1999-03-10,1112.1760472677886
1999-03-11,1117.1147484204996
1999-03-12,1114.7193510323941
1999-03-15,1124.74551351961
1999-03-16,1127.188043204276
1999-03-17,1119.6122058099281
1999-03-18,1128.4113170960075
1999-03-19,1116.3296304459363
1999-03-22,1112.9513875667794
1999-03-23,1087.6016251797885
1999-03-24,1093.7371798838908
1999-03-25,1113.55411057992
1999-03-26,1106.6666041634603
1999-03-29,1130.621095679749
1999-03-30,1128.9031778154902
1999-03-31,1121.51712305811
