Date,ACWI SMALL CAP VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,999.9320297037135
1999-01-04,1001.5992452604846
1999-01-05,1006.973215294489
1999-01-06,1023.9509556930532
1999-01-07,1032.5486459032143
1999-01-08,1043.3140169785981
1999-01-11,1053.3242726801247
1999-01-12,1041.1704842194783
1999-01-13,1012.4590977309354
1999-01-14,1007.7191497361041
1999-01-15,1019.3600475327518
1999-01-18,1022.7716784282718
1999-01-19,1025.3030612775356
1999-01-20,1027.594702743727
1999-01-21,1017.8399382499796
1999-01-22,1008.0206503361186
1999-01-25,1005.3302323973846
1999-01-26,1007.4856821351453
1999-01-27,1010.9855283154375
1999-01-28,1016.6667803349915
1999-01-29,1025.9915870161037
1999-02-01,1035.5714332149792
1999-02-02,1032.993502145079
1999-02-03,1031.011006361464
1999-02-04,1031.6475975148262
1999-02-05,1025.9072180217572
1999-02-08,1024.3514735292915
1999-02-09,1009.8272495992056
1999-02-10,1003.5189256585655
1999-02-11,1012.0448164287868
1999-02-12,1012.2739288090823
1999-02-15,1014.1063799359786
1999-02-16,1013.411505261472
1999-02-17,1001.5920065844437
1999-02-18,999.7175120698305
1999-02-19,1006.3566769935935
1999-02-22,1015.257952389487
1999-02-23,1018.4679268237894
1999-02-24,1014.6578082116855
1999-02-25,1008.1550072445078
1999-02-26,1022.128794777143
1999-03-01,1025.9266736356337
1999-03-02,1023.6335337731136
1999-03-03,1021.5023155574448
1999-03-04,1026.1459603074402
1999-03-05,1038.437220449819
1999-03-08,1039.5420331298617
1999-03-09,1041.7636872308362
1999-03-10,1045.545117001507
1999-03-11,1060.2452621168914
1999-03-12,1055.468429150747
1999-03-15,1061.6761960891447
1999-03-16,1071.3606183892962
1999-03-17,1065.547013788647
1999-03-18,1065.7886465218253
1999-03-19,1079.3639516275784
1999-03-22,1076.9818761165104
1999-03-23,1070.77454514833
1999-03-24,1064.3549950561212
1999-03-25,1080.0073890579965
1999-03-26,1089.4244929294646
1999-03-29,1096.6125055650873
1999-03-30,1092.6223337293245
1999-03-31,1097.7201195194123
1999-04-01,1099.3489778108858
1999-04-02,1104.6876518913173
1999-04-05,1112.5332913265265
1999-04-06,1113.4550635137314
1999-04-07,1113.196602535924
1999-04-08,1118.8649671819312
1999-04-09,1133.3884104979863
1999-04-12,1131.90293103338
1999-04-13,1146.4836113508543
1999-04-14,1154.7768283521048
1999-04-15,1171.2689557219098
1999-04-16,1189.510458934046
1999-04-19,1204.6218213914435
1999-04-20,1196.9910689660182
1999-04-21,1201.503613605266
1999-04-22,1209.4816788245153
1999-04-23,1212.3875346202944
1999-04-26,1224.1510557021584
1999-04-27,1224.0636150727905
1999-04-28,1233.003071083459
1999-04-29,1237.724224920744
1999-04-30,1245.1929854138955
1999-05-03,1252.6102454036743
1999-05-04,1253.5768572525842
1999-05-05,1249.869700323503
1999-05-06,1254.2335789635613
1999-05-07,1253.4565970181118
1999-05-10,1264.5385796197463
1999-05-11,1270.6878930805615
1999-05-12,1273.8988530984495
1999-05-13,1274.8857177071466
1999-05-14,1262.8438929706635
1999-05-17,1247.7692904745638
1999-05-18,1252.7810859534984
1999-05-19,1250.1138852823694
1999-05-20,1251.992805406019
1999-05-21,1260.5414861619618
1999-05-24,1249.49810551049
1999-05-25,1241.46589046307
1999-05-26,1256.5131321735132
1999-05-27,1256.8534603759463
1999-05-28,1259.372266144586
1999-05-31,1259.7981576197026
1999-06-01,1263.2637905716986
1999-06-02,1272.1246061539537
1999-06-03,1273.1092632810319
1999-06-04,1284.4007687103044
1999-06-07,1296.192041067395
1999-06-08,1288.278634459204
1999-06-09,1292.4847096310461
1999-06-10,1292.495034858039
1999-06-11,1296.4428312486646
1999-06-14,1297.9402749651972
1999-06-15,1297.0585923445085
1999-06-16,1317.9906414729678
1999-06-17,1328.5829125554264
1999-06-18,1324.0221798449354
1999-06-21,1340.6431328645492
1999-06-22,1344.5577624650848
1999-06-23,1342.6103079632685
1999-06-24,1333.3920011570465
1999-06-25,1321.460031080429
1999-06-28,1340.146238160364
