Date,EAFE SMALL CAP EQUAL WEIGHTED
1998-11-30,1000.0
1998-12-01,988.7121549969175
1998-12-02,996.2062920840391
1998-12-03,988.8301870814861
1998-12-04,985.8844094773938
1998-12-07,982.456927763158
1998-12-08,981.6505006509695
1998-12-09,986.640535767854
1998-12-10,991.852303252
1998-12-11,984.7802566633521
1998-12-14,980.4051752506174
1998-12-15,969.9554297864386
1998-12-16,970.9947141107215
1998-12-17,967.5384299134415
1998-12-18,973.528669712941
1998-12-21,968.6696371284112
1998-12-22,960.2928253660066
1998-12-23,966.999311709814
1998-12-24,962.8290070172505
1998-12-25,967.313729342746
1998-12-28,971.3072980125327
1998-12-29,977.5479759754852
1998-12-30,984.2695453480753
1998-12-31,992.2112120893257
1999-01-01,992.2113520423496
1999-01-04,996.4591858557011
1999-01-05,993.9473420193979
1999-01-06,1000.2384597705902
1999-01-07,1006.7465093633317
1999-01-08,1002.7863382964084
1999-01-11,1014.0847708031724
1999-01-12,1001.036404970641
1999-01-13,983.0294020623433
1999-01-14,987.5283424034209
1999-01-15,980.826638718185
1999-01-18,986.6919047228384
1999-01-19,994.3722268413792
1999-01-20,996.6718325290069
1999-01-21,998.8232700885884
1999-01-22,984.9973852773054
1999-01-25,987.1008978985944
1999-01-26,994.7571617670008
1999-01-27,991.1368586405399
1999-01-28,983.9501233280497
1999-01-29,988.4684579296388
1999-02-01,995.7456648720383
1999-02-02,1008.8095662297886
1999-02-03,1005.260335328308
1999-02-04,1006.9327943384608
1999-02-05,1000.318403246745
1999-02-08,996.587655854988
1999-02-09,991.3719988767235
1999-02-10,986.3352091733979
1999-02-11,989.0588571098883
1999-02-12,990.7861639170311
1999-02-15,986.8708313571337
1999-02-16,979.2585836347048
1999-02-17,972.8683233962951
1999-02-18,967.3185345609468
1999-02-19,963.5751958378966
1999-02-22,968.8707643078565
1999-02-23,970.8619851994935
1999-02-24,965.6741304559158
1999-02-25,974.2319682477355
1999-02-26,977.9019374467836
1999-03-01,971.9996551057702
1999-03-02,966.0456023852842
1999-03-03,964.6173304121904
1999-03-04,954.018203518317
1999-03-05,976.7662213378109
1999-03-08,976.9352742098826
1999-03-09,982.5075670167023
1999-03-10,997.5147341499782
1999-03-11,998.3117007933809
1999-03-12,1010.2030882844354
1999-03-15,1020.1218713121202
1999-03-16,1035.2933421822365
1999-03-17,1039.9815335951466
1999-03-18,1029.864055156187
1999-03-19,1044.673726747344
1999-03-22,1043.9547729778044
1999-03-23,1040.394416879351
1999-03-24,1035.7772635363676
1999-03-25,1042.9310103253154
1999-03-26,1034.0253994587817
1999-03-29,1037.8259366169277
1999-03-30,1034.8646688953795
1999-03-31,1049.5076101682005
1999-04-01,1054.1538927035042
1999-04-02,1054.4999000856985
1999-04-05,1058.5862833464125
1999-04-06,1066.199821317544
1999-04-07,1077.5444609666633
1999-04-08,1094.7696811770056
1999-04-09,1099.7807267665976
1999-04-12,1100.1712747757708
1999-04-13,1109.4423864904645
1999-04-14,1116.265521712852
1999-04-15,1116.8351077309371
1999-04-16,1128.404621782946
1999-04-19,1131.1429659102143
1999-04-20,1123.1999935434633
1999-04-21,1111.0116266133793
1999-04-22,1118.9131112583077
1999-04-23,1131.7105969252113
1999-04-26,1142.298299992294
1999-04-27,1144.7697092436695
1999-04-28,1148.383610215577
1999-04-29,1148.5200877489856
1999-04-30,1155.216111563452
1999-05-03,1155.9193244965995
1999-05-04,1158.5227215282143
1999-05-05,1161.359375748928
1999-05-06,1181.3421035449603
1999-05-07,1179.5010973752958
1999-05-10,1189.670193784581
1999-05-11,1183.1193999009615
1999-05-12,1184.489146939309
1999-05-13,1174.4595234018798
1999-05-14,1174.6221798705876
1999-05-17,1151.02793797837
1999-05-18,1146.8105091119326
1999-05-19,1132.6714536703334
1999-05-20,1133.4786399496281
1999-05-21,1131.0599169697523
1999-05-24,1130.9807126703279
1999-05-25,1127.3063944598564
1999-05-26,1122.638215496693
1999-05-27,1122.8369142398024
1999-05-28,1116.8256355038952
1999-05-31,1111.9454752649333
1999-06-01,1127.0050777951649
1999-06-02,1125.9291765181918
1999-06-03,1124.161576295634
1999-06-04,1125.0882169760864
1999-06-07,1136.5404401913936
1999-06-08,1150.4579620811835
1999-06-09,1160.3631377369186
1999-06-10,1174.0310561715523
1999-06-11,1181.0516645308091
1999-06-14,1173.6694686467551
1999-06-15,1168.1112026811636
1999-06-16,1174.979517873384
1999-06-17,1186.5503451450795
1999-06-18,1185.0536547373783
1999-06-21,1190.5496559091998
1999-06-22,1192.9015745857687
1999-06-23,1190.4160931576337
1999-06-24,1184.6125619362117
1999-06-25,1188.3884436764706
1999-06-28,1189.6529952602586
1999-06-29,1192.3435811221918
1999-06-30,1190.0276827545115
1999-07-01,1201.29274137213
1999-07-02,1204.040015141245
1999-07-05,1206.3950802942375
1999-07-06,1207.1635718153238
1999-07-07,1205.0119524550105
1999-07-08,1198.6669108201556
1999-07-09,1202.3182956392677
1999-07-12,1206.9217032582353
1999-07-13,1208.423310809795
1999-07-14,1217.3533446913466
1999-07-15,1224.3748225280917
1999-07-16,1212.0518248221101
1999-07-19,1219.8127027370604
1999-07-20,1226.9949165966102
1999-07-21,1229.1508024156915
1999-07-22,1220.4609944793729
1999-07-23,1214.3643200171919
1999-07-26,1220.1502132854357
1999-07-27,1213.2394703420216
1999-07-28,1217.7830700043362
1999-07-29,1228.4648924894448
1999-07-30,1228.465010354013
1999-08-02,1219.658723986878
1999-08-03,1213.9485015733057
1999-08-04,1220.0151405236388
1999-08-05,1205.4351685346323
1999-08-06,1198.7875855679306
1999-08-09,1194.496915866602
1999-08-10,1196.0209515527629
1999-08-11,1190.0497290083952
1999-08-12,1198.545401135597
1999-08-13,1196.8947043648197
1999-08-16,1218.8810715151142
1999-08-17,1214.5954818784958
1999-08-18,1227.7285733587871
1999-08-19,1232.3288170233348
1999-08-20,1241.345892041555
1999-08-23,1241.9006664006708
1999-08-24,1237.8320306624578
1999-08-25,1239.4009322070858
1999-08-26,1231.3619369341184
1999-08-27,1232.060085366084
1999-08-30,1238.1002938359813
