Date,EAFE SMALL CAP MOMENTUM
1999-05-31,1000.0
1999-06-01,1012.9498322211082
1999-06-02,1015.0832592920942
1999-06-03,1015.5557930996122
1999-06-04,1016.8717013804072
1999-06-07,1028.49478533595
1999-06-08,1037.5840365266768
1999-06-09,1043.8224260414308
1999-06-10,1052.9506881276104
1999-06-11,1061.634918625027
1999-06-14,1054.520737808461
1999-06-15,1047.2429299242021
1999-06-16,1052.603175050233
1999-06-17,1067.7353133389074
1999-06-18,1070.7498316038575
1999-06-21,1078.296725960153
1999-06-22,1083.5536832688083
1999-06-23,1088.8661200362867
1999-06-24,1083.6176779839977
1999-06-25,1084.7633565617705
1999-06-28,1086.1715721296114
1999-06-29,1092.689532781153
1999-06-30,1091.0804961825645
1999-07-01,1107.9857994478941
1999-07-02,1116.7595559748363
1999-07-05,1119.5422493384585
1999-07-06,1120.8677922848526
1999-07-07,1113.1203153103752
1999-07-08,1108.6756420587906
1999-07-09,1109.200831570294
1999-07-12,1117.1570533895194
1999-07-13,1118.962114798726
1999-07-14,1124.2809585594848
1999-07-15,1132.2868497044972
1999-07-16,1120.2000585481255
1999-07-19,1125.720299156258
1999-07-20,1132.5996373706148
1999-07-21,1127.6972169708981
1999-07-22,1118.458623117229
1999-07-23,1106.3341568074118
1999-07-26,1109.9209824073603
1999-07-27,1103.2181253854865
1999-07-28,1117.1081585178697
1999-07-29,1135.3163444412935
1999-07-30,1136.8862250215843
1999-08-02,1129.1273062825874
1999-08-03,1128.4564490016128
1999-08-04,1137.124783764635
1999-08-05,1120.4629998646244
1999-08-06,1114.637616056199
1999-08-09,1108.8418592223893
1999-08-10,1107.4626138180306
1999-08-11,1102.610896452865
1999-08-12,1114.3974985328184
1999-08-13,1114.2690483593292
1999-08-16,1134.6596583114124
1999-08-17,1134.476111038212
1999-08-18,1156.394067963704
1999-08-19,1160.4184432195523
1999-08-20,1164.520845361873
1999-08-23,1165.995330297367
1999-08-24,1165.3659930719873
1999-08-25,1169.7156401467973
1999-08-26,1160.7206917433246
1999-08-27,1160.8210540505904
1999-08-30,1167.7696640962517
1999-08-31,1178.6631731923994
1999-09-01,1188.5524477934478
1999-09-02,1197.966231090668
1999-09-03,1190.1419970030672
1999-09-06,1201.7233320334328
1999-09-07,1198.6984382790629
1999-09-08,1194.6197781599767
1999-09-09,1208.2821334341077
1999-09-10,1211.9379635438202
1999-09-13,1225.4102489022769
1999-09-14,1221.4769116943692
1999-09-15,1220.0901230070679
1999-09-16,1202.3160296114497
1999-09-17,1196.9916989086557
1999-09-20,1198.7208293810065
1999-09-21,1201.821241793374
1999-09-22,1185.1357344214218
1999-09-23,1185.212018910996
1999-09-24,1163.1542583504886
1999-09-27,1155.50939085199
1999-09-28,1168.447259100805
1999-09-29,1163.92400717866
1999-09-30,1182.2810501856554
1999-10-01,1196.8869039806868
1999-10-04,1189.329627786357
1999-10-05,1191.4014383779743
1999-10-06,1190.4402590990746
1999-10-07,1206.2590775666974
1999-10-08,1199.8470696487318
1999-10-11,1206.9108236927138
1999-10-12,1209.7118505848205
1999-10-13,1195.0770313505698
1999-10-14,1196.30180157243
1999-10-15,1187.7273179635993
1999-10-18,1154.999305382403
1999-10-19,1154.431492309842
1999-10-20,1170.7427711193454
1999-10-21,1168.7151223834865
1999-10-22,1167.3929148078498
1999-10-25,1172.0592387045629
1999-10-26,1165.5488463667916
1999-10-27,1162.5809947213313
1999-10-28,1160.033081495983
1999-10-29,1176.7012092919056
1999-11-01,1181.9963538256434
1999-11-02,1190.734170408863
1999-11-03,1191.7124284879758
1999-11-04,1202.095600883947
1999-11-05,1188.9965417948313
1999-11-08,1181.6419892653967
1999-11-09,1187.9134140440322
1999-11-10,1195.6233859351692
1999-11-11,1196.2217682594314
1999-11-12,1190.721815363946
1999-11-15,1195.4067052971782
1999-11-16,1195.5679096940444
1999-11-17,1215.104759342224
1999-11-18,1215.8034493264536
1999-11-19,1220.3364369809979
1999-11-22,1226.6647273668375
1999-11-23,1227.4536206059302
1999-11-24,1217.672708352343
1999-11-25,1210.4843991929788
1999-11-26,1224.2391699823647
1999-11-29,1228.1822612460714
1999-11-30,1226.5816593370243
1999-12-01,1217.6506453637319
1999-12-02,1213.7715093479121
1999-12-03,1233.6880519991419
1999-12-06,1249.434500557096
1999-12-07,1264.4150198505592
1999-12-08,1261.85509515527
1999-12-09,1254.8405549339573
1999-12-10,1261.205424817507
1999-12-13,1255.9947442596947
1999-12-14,1244.153977682116
1999-12-15,1235.4111517154956
1999-12-16,1258.6126477912842
1999-12-17,1251.0264297978945
1999-12-20,1239.4367495646316
1999-12-21,1234.5274347758652
1999-12-22,1253.4814793417356
1999-12-23,1260.8573173358243
1999-12-24,1266.8572281756262
1999-12-27,1258.5419543116188
1999-12-28,1250.7604882634107
