Date,EUROPE SMALL CAP MOMENTUM
1999-05-31,1000.0
1999-06-01,1005.9421051294975
1999-06-02,1000.9312411599707
1999-06-03,997.3298861868024
1999-06-04,997.0679037747386
1999-06-07,1000.6908374180099
1999-06-08,1010.8563027295033
1999-06-09,1011.3951011287922
1999-06-10,1012.3142373340137
1999-06-11,1016.6988253295085
1999-06-14,1011.2089884430371
1999-06-15,1008.7757225288152
1999-06-16,1005.6474547170765
1999-06-17,1011.0438196289048
1999-06-18,1020.6052050578412
1999-06-21,1018.4480506992552
1999-06-22,1014.9056188550513
1999-06-23,1008.7287708281435
1999-06-24,1009.4775111854394
1999-06-25,1013.2027390701381
1999-06-28,1006.9384289102112
1999-06-29,1003.5140557038416
1999-06-30,1002.0031126586011
1999-07-01,1001.9096558475534
1999-07-02,1005.0146425122875
1999-07-05,1010.2272664508276
1999-07-06,1011.1381541908343
1999-07-07,1008.7450832001667
1999-07-08,1006.8039251329383
1999-07-09,1012.0338526641076
1999-07-12,1013.8663593244702
1999-07-13,1011.9370832777705
1999-07-14,1015.7073255832217
1999-07-15,1023.8238953649978
1999-07-16,1019.1282119913685
1999-07-19,1015.2226319887427
1999-07-20,1024.311664844303
1999-07-21,1019.589982952272
1999-07-22,1018.2072950208311
1999-07-23,1012.2317909648133
1999-07-26,1018.7292633446349
1999-07-27,1016.2651197456181
1999-07-28,1019.3813931355122
1999-07-29,1027.16838572641
1999-07-30,1032.1909789390877
1999-08-02,1024.1677395904353
1999-08-03,1026.2445681764252
1999-08-04,1036.045408283798
1999-08-05,1031.8833597983162
1999-08-06,1030.2740625494605
1999-08-09,1023.6790133109234
1999-08-10,1022.7082328052503
1999-08-11,1018.1555460075238
1999-08-12,1027.0653516916655
1999-08-13,1026.5945677381176
1999-08-16,1032.076847086534
1999-08-17,1030.9356448641902
1999-08-18,1038.0006959302846
1999-08-19,1044.6210649463962
1999-08-20,1049.8376012423867
1999-08-23,1046.7572147055234
1999-08-24,1037.0477574772062
1999-08-25,1034.6463597152745
1999-08-26,1033.0589024709893
1999-08-27,1034.9917428876024
1999-08-30,1034.703107504302
