Date,MEXICO HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,973.3685181427433
1999-01-05,947.4217459441284
1999-01-06,945.9099012954728
1999-01-07,937.6356756836979
1999-01-08,934.1520636157496
1999-01-11,912.8277786998935
1999-01-12,859.0066657157057
1999-01-13,766.494483021402
1999-01-14,776.2689455179732
1999-01-15,876.9262828264978
1999-01-18,885.7237360700218
1999-01-19,868.5455141371257
1999-01-20,917.8717156507571
1999-01-21,901.0953090845027
1999-01-22,889.7750134827999
1999-01-25,891.1126786728149
1999-01-26,914.2998627626844
1999-01-27,943.3866491455799
1999-01-28,996.5923929204165
1999-01-29,1007.6049779422781
1999-02-01,1036.4985068267456
1999-02-02,1028.8248629942252
1999-02-03,1035.4450140650326
1999-02-04,1042.051382479818
1999-02-05,1044.1864527465627
1999-02-08,1051.2600483579604
1999-02-09,1031.7154595868383
1999-02-10,1030.0880617585049
1999-02-11,1082.6473566528073
1999-02-12,1079.5749003471892
1999-02-15,1082.9674083899642
1999-02-16,1104.216372749535
1999-02-17,1083.386233626485
1999-02-18,1083.2152344980823
1999-02-19,1114.8765027473373
1999-02-22,1142.615267232913
1999-02-23,1142.454141594715
1999-02-24,1160.360227212846
1999-02-25,1158.2192661790598
1999-02-26,1162.7733778976226
1999-03-01,1158.0405309301836
1999-03-02,1149.0465145905982
1999-03-03,1135.3806619449015
1999-03-04,1178.63840742822
1999-03-05,1207.3343728875375
1999-03-08,1255.9016525147722
1999-03-09,1284.0482522346663
1999-03-10,1329.797873356909
1999-03-11,1336.5747915737932
1999-03-12,1326.8170462053238
1999-03-15,1345.1679954600784
1999-03-16,1384.7690227664464
1999-03-17,1362.389189876418
1999-03-18,1366.0453937974414
1999-03-19,1337.8911998746014
1999-03-22,1324.645393436437
1999-03-23,1302.4473842851894
1999-03-24,1355.0509724171902
1999-03-25,1375.803411309615
1999-03-26,1385.9144850113196
1999-03-29,1435.68422206833
1999-03-30,1445.5875863441508
1999-03-31,1458.8646996910763
1999-04-01,1455.0913527388825
1999-04-02,1461.8574690350072
1999-04-05,1539.6584370780547
1999-04-06,1537.6939861750316
1999-04-07,1526.0686274144116
1999-04-08,1542.2099627903092
1999-04-09,1554.5841860102028
1999-04-12,1577.8379602686632
1999-04-13,1571.2285373208908
1999-04-14,1569.891919555916
1999-04-15,1650.368817121044
1999-04-16,1664.397040713672
1999-04-19,1670.8981664338887
1999-04-20,1643.4316408112459
1999-04-21,1657.2839876058808
1999-04-22,1695.7952973807653
1999-04-23,1684.7333865618984
1999-04-26,1649.1395919720314
1999-04-27,1626.1614417393716
1999-04-28,1665.0698517556996
1999-04-29,1686.063992128751
1999-04-30,1661.30873855915
1999-05-03,1695.0100772431324
1999-05-04,1659.537250508649
1999-05-05,1648.6586057986608
1999-05-06,1702.1919122900515
1999-05-07,1757.1974320870895
1999-05-10,1774.6513501168479
1999-05-11,1767.594003433836
1999-05-12,1717.4187909799862
1999-05-13,1786.4228504369842
1999-05-14,1720.7866990504258
1999-05-17,1715.7449324342924
1999-05-18,1728.5340103318697
1999-05-19,1687.5404132264828
1999-05-20,1710.188237328854
1999-05-21,1660.3269591352328
1999-05-24,1620.781176014024
1999-05-25,1552.373867086577
1999-05-26,1659.1099353958004
1999-05-27,1574.488982289974
1999-05-28,1580.883207603433
1999-05-31,1601.2929036490066
1999-06-01,1593.2533302939896
1999-06-02,1606.5285739471283
1999-06-03,1591.7107198278252
1999-06-04,1618.103659910258
1999-06-07,1642.2990135904008
1999-06-08,1600.560604087664
1999-06-09,1578.0951212672858
1999-06-10,1552.4698575886487
1999-06-11,1510.0275165579064
1999-06-14,1482.6836248784416
1999-06-15,1542.874336395751
1999-06-16,1669.1976830674485
1999-06-17,1692.8555620333177
1999-06-18,1703.5190824171477
1999-06-21,1757.071133098629
1999-06-22,1757.656239238448
1999-06-23,1708.593527610106
1999-06-24,1670.723227725209
1999-06-25,1628.9350353899179
1999-06-28,1680.8780162283244
1999-06-29,1714.0873524113929
1999-06-30,1784.483522667547
1999-07-01,1809.4082080144199
1999-07-02,1832.1009931130664
1999-07-05,1860.9050346455792
1999-07-06,1846.255518324217
1999-07-07,1841.86861942675
1999-07-08,1826.1799385351162
1999-07-09,1828.0628771942443
1999-07-12,1785.6235806099744
1999-07-13,1815.8867449194265
1999-07-14,1825.4098120461103
1999-07-15,1822.9829324741509
1999-07-16,1839.4644256735883
1999-07-19,1884.7352240198459
1999-07-20,1799.9564562580435
1999-07-21,1798.921842693649
1999-07-22,1750.2029958689975
1999-07-23,1686.2171823748947
1999-07-26,1607.519250613208
1999-07-27,1607.855786577567
1999-07-28,1626.309420016799
1999-07-29,1543.249051270699
1999-07-30,1531.886461851524
1999-08-02,1491.2893094915994
1999-08-03,1513.0403311395014
1999-08-04,1478.7950545854887
