Date,TAIWAN HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,997.3009383324126
1999-01-05,962.9693898674566
1999-01-06,972.1914493173841
1999-01-07,995.8795281722843
1999-01-08,1003.4593149262695
1999-01-11,983.6878286600737
1999-01-12,963.9245913241017
1999-01-13,937.8001868877662
1999-01-14,916.9384015998556
1999-01-15,962.8192414631494
1999-01-18,939.7830367085571
1999-01-19,942.114322194606
1999-01-20,938.5065783744384
1999-01-21,940.8192957792467
1999-01-22,928.6567664011322
1999-01-25,905.3473819870884
1999-01-26,905.6837020973647
1999-01-27,916.4951734790186
1999-01-28,901.0759234099763
1999-01-29,892.8912266024121
1999-02-01,891.33497804558
1999-02-02,885.553183120585
1999-02-03,884.5959526162004
1999-02-04,853.5794081856985
1999-02-05,827.66890046484
1999-02-08,890.5302802045835
1999-02-09,868.5693456079715
1999-02-10,888.120701747436
1999-02-11,889.7319344106378
1999-02-12,891.5462426701185
1999-02-15,894.8390090182526
1999-02-16,899.3612276237563
1999-02-17,893.7343350153993
1999-02-18,894.6103889884138
1999-02-19,901.3271415913264
1999-02-22,974.7573989839703
1999-02-23,964.3123515169717
1999-02-24,963.8627193595262
1999-02-25,960.0502862153497
1999-02-26,972.9674220523734
1999-03-01,973.4017693880617
1999-03-02,977.5232062677891
1999-03-03,999.984915516221
1999-03-04,1017.5800009783909
1999-03-05,1011.2496336377199
1999-03-08,1006.1360467570847
1999-03-09,1011.8005382399548
1999-03-10,998.2222769752526
1999-03-11,999.3395996141364
1999-03-12,986.7148715201266
1999-03-15,987.1808596710674
1999-03-16,999.626395987865
1999-03-17,994.426668703998
1999-03-18,1009.4394876009993
1999-03-19,1034.2889710272018
1999-03-22,1039.7338450883879
1999-03-23,1035.7527794569723
1999-03-24,1021.7748898021645
1999-03-25,1043.6056271262776
1999-03-26,1073.306918011998
1999-03-29,1059.332308387808
1999-03-30,1051.7388556930432
1999-03-31,1044.9736646207796
1999-04-01,1071.8353959650474
1999-04-02,1123.1401947692696
1999-04-05,1123.4881021632098
1999-04-06,1114.4827601299066
1999-04-07,1102.1073103015306
1999-04-08,1106.9238903535434
1999-04-09,1113.436495253076
1999-04-12,1088.2478295010972
1999-04-13,1099.644959783199
1999-04-14,1115.790764444112
1999-04-15,1140.9319431723425
1999-04-16,1179.3931622726454
1999-04-19,1238.3167596178812
1999-04-20,1253.042111014893
1999-04-21,1241.6719462858832
1999-04-22,1235.4856718671472
1999-04-23,1253.3090912514208
1999-04-26,1253.152687023446
1999-04-27,1218.963896568324
1999-04-28,1210.970376769216
1999-04-29,1185.3022765223907
1999-04-30,1211.815951874743
1999-05-03,1235.7370150796726
1999-05-04,1256.2972888644135
1999-05-05,1242.601716678802
1999-05-06,1211.7931511779293
1999-05-07,1188.6329551071078
1999-05-10,1207.5397680105257
1999-05-11,1212.3454461205354
1999-05-12,1207.4861088554264
1999-05-13,1200.850073317195
1999-05-14,1218.663683239134
1999-05-17,1216.8180365119206
1999-05-18,1208.5643485083326
1999-05-19,1198.7915706536614
1999-05-20,1205.3924607625866
1999-05-21,1207.0834132866141
1999-05-24,1182.7369289754113
1999-05-25,1144.4069137997765
1999-05-26,1164.080641765228
1999-05-27,1178.7894543402763
1999-05-28,1155.5612082884288
1999-05-31,1127.3155345015455
1999-06-01,1136.9852746928623
1999-06-02,1155.8844263666967
1999-06-03,1174.354733378821
1999-06-04,1180.937511435747
1999-06-07,1208.4305774827055
1999-06-08,1201.6211898859806
1999-06-09,1202.778509021841
1999-06-10,1209.9904427261622
1999-06-11,1232.2181852091308
1999-06-14,1236.3876042452468
1999-06-15,1215.7132178993775
1999-06-16,1225.756739996258
1999-06-17,1244.572943335427
1999-06-18,1236.555192072066
1999-06-21,1261.1287898651585
1999-06-22,1289.0533022725317
1999-06-23,1274.0312366702665
1999-06-24,1270.2164986447751
1999-06-25,1221.5759344285243
1999-06-28,1231.2263737600224
1999-06-29,1259.2067876402857
1999-06-30,1245.1073091155051
1999-07-01,1252.7394789491125
1999-07-02,1270.4667470301715
1999-07-05,1291.3967037285875
1999-07-06,1275.4931864428147
1999-07-07,1272.131061928893
1999-07-08,1290.2144678133996
1999-07-09,1281.401147093939
1999-07-12,1279.9919098138741
1999-07-13,1229.6780903394044
1999-07-14,1186.018794668193
1999-07-15,1197.5344149936286
1999-07-16,1118.2010878915562
1999-07-19,1105.9963374953034
1999-07-20,1147.5569228838222
1999-07-21,1117.9348856280915
1999-07-22,1099.1630031619795
1999-07-23,1112.7147782142915
1999-07-26,1078.5566141874149
1999-07-27,1059.9673115105638
1999-07-28,1080.1507052863499
1999-07-29,1057.0114374848347
1999-07-30,1058.0915041721032
1999-08-02,1048.8451706606993
1999-08-03,1052.8650176756685
1999-08-04,1028.246042563507
1999-08-05,992.1798030552545
