Date,BRAZIL HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,986.3811973347415
1999-01-05,994.4401843562322
1999-01-06,1009.5086103724019
1999-01-07,969.2457345048452
1999-01-08,967.4271459348159
1999-01-11,938.9067765904714
1999-01-12,881.9097233494866
1999-01-13,780.0990488645982
1999-01-14,759.0758598292437
1999-01-15,873.9612715463269
1999-01-18,813.4522173658091
1999-01-19,846.3835378590588
1999-01-20,873.1783923211153
1999-01-21,782.878956876753
1999-01-22,755.527040566051
1999-01-25,723.0089734508615
1999-01-26,748.9664576338287
1999-01-27,733.4585448362386
1999-01-28,745.5577289138405
1999-01-29,746.6654896736117
1999-02-01,851.0971294507042
1999-02-02,900.8372228365995
1999-02-03,876.7797501024415
1999-02-04,874.0556490649959
1999-02-05,872.2411278416896
1999-02-08,854.0083479674495
1999-02-09,849.4345946066427
1999-02-10,859.9682354159993
1999-02-11,855.0120456151978
1999-02-12,860.0136008176893
1999-02-15,863.1899070014593
1999-02-16,867.5521815761984
1999-02-17,842.0729910270453
1999-02-18,827.8525507645743
1999-02-19,827.4618797695409
1999-02-22,807.6997652312759
1999-02-23,793.1494277850541
1999-02-24,782.0304458769926
1999-02-25,759.0573193090449
1999-02-26,782.3705691921264
1999-03-01,748.5299631908963
1999-03-02,752.0469168816621
1999-03-03,769.890313613483
1999-03-04,821.6099812138197
1999-03-05,859.0701529553623
1999-03-08,861.9903461143842
1999-03-09,883.4845666329796
1999-03-10,890.5212095572381
1999-03-11,857.4530556269082
1999-03-12,842.6685904030073
1999-03-15,905.2740894140906
1999-03-16,922.4555017198119
1999-03-17,909.1540639674128
1999-03-18,961.5444479328128
1999-03-19,966.7163523456865
1999-03-22,948.0640927836297
1999-03-23,929.4449932823326
1999-03-24,927.3586472880028
1999-03-25,991.1080655368504
1999-03-26,1022.2196253693332
1999-03-29,1036.2101100847424
1999-03-30,1078.5009218767227
1999-03-31,1102.5354354426427
1999-04-01,1100.9547760291146
1999-04-02,1103.4041771530729
1999-04-05,1135.735988493512
1999-04-06,1167.1035482877633
1999-04-07,1177.906364374001
1999-04-08,1163.6154161264578
1999-04-09,1154.679415494901
1999-04-12,1159.7217225137592
1999-04-13,1173.381123565792
1999-04-14,1191.2640943423924
1999-04-15,1253.850096943711
1999-04-16,1287.9503031399136
1999-04-19,1268.2583558566128
1999-04-20,1215.5597387484434
1999-04-21,1221.1748626889262
1999-04-22,1250.46461802621
1999-04-23,1257.7780240744685
1999-04-26,1235.1397817107716
1999-04-27,1226.1860147079553
1999-04-28,1292.1183393470799
1999-04-29,1312.935638169751
1999-04-30,1325.135074966442
1999-05-03,1317.3768857535645
1999-05-04,1299.2393569278192
1999-05-05,1341.724593941843
1999-05-06,1371.4683027294752
1999-05-07,1399.1215309235884
1999-05-10,1431.3104130357822
1999-05-11,1417.900820161374
1999-05-12,1394.066026185813
1999-05-13,1434.8638772179831
1999-05-14,1432.7456726725159
1999-05-17,1404.38213103452
1999-05-18,1431.8518648255326
1999-05-19,1430.9150331452129
1999-05-20,1400.4462086230071
1999-05-21,1352.573008913971
1999-05-24,1277.2944471551573
1999-05-25,1214.3358444204391
1999-05-26,1308.8066105845653
1999-05-27,1271.4509395515606
1999-05-28,1280.144216027516
1999-05-31,1303.4411559623054
1999-06-01,1277.237381860725
1999-06-02,1296.2038117799561
1999-06-03,1303.4882659327882
1999-06-04,1336.975839482009
1999-06-07,1331.8289532774886
1999-06-08,1309.7299313994806
1999-06-09,1304.5814741158424
1999-06-10,1307.8654964783716
1999-06-11,1328.8487804869226
1999-06-14,1332.0268979286545
1999-06-15,1358.6906400889989
1999-06-16,1425.384839699661
1999-06-17,1439.4134195598554
1999-06-18,1437.852942268139
1999-06-21,1448.1442599437448
1999-06-22,1427.75001773149
1999-06-23,1404.2852314193453
1999-06-24,1367.845531638562
1999-06-25,1331.1757133282063
1999-06-28,1353.7880491178953
1999-06-29,1378.3803784898853
1999-06-30,1423.215444008234
1999-07-01,1436.1802650116065
1999-07-02,1456.2246243646052
1999-07-05,1454.281449978445
1999-07-06,1440.2347704421727
1999-07-07,1463.9418692222055
1999-07-08,1430.3905410536327
1999-07-09,1432.165810712642
1999-07-12,1384.8637371399006
1999-07-13,1380.2531511521133
1999-07-14,1400.9436628107749
1999-07-15,1411.8630271899758
1999-07-16,1425.1577976160088
1999-07-19,1448.8064480694388
1999-07-20,1372.6281103276242
1999-07-21,1383.747167502658
1999-07-22,1375.981059646931
1999-07-23,1363.0647259093123
1999-07-26,1285.1658475936727
1999-07-27,1282.328113899789
1999-07-28,1297.3994303818856
1999-07-29,1276.6952331433363
1999-07-30,1256.204461957519
1999-08-02,1232.523928775162
1999-08-03,1223.7245588101857
1999-08-04,1211.91805518913
1999-08-05,1192.4845874765513
1999-08-06,1195.6562732123007
