Date,INDONESIA HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0000000000002
1999-01-04,992.8218302919864
1999-01-05,1063.7088173920756
1999-01-06,1168.8564325435286
1999-01-07,1254.4093281429996
1999-01-08,1188.9769190311217
1999-01-11,1143.2461959350576
1999-01-12,1125.3758951099178
1999-01-13,1000.8492862814861
1999-01-14,955.0937964788775
1999-01-15,953.253345289052
1999-01-18,961.1587700712629
1999-01-19,960.3720550136934
1999-01-20,957.6765784428737
1999-01-21,931.9023153348093
1999-01-22,905.9497381426096
1999-01-25,834.5388633427182
1999-01-26,888.9379654698699
1999-01-27,932.0120527560055
1999-01-28,930.1115576181438
1999-01-29,976.1338143541908
1999-02-01,971.7156570237212
1999-02-02,958.4801539731367
1999-02-03,995.5307817232365
1999-02-04,965.0161881656187
1999-02-05,941.5546050318387
1999-02-08,899.9972484170527
1999-02-09,924.9773325463419
1999-02-10,942.7905188369729
1999-02-11,940.3346314878132
1999-02-12,930.5648265594575
1999-02-15,936.4097000628592
1999-02-16,933.1810023878276
1999-02-17,926.0098891361132
1999-02-18,934.3561140311392
1999-02-19,944.3212305780049
1999-02-22,932.1688061403781
1999-02-23,948.9771910810579
1999-02-24,966.4042147921524
1999-02-25,949.5885228235379
1999-02-26,946.014822443495
1999-03-01,955.7214349366675
1999-03-02,969.1278871095325
1999-03-03,1004.4952020002313
1999-03-04,1007.9235545395924
1999-03-05,988.0803956716683
1999-03-08,960.4378770879545
1999-03-09,948.3232445387407
1999-03-10,922.08910840964
1999-03-11,910.6404521035004
1999-03-12,925.5575517628995
1999-03-15,954.9895651402459
1999-03-16,988.8131083703805
1999-03-17,984.158981680855
1999-03-18,986.0849288074315
1999-03-19,1010.4331288256943
1999-03-22,999.1312010411244
1999-03-23,1003.9627449072884
1999-03-24,995.16879022273
1999-03-25,997.8768207194895
1999-03-26,1007.9108296998737
1999-03-29,1009.2372102358322
1999-03-30,1018.7367829181812
1999-03-31,1021.3816503070697
1999-04-01,1032.6119064568486
1999-04-02,1040.9437148727468
1999-04-05,1035.384063503407
1999-04-06,1048.2209636194323
1999-04-07,1063.0818362220284
1999-04-08,1062.1805117154422
1999-04-09,1095.9655560995309
1999-04-12,1139.7143925867504
1999-04-13,1185.082997052673
1999-04-14,1186.429917684641
1999-04-15,1205.4987259157328
1999-04-16,1291.3752544014753
1999-04-19,1419.2642554682013
1999-04-20,1340.5068501856947
1999-04-21,1336.6317321410986
1999-04-22,1313.0883021742632
1999-04-23,1312.9491409039692
1999-04-26,1313.8635956496619
1999-04-27,1308.2359699888978
1999-04-28,1345.9694783564344
1999-04-29,1423.5769885056397
1999-04-30,1453.2295435163483
1999-05-03,1545.7449657615084
1999-05-04,1636.9614008372137
1999-05-05,1682.9335582586414
1999-05-06,1752.8276370385515
1999-05-07,1726.7560729190923
1999-05-10,1761.0709866636234
1999-05-11,1747.5455794743484
1999-05-12,1700.280933362271
1999-05-13,1713.1224097060915
1999-05-14,1782.2365071681772
1999-05-17,1763.2311050893263
1999-05-18,1725.6706165803307
1999-05-19,1700.3347011983271
1999-05-20,1656.486558320743
1999-05-21,1693.138450048636
1999-05-24,1705.0834513584614
1999-05-25,1763.139359803205
1999-05-26,1693.0425957556656
1999-05-27,1700.7208995791736
1999-05-28,1655.0127229337038
1999-05-31,1630.9669061516888
1999-06-01,1625.5901257772446
1999-06-02,1610.3104504063256
1999-06-03,1629.7341333888348
1999-06-04,1779.8357725014596
1999-06-07,1845.4412380669517
1999-06-08,2068.7476687067174
1999-06-09,2004.580836067045
1999-06-10,1962.6504045453999
1999-06-11,1979.1204450269097
1999-06-14,2048.171099969547
1999-06-15,2072.269250586394
1999-06-16,2044.7923163137712
1999-06-17,2142.040703959205
1999-06-18,2157.4247829217
1999-06-21,2278.205776239062
1999-06-22,2309.7730534356438
1999-06-23,2270.0708879315953
1999-06-24,2189.125910807961
1999-06-25,2082.9264324829182
1999-06-28,2196.6691507357145
1999-06-29,2176.4173816358457
1999-06-30,2076.754022759761
1999-07-01,2107.2102705609655
1999-07-02,2110.616927674585
1999-07-05,2154.6504302836925
1999-07-06,2266.3973397033064
1999-07-07,2205.6932751467853
1999-07-08,2202.76633939295
1999-07-09,2201.1262255974343
1999-07-12,2206.4968676982826
1999-07-13,2150.010623234423
1999-07-14,2150.682019774095
1999-07-15,2169.445842766094
1999-07-16,2156.7096303180756
