Date,CHINA ALL SHARES HIGH DIVIDEND YIELD
2009-11-30,1000.0
2009-12-01,1011.6683492120005
2009-12-02,1027.9327527806163
2009-12-03,1045.2835375965608
2009-12-04,1051.5372247508155
2009-12-07,1052.9889093041543
2009-12-08,1053.447846637876
2009-12-09,1036.4531852260816
2009-12-10,1035.4028856267469
2009-12-11,1048.3416653318254
2009-12-14,1064.7130546225264
2009-12-15,1061.1283297144228
2009-12-16,1049.3016556236037
2009-12-17,1039.5608156353474
2009-12-18,1030.6030288443667
2009-12-21,1024.9652349404826
2009-12-22,1032.4292755088227
2009-12-23,1036.908782540688
2009-12-24,1044.951462132304
2009-12-25,1045.2031607797726
2009-12-28,1051.8255144176535
2009-12-29,1050.7046345608592
2009-12-30,1059.480550562694
2009-12-31,1072.8556018844931
2010-01-01,1072.8556018844931
2010-01-04,1066.5943633751474
2010-01-05,1096.439101445145
2010-01-06,1108.5371868534992
2010-01-07,1112.5528749232349
2010-01-08,1106.169690458766
2010-01-11,1102.5227227349892
2010-01-12,1107.3400682080892
2010-01-13,1080.1080018929965
2010-01-14,1088.0310658902056
2010-01-15,1091.7342912300032
2010-01-18,1085.4307177207627
2010-01-19,1107.1164793197697
2010-01-20,1098.648872727869
2010-01-21,1079.5887458046232
2010-01-22,1061.570102807445
2010-01-25,1051.4274981236363
2010-01-26,1027.220494871899
2010-01-27,1019.3217353928562
2010-01-28,1033.0053413163382
2010-01-29,1027.742317331499
2010-02-01,1026.9924856973157
2010-02-02,1027.4722924618352
2010-02-03,1058.6436879215923
2010-02-04,1046.4541511561858
2010-02-05,1017.7540001091497
2010-02-08,1008.2606910153135
2010-02-09,1020.3678063651034
2010-02-10,1034.9227546641162
2010-02-11,1053.938983184941
2010-02-12,1053.770862159917
2010-02-15,1054.7733323875514
2010-02-16,1046.7064305302208
2010-02-17,1059.8263516832349
2010-02-18,1058.4513315179097
2010-02-19,1044.26127285518
2010-02-22,1054.1303947630527
2010-02-23,1068.1688187980055
2010-02-24,1063.5003760584186
2010-02-25,1068.0809666983166
2010-02-26,1067.0531994497483
2010-03-01,1106.5590689549413
2010-03-02,1101.5239633015062
2010-03-03,1098.8876600759113
2010-03-04,1088.6101863769727
2010-03-05,1097.7845399205041
2010-03-08,1106.66069187086
2010-03-09,1109.156584407081
2010-03-10,1098.3625555069536
2010-03-11,1095.3552853795284
2010-03-12,1089.212697871612
2010-03-15,1083.0459634480624
2010-03-16,1071.9874041339199
2010-03-17,1091.203489619113
2010-03-18,1103.7688756787722
2010-03-19,1111.3699862802487
2010-03-22,1097.4497860632434
2010-03-23,1096.8108184891332
2010-03-24,1110.1962014903322
2010-03-25,1100.417829220335
2010-03-26,1107.7840274430262
2010-03-29,1113.2400170056628
2010-03-30,1124.4078182691512
2010-03-31,1106.851277334147
2010-04-01,1129.4365808202062
2010-04-02,1131.1116449013684
2010-04-05,1133.8457322026582
2010-04-06,1144.3320959575592
2010-04-07,1169.4437992690348
2010-04-08,1160.1566612840534
2010-04-09,1162.3695481416119
2010-04-12,1139.7680895516123
2010-04-13,1142.3064572987078
2010-04-14,1133.4091137137373
2010-04-15,1137.5674308974633
2010-04-16,1128.3054636793086
2010-04-19,1095.5488969700623
2010-04-20,1110.9942628990723
2010-04-21,1120.8488419795938
2010-04-22,1122.0959020476691
2010-04-23,1111.47156623256
2010-04-26,1134.1772073279217
2010-04-27,1119.0077120656883
2010-04-28,1112.9979003344388
2010-04-29,1108.3089050744918
2010-04-30,1125.6502180981936
2010-05-03,1121.8194066788121
2010-05-04,1125.4325053032082
2010-05-05,1117.232592463418
2010-05-06,1104.5205923741037
2010-05-07,1097.5440283771886
2010-05-10,1108.2300784077515
2010-05-11,1111.6493720843312
2010-05-12,1115.9080149698734
2010-05-13,1145.3454137029873
2010-05-14,1145.3281061168855
2010-05-17,1113.671796495755
2010-05-18,1123.505385265757
2010-05-19,1102.9765257050847
2010-05-20,1086.073714277818
2010-05-21,1069.1629875863443
2010-05-24,1113.7868189306982
2010-05-25,1082.3016440869253
2010-05-26,1097.381254188625
2010-05-27,1116.4664714483777
2010-05-28,1129.017421270341
2010-05-31,1133.4417207238314
2010-06-01,1108.286574890462
2010-06-02,1111.182547405026
2010-06-03,1128.116009977001
2010-06-04,1143.6551762759007
2010-06-07,1128.6130084968083
2010-06-08,1131.5038481551119
2010-06-09,1138.7257138414284
2010-06-10,1131.1812571668581
2010-06-11,1141.165637733239
2010-06-14,1139.6664783451088
2010-06-15,1138.0780145546241
2010-06-16,1137.3449337271763
2010-06-17,1137.2058561081562
2010-06-18,1134.9509894992436
2010-06-21,1178.162375695664
2010-06-22,1183.117180425622
2010-06-23,1187.0561190478318
2010-06-24,1171.9844969068115
2010-06-25,1168.6654501799624
2010-06-28,1164.39435656055
2010-06-29,1142.8802111240573
2010-06-30,1136.043268957536
2010-07-01,1112.3440671162682
2010-07-02,1083.0124631739309
2010-07-05,1084.8624281463042
2010-07-06,1093.3626987578132
2010-07-07,1088.7903078738568
2010-07-08,1089.1896441806848
2010-07-09,1116.507788441726
2010-07-12,1131.7391130083313
2010-07-13,1115.9341823475695
2010-07-14,1115.3708981688048
2010-07-15,1084.122972427997
2010-07-16,1080.9475803211803
2010-07-19,1084.293832273185
