Date,CHINA A ONSHORE HIGH DIVIDEND YIELD
2008-05-30,1000.0
2008-06-02,1010.1321943827038
2008-06-03,1012.9958589979607
2008-06-04,987.5225827703872
2008-06-05,970.5003521897114
2008-06-06,958.0050124590766
2008-06-09,958.3095374002568
2008-06-10,891.5647074245456
2008-06-11,871.141789806846
2008-06-12,866.000653266558
2008-06-13,844.3982969125175
2008-06-16,832.6912384449366
2008-06-17,799.2779671907524
2008-06-18,844.4526503018111
2008-06-19,779.9551266225911
2008-06-20,782.0073080758629
2008-06-23,770.6754266596097
2008-06-24,775.2158842565416
2008-06-25,815.3186508166232
2008-06-26,808.282028241363
2008-06-27,759.8353780666231
2008-06-30,756.1635451561259
2008-07-01,734.7787616594297
2008-07-02,737.4379496032035
2008-07-03,765.6791538037496
2008-07-04,754.8287169559405
2008-07-07,795.7247220995338
2008-07-08,806.6159731452757
2008-07-09,834.0238470905321
2008-07-10,818.4892144934929
2008-07-11,804.7810508305971
2008-07-14,811.6367255233476
2008-07-15,782.4663130047562
2008-07-16,762.4933366048051
2008-07-17,747.2103507890251
2008-07-18,776.137417335318
2008-07-21,802.442034052661
2008-07-22,804.1782501736443
2008-07-23,802.3961812105989
2008-07-24,824.3064846268227
2008-07-25,814.2540095702019
2008-07-28,817.4574345611188
2008-07-29,810.2874061405514
2008-07-30,806.6981090091253
2008-07-31,779.0045248891494
2008-08-01,780.4704060580376
2008-08-04,754.5332761532604
2008-08-05,738.0841615840321
2008-08-06,745.640648457654
2008-08-07,750.6946885634555
2008-08-08,728.907208219548
2008-08-11,692.760057868852
2008-08-12,702.5431562692975
2008-08-13,712.1003120351538
2008-08-14,711.5871557013133
2008-08-15,720.0234504476408
2008-08-18,679.2212126800222
2008-08-19,689.2454264546254
2008-08-20,737.9583731060995
2008-08-21,698.0742858483205
2008-08-22,692.6664890804501
2008-08-25,688.386296584331
2008-08-26,670.5901406554932
2008-08-27,664.0090969064154
2008-08-28,666.2430580173594
2008-08-29,682.4876141524954
2008-09-01,676.3254207641787
2008-09-02,676.47728137817
2008-09-03,671.9016003384214
2008-09-04,676.591803464776
2008-09-05,664.9230249197224
2008-09-08,645.2038389568129
2008-09-09,656.4144221068061
2008-09-10,666.1113795218844
2008-09-11,661.6696632130922
2008-09-12,656.2855248936869
2008-09-15,655.5917525357177
2008-09-16,654.7739564096904
2008-09-17,643.3025047979102
2008-09-18,617.8789607814197
2008-09-19,668.4813906396901
2008-09-22,685.8036497999258
2008-09-23,655.724146432858
2008-09-24,662.9052110993708
2008-09-25,689.0183315344354
2008-09-26,694.5340768787643
2008-09-29,702.8100726682374
2008-09-30,722.2234716071384
2008-10-01,724.5187825974626
2008-10-02,734.9909070045042
2008-10-03,734.724750601461
2008-10-06,714.03820719689
2008-10-07,701.1448041674972
2008-10-08,684.151450792974
2008-10-09,675.8185837240784
2008-10-10,650.2314684268644
2008-10-13,660.8475218056179
2008-10-14,645.1102360399234
2008-10-15,636.7304731159235
2008-10-16,615.7660618987766
2008-10-17,615.8101699705189
2008-10-20,638.610122960209
2008-10-21,642.2454827836989
2008-10-22,642.0170021120972
2008-10-23,647.058850313108
2008-10-24,645.0710278721709
2008-10-27,613.0407733283693
2008-10-28,626.8942130982209
2008-10-29,590.7802436832839
2008-10-30,601.1146520723405
2008-10-31,590.2613432470482
2008-11-03,578.7495627218432
2008-11-04,563.92240755788
2008-11-05,577.1824636761127
2008-11-06,582.704075975796
2008-11-07,588.3034414879563
2008-11-10,626.3257045025713
2008-11-11,636.3523480650852
2008-11-12,640.6407048723164
2008-11-13,666.7016127968269
2008-11-14,682.2206815266791
2008-11-17,701.4421155764547
2008-11-18,654.1460585012551
2008-11-19,688.4904494940553
2008-11-20,685.8340678621787
2008-11-21,681.3890201133825
2008-11-24,642.0200905001458
2008-11-25,631.4667701332994
2008-11-26,643.0311377600618
2008-11-27,653.3473778073343
2008-11-28,652.1477290400397
2008-12-01,663.016618809699
2008-12-02,660.5991301411251
2008-12-03,692.5273084148685
2008-12-04,702.1105087269449
2008-12-05,714.332443735564
2008-12-08,724.1817096363856
2008-12-09,710.005466194533
2008-12-10,716.2528524628821
2008-12-11,685.5517753626496
2008-12-12,649.7859856330133
2008-12-15,640.4685960599659
2008-12-16,643.3589350541469
2008-12-17,622.6827356044404
2008-12-18,627.4059182718171
2008-12-19,656.0320656060948
2008-12-22,646.0879112441813
2008-12-23,613.220797717134
2008-12-24,600.7789181582482
2008-12-25,596.2325528689353
2008-12-26,591.1392972787008
2008-12-29,582.2939726603016
2008-12-30,578.8640989652554
2008-12-31,584.0417006873939
2009-01-01,584.0417006873939
2009-01-02,582.6375527777464
2009-01-05,618.4256599447386
2009-01-06,652.3353048238451
2009-01-07,637.3515025224453
2009-01-08,619.2663951019789
2009-01-09,641.2609489372638
2009-01-12,652.1402571809183
2009-01-13,649.5103419138484
2009-01-14,673.5131294895546
2009-01-15,676.6703980274991
2009-01-16,675.3412733469808
2009-01-19,685.8842543334451
2009-01-20,703.2183850098118
2009-01-21,699.4037251823024
2009-01-22,702.6360280622574
2009-01-23,711.0583152992472
2009-01-26,692.5407486643836
2009-01-27,690.4901781752284
2009-01-28,687.748894573126
2009-01-29,695.347022579993
2009-01-30,709.6988983094044
2009-02-02,722.0026143672679
2009-02-03,731.7331485458509
2009-02-04,757.157684491615
2009-02-05,754.052857736972
2009-02-06,782.8201807332188
2009-02-09,792.4897857692891
2009-02-10,805.5463053809868
2009-02-11,814.1819325732457
2009-02-12,819.5821537503515
2009-02-13,840.1005603509534
2009-02-16,875.2082258607063
2009-02-17,856.104324969441
2009-02-18,813.6485287929501
2009-02-19,820.9003228297973
2009-02-20,846.1802286749331
2009-02-23,855.8325265940813
2009-02-24,818.0648380154898
2009-02-25,820.6732205789258
2009-02-26,774.4102299394065
2009-02-27,750.1246868536286
2009-03-02,765.1101503790377
2009-03-03,767.1220685912997
2009-03-04,812.1952825326317
2009-03-05,818.3104238731312
2009-03-06,804.7274816010831
2009-03-09,776.091726913237
2009-03-10,781.2294421893358
2009-03-11,774.835248716804
2009-03-12,773.443626061444
2009-03-13,762.0548983690743
2009-03-16,764.5162402217226
2009-03-17,791.521904226551
2009-03-18,791.6751135187366
2009-03-19,774.7687406491854
2009-03-20,783.2645690153503
2009-03-23,799.7183756646671
2009-03-24,809.9546307200102
2009-03-25,786.2773148270928
2009-03-26,806.220910478671
2009-03-27,833.6239366636207
2009-03-30,836.3903131945852
2009-03-31,834.5128101498145
2009-04-01,855.7259094332502
2009-04-02,852.2675347443633
2009-04-03,848.721969922612
2009-04-06,849.8931885145535
2009-04-07,858.7075624857177
2009-04-08,828.7345390965187
2009-04-09,843.7706373016399
2009-04-10,865.2546837690053
2009-04-13,881.410224987726
2009-04-14,893.4701957350599
2009-04-15,906.1447272661109
2009-04-16,909.8237567748859
2009-04-17,904.6872642722504
2009-04-20,934.0032885625266
2009-04-21,924.8673715082374
2009-04-22,888.8062755919238
2009-04-23,896.762439410041
2009-04-24,877.6771000616717
2009-04-27,857.4461206972536
2009-04-28,862.3881406508306
2009-04-29,874.28840646562
2009-04-30,884.9827364409025
2009-05-01,884.849184379265
2009-05-04,911.2781961737736
2009-05-05,917.2733940584998
2009-05-06,935.137104188001
2009-05-07,923.730701678272
2009-05-08,914.7482130602713
2009-05-11,881.8083775484212
2009-05-12,906.4360468919859
2009-05-13,913.6990824810836
2009-05-14,911.0657977623097
2009-05-15,912.0786456451859
2009-05-18,930.8410534075656
2009-05-19,929.5499159324017
2009-05-20,911.9955252904861
2009-05-21,888.844571886266
2009-05-22,875.5540760979906
2009-05-25,872.3084008407947
2009-05-26,867.294668212153
2009-05-27,879.2899715375331
2009-05-28,878.5016251995455
2009-05-29,865.3127739257528
2009-06-01,888.0804557600413
2009-06-02,884.428946887062
2009-06-03,908.9714617197246
2009-06-04,911.1677685696482
2009-06-05,917.2411869346138
2009-06-08,932.1463860548827
2009-06-09,930.6747533161368
2009-06-10,944.8182683332972
2009-06-11,932.7326021248527
2009-06-12,916.7157788460427
2009-06-15,948.998930780237
2009-06-16,944.3953275688756
2009-06-17,958.7000518399681
2009-06-18,966.3114637411084
2009-06-19,980.1547756315749
2009-06-22,983.162358232579
2009-06-23,982.7357507850843
2009-06-24,996.313523813499
2009-06-25,1003.5926799448675
2009-06-26,991.1574727342156
2009-06-29,1003.7792711267192
2009-06-30,992.8626655479545
2009-07-01,999.1369729517014
2009-07-02,1016.1378251261762
2009-07-03,1027.5457108259168
2009-07-06,1052.0694308275786
2009-07-07,1041.333028882452
2009-07-08,1047.1428166160078
2009-07-09,1060.529219921126
2009-07-10,1067.4082555594812
2009-07-13,1061.5396418976968
2009-07-14,1088.453429353274
2009-07-15,1091.1843232427814
2009-07-16,1084.3038224216616
2009-07-17,1086.902052584858
2009-07-20,1105.5392931583908
2009-07-21,1088.4712499948894
2009-07-22,1104.784523998351
2009-07-23,1115.0061420298246
2009-07-24,1120.3581927190276
2009-07-27,1137.29868720339
2009-07-28,1150.96667930458
2009-07-29,1106.5460677741278
2009-07-30,1121.8831584369916
2009-07-31,1145.5780000086954
2009-08-03,1151.9093968515467
2009-08-04,1161.4109042389844
2009-08-05,1158.212299559258
2009-08-06,1133.1361062108576
2009-08-07,1107.425654774421
2009-08-10,1111.6810451589247
2009-08-11,1119.5164045604695
2009-08-12,1063.8360604607587
2009-08-13,1066.0415833461957
2009-08-14,1035.6438567689952
2009-08-17,982.3106916868858
2009-08-18,998.5712123508036
2009-08-19,944.7990004153443
2009-08-20,980.4113715040753
2009-08-21,997.390504497341
2009-08-24,1006.5406312386757
2009-08-25,980.1305413207965
2009-08-26,1012.100927797709
2009-08-27,1012.2364980341562
2009-08-28,973.0806783407534
2009-08-31,911.1121545020806
2009-09-01,915.0980023344157
2009-09-02,931.4201020978772
2009-09-03,978.9868282455888
2009-09-04,988.409998816393
2009-09-07,986.8275490630516
2009-09-08,993.4666179075454
2009-09-09,998.7655970655013
2009-09-10,991.8626987054836
2009-09-11,1002.9008313284494
2009-09-14,1018.5999266993683
2009-09-15,1023.8474455899586
2009-09-16,1002.6051764055716
2009-09-17,1017.9453371788303
2009-09-18,985.9739834311209
2009-09-21,1000.3879994643193
2009-09-22,975.6709517776675
2009-09-23,955.0283539908813
2009-09-24,957.0933503775829
2009-09-25,952.3434371934134
2009-09-28,929.5556601110536
2009-09-29,931.2610590062014
2009-09-30,936.4078055539371
2009-10-01,939.976849485417
2009-10-02,937.1771923164598
2009-10-05,935.7036432719372
2009-10-06,928.1215727263534
2009-10-07,932.2939000634741
2009-10-08,927.11571739641
2009-10-09,968.8375223959897
2009-10-12,964.6918889031626
2009-10-13,975.3715916104657
2009-10-14,974.5260286913965
2009-10-15,974.6416487746169
2009-10-16,976.8680552170306
2009-10-19,992.1192298402812
2009-10-20,1009.2502807273755
2009-10-21,1001.330450761207
2009-10-22,994.805313397316
2009-10-23,1012.058358503886
2009-10-26,1024.285315024614
2009-10-27,1009.4268826162374
2009-10-28,1019.4501534970765
2009-10-29,995.2308594191478
2009-10-30,1011.1041340560873
2009-11-02,1035.982335767114
2009-11-03,1058.8244874173413
2009-11-04,1053.8667003221874
2009-11-05,1058.2910528447883
2009-11-06,1064.543628298115
2009-11-09,1061.1747049300984
2009-11-10,1070.3906791463096
2009-11-11,1066.3214191732072
2009-11-12,1076.5537475394817
2009-11-13,1080.9768502505028
2009-11-16,1102.4970206431756
2009-11-17,1113.550024422148
2009-11-18,1105.084640284437
2009-11-19,1119.9103940998336
2009-11-20,1119.4839376860195
2009-11-23,1124.9811856076406
2009-11-24,1089.9857405468995
2009-11-25,1110.4402202276856
2009-11-26,1071.8647869890794
2009-11-27,1048.5344432817205
2009-11-30,1087.6630726924814
2009-12-01,1097.2296363412552
2009-12-02,1107.014869205154
2009-12-03,1106.574040063389
2009-12-04,1134.8312344359533
2009-12-07,1143.7372068235732
2009-12-08,1136.0154127297328
2009-12-09,1117.8239676262613
2009-12-10,1127.374278042241
2009-12-11,1134.7157471247592
2009-12-14,1150.8776475071772
2009-12-15,1153.349638800983
2009-12-16,1143.7590604063193
2009-12-17,1130.6270007451126
2009-12-18,1110.9496725649867
2009-12-21,1111.1729140621565
2009-12-22,1092.065717959567
2009-12-23,1093.932889719348
2009-12-24,1123.3702306679595
2009-12-25,1119.6877383828012
2009-12-28,1135.274099893208
2009-12-29,1139.546806404587
2009-12-30,1164.094798353141
2009-12-31,1164.4420117105635
2010-01-01,1164.4420117105635
2010-01-04,1145.1682567215037
2010-01-05,1156.5257929293248
2010-01-06,1153.0644313336832
2010-01-07,1137.0665286309938
2010-01-08,1137.8367082855555
2010-01-11,1120.6805841564092
2010-01-12,1143.6828569035724
