Date,CHINA HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,973.2004138322353
1999-01-05,969.3287015230785
1999-01-06,990.579852999335
1999-01-07,1004.781921651939
1999-01-08,1016.4278959663653
1999-01-11,1007.5045848672344
1999-01-12,986.175933217937
1999-01-13,911.6770989351538
1999-01-14,869.4186308273343
1999-01-15,907.8651590470602
1999-01-18,895.6836772029544
1999-01-19,873.4110421495939
1999-01-20,850.7461736167284
1999-01-21,845.2814756874615
1999-01-22,815.1303940843709
1999-01-25,802.7812476489578
1999-01-26,805.4191860872793
1999-01-27,839.8359797101587
1999-01-28,830.942113962196
1999-01-29,852.6664199630549
1999-02-01,850.0568993037591
1999-02-02,825.5756937143174
1999-02-03,806.4901094486676
1999-02-04,801.0928180228683
1999-02-05,797.201457494269
1999-02-08,815.6953008976748
1999-02-09,826.8117057371296
1999-02-10,809.3362898168227
1999-02-11,808.3078860455493
1999-02-12,818.5755962916579
1999-02-15,828.8544820564273
1999-02-16,833.0870531380709
1999-02-17,829.2261347749522
1999-02-18,830.0040271582816
1999-02-19,822.2069790879532
1999-02-22,823.1140287349837
1999-02-23,827.8519055809619
1999-02-24,836.3812989177757
1999-02-25,829.1476947771885
1999-02-26,859.5286174837651
1999-03-01,867.6650628793342
1999-03-02,830.041348456731
1999-03-03,862.4140552643735
1999-03-04,855.5377143181656
1999-03-05,856.5457115021602
1999-03-08,835.117029529199
1999-03-09,818.2828405453357
1999-03-10,798.6698785564647
1999-03-11,848.2104005193655
1999-03-12,853.6851117796391
1999-03-15,843.4905656797532
1999-03-16,835.4239937405669
1999-03-17,849.5368327910933
1999-03-18,883.7759662630593
1999-03-19,908.0980367165382
1999-03-22,992.8870456331595
1999-03-23,1027.362584812011
1999-03-24,1002.8511770556497
1999-03-25,990.1126244381119
1999-03-26,967.6757321833236
1999-03-29,973.8172280177995
1999-03-30,961.7158666834656
1999-03-31,968.4571501846038
1999-04-01,978.1923134596218
1999-04-02,983.4917430872921
1999-04-05,985.9256958463831
1999-04-06,983.6816497905709
1999-04-07,1011.3032681393153
1999-04-08,1034.0811066633228
1999-04-09,1098.8293275037727
1999-04-12,1085.4780246571584
1999-04-13,1087.2989165469105
1999-04-14,1090.2455219115875
1999-04-15,1147.4718242950573
1999-04-16,1173.3112889487115
1999-04-19,1234.5008827194195
1999-04-20,1278.7542610023445
1999-04-21,1270.9258169955685
1999-04-22,1287.5756972969166
1999-04-23,1239.5519511406617
1999-04-26,1220.9708988703328
1999-04-27,1224.9654121634107
1999-04-28,1212.2577639503093
1999-04-29,1233.852061127139
1999-04-30,1285.5849761292664
1999-05-03,1283.3999349917724
1999-05-04,1312.373978130193
1999-05-05,1308.6508268189639
1999-05-06,1382.671424800845
1999-05-07,1404.799018019444
1999-05-10,1330.4136237249388
1999-05-11,1373.993914054899
1999-05-12,1385.8640920046792
1999-05-13,1399.1616360991186
1999-05-14,1383.720996025186
1999-05-17,1362.7256086031277
1999-05-18,1369.48906073963
1999-05-19,1368.3981998422867
1999-05-20,1351.5667797280914
1999-05-21,1335.8609889118036
1999-05-24,1375.047156779149
1999-05-25,1384.292049315069
1999-05-26,1387.4994419411946
1999-05-27,1384.7561107490435
1999-05-28,1394.0723937991481
1999-05-31,1486.3583103144626
1999-06-01,1575.1373939424175
1999-06-02,1532.7027194406965
1999-06-03,1543.7997287834824
1999-06-04,1584.2885078134614
1999-06-07,1618.1185664074364
1999-06-08,1590.8230833907185
1999-06-09,1597.3676905963312
1999-06-10,1666.0026153249798
1999-06-11,1737.5216456263497
1999-06-14,1825.5763573692755
1999-06-15,1730.5572698362948
1999-06-16,1823.4524293872942
1999-06-17,1889.1750476680368
1999-06-18,1881.3399952663585
1999-06-21,1964.1735913535797
1999-06-22,2006.2353094708153
1999-06-23,2085.606690981325
1999-06-24,2082.5510967389114
1999-06-25,2018.7707753388036
1999-06-28,2183.9100879686544
1999-06-29,2298.332372120695
1999-06-30,2258.0319470861987
1999-07-01,2241.031358268759
1999-07-02,2283.9256690384186
1999-07-05,2310.966742782012
1999-07-06,2157.0748819799014
1999-07-07,2087.771730987718
1999-07-08,2151.0129170050027
1999-07-09,2169.486329037591
1999-07-12,2155.5963488322923
1999-07-13,2073.107167141798
1999-07-14,1995.4092134322027
1999-07-15,1965.879146804654
1999-07-16,1892.832812439225
1999-07-19,1772.0553855910464
1999-07-20,1814.4973102841373
1999-07-21,1869.2757617662528
1999-07-22,1842.4893297528135
1999-07-23,1880.193743839511
1999-07-26,1807.9789787053717
1999-07-27,1783.3592587205915
1999-07-28,1825.9413332447677
1999-07-29,1833.9350941030646
1999-07-30,1838.019716262487
1999-08-02,1896.9813725301394
1999-08-03,1899.132868874248
1999-08-04,1853.6974623329454
1999-08-05,1822.5701987208045
1999-08-06,1783.4234534164323
