Date,CHINA A INTERNATIONAL HDY
2009-11-30,1000.0
2009-12-01,1002.2739220941917
2009-12-02,1010.9167008067961
2009-12-03,1008.8631580866952
2009-12-04,1041.0733702470977
2009-12-07,1045.352290149715
2009-12-08,1032.41445421852
2009-12-09,1018.6370850615641
2009-12-10,1026.073019891657
2009-12-11,1034.3728915076213
2009-12-14,1049.6051661152792
2009-12-15,1051.9558879312308
2009-12-16,1043.048704086038
2009-12-17,1034.8151487511732
2009-12-18,1022.0455154322506
2009-12-21,1021.4818715544938
2009-12-22,1006.3227592951293
2009-12-23,1006.1336833258233
2009-12-24,1029.656579342146
2009-12-25,1024.3838044862791
2009-12-28,1037.5210578859942
2009-12-29,1041.4504001781415
2009-12-30,1065.1267429911838
2009-12-31,1063.4940901366933
2010-01-01,1063.4940901366936
2010-01-04,1041.1697044339237
2010-01-05,1049.5671588775099
2010-01-06,1044.7261624840178
2010-01-07,1029.9233793532062
2010-01-08,1030.620549880901
2010-01-11,1015.2753929512356
2010-01-12,1033.7230636276013
2010-01-13,1002.3448539482346
2010-01-14,1019.6501358979033
2010-01-15,1027.3806100049078
2010-01-18,1031.4408092867934
2010-01-19,1036.049276528296
2010-01-20,1016.5861939806579
2010-01-21,1028.593132233959
2010-01-22,1016.4065240042094
2010-01-25,1003.0020262804402
2010-01-26,994.1240139335553
2010-01-27,985.3435741153495
2010-01-28,992.5509715416792
2010-01-29,994.4138266668253
2010-02-01,976.317113851131
2010-02-02,971.2280003295216
2010-02-03,998.91799592289
2010-02-04,1001.1993756494965
2010-02-05,992.7109768879993
2010-02-08,990.3711869190647
2010-02-09,993.2517933004372
2010-02-10,1003.1951345495197
2010-02-11,1008.1310604166785
2010-02-12,1017.009309258528
2010-02-15,1018.0939795526875
2010-02-16,1010.1807545620028
2010-02-17,1013.6948770741194
2010-02-18,1015.852386995601
2010-02-19,1024.3475817952685
2010-02-22,1013.5869345106904
2010-02-23,1009.7411799367575
2010-02-24,1020.6676349148875
2010-02-25,1034.9318188837344
2010-02-26,1020.7682785163718
2010-03-01,1043.7929366473836
2010-03-02,1032.1223425447495
2010-03-03,1026.3277023403614
2010-03-04,1013.0092993593416
2010-03-05,1011.4109441049886
2010-03-08,1012.3399157853383
2010-03-09,1022.7138471943979
2010-03-10,1011.1774878196592
2010-03-11,1009.7845911212
2010-03-12,993.4829681259072
2010-03-15,985.7972832250219
2010-03-16,980.2566900360785
2010-03-17,998.1190139605064
2010-03-18,1003.297122008638
2010-03-19,1011.932207721756
2010-03-22,1014.1614112761968
2010-03-23,1008.6854132969089
2010-03-24,1026.247005694933
