Date,KOREA HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1070.7335373870417
1999-01-05,1120.438640760806
1999-01-06,1189.694696713329
1999-01-07,1217.2289995465994
1999-01-08,1188.0408838426586
1999-01-11,1208.4364078518201
1999-01-12,1194.6768181276566
1999-01-13,1164.7465117054269
1999-01-14,1079.03592746374
1999-01-15,1112.7608026596251
1999-01-18,1130.4589543229727
1999-01-19,1119.678961040782
1999-01-20,1116.3571594934788
1999-01-21,1051.6635347141373
1999-01-22,993.0073082858235
1999-01-25,979.5549918813022
1999-01-26,973.568574935068
1999-01-27,1020.6563557914986
1999-01-28,1042.4898652568606
1999-01-29,1049.8021498957742
1999-02-01,1074.8343842453955
1999-02-02,1055.987847074019
1999-02-03,1039.3404009534206
1999-02-04,1039.1965707064342
1999-02-05,1036.2607272482123
1999-02-08,1023.3189773547907
1999-02-09,977.540213138267
1999-02-10,981.5491020378954
1999-02-11,981.3352642864146
1999-02-12,1014.4071376556253
1999-02-15,1018.1536687118
1999-02-16,1023.7780696340984
1999-02-17,1018.9476380761347
1999-02-18,997.9926011777518
1999-02-19,964.0222194555125
1999-02-22,952.8318273459311
1999-02-23,952.6932457874383
1999-02-24,950.4803869702484
1999-02-25,934.0543914413778
1999-02-26,969.9230006173254
1999-03-01,977.4212186563934
1999-03-02,1009.9459891589995
1999-03-03,1002.1185170998378
1999-03-04,1002.3646524720571
1999-03-05,1002.7844123657508
1999-03-08,1036.3455153092339
1999-03-09,1024.638579733909
1999-03-10,1014.4084061813479
1999-03-11,1047.1106232183945
1999-03-12,1061.4542058371162
1999-03-15,1071.4266341277987
1999-03-16,1088.4244995118715
1999-03-17,1072.7963168176404
1999-03-18,1054.28813323494
1999-03-19,1094.4404897986076
1999-03-22,1104.4121433513462
1999-03-23,1106.050252205618
1999-03-24,1113.6595009386622
1999-03-25,1123.0075695298506
1999-03-26,1138.1170122097262
1999-03-29,1131.9215806953885
1999-03-30,1164.5315375232733
1999-03-31,1152.4676252096403
1999-04-01,1180.2681914496507
1999-04-02,1211.3530582296755
1999-04-05,1217.1632411829162
1999-04-06,1256.251579418778
1999-04-07,1260.7115392802202
1999-04-08,1255.249508526767
1999-04-09,1260.736122032685
1999-04-12,1249.499371722386
1999-04-13,1266.8469268626457
1999-04-14,1282.2461308934485
1999-04-15,1351.2915837410096
1999-04-16,1352.5531772062732
1999-04-19,1467.519155582
1999-04-20,1513.0144975810795
1999-04-21,1472.3555027003597
1999-04-22,1460.4139278822365
1999-04-23,1478.2512739878455
1999-04-26,1542.5997718874653
1999-04-27,1566.9669591916004
1999-04-28,1585.4487852170337
1999-04-29,1527.5423392699197
1999-04-30,1509.0077391987656
1999-05-03,1533.3474721228927
1999-05-04,1552.5852449475203
1999-05-05,1540.7983380531664
1999-05-06,1598.357975574776
1999-05-07,1589.9999310817984
1999-05-10,1613.6450641152858
1999-05-11,1559.5234219396173
1999-05-12,1528.5888701742263
1999-05-13,1469.0215096780305
1999-05-14,1436.0500940933725
1999-05-17,1395.7528554988362
1999-05-18,1421.733020850913
1999-05-19,1437.4235571359584
1999-05-20,1400.4563458679393
1999-05-21,1419.7156206951704
1999-05-24,1394.733113234303
1999-05-25,1417.6203540569616
1999-05-26,1481.583826384609
1999-05-27,1508.0625004757599
1999-05-28,1515.764618003518
1999-05-31,1525.0228882041038
1999-06-01,1593.1335963648075
1999-06-02,1645.453465955524
1999-06-03,1660.0921373904168
1999-06-04,1721.988771995055
1999-06-07,1792.9739802174872
1999-06-08,1773.7747744223786
1999-06-09,1679.559944389896
1999-06-10,1774.8595716071782
1999-06-11,1773.6138009474787
1999-06-14,1722.1750211151182
1999-06-15,1716.3365766301517
1999-06-16,1817.1855441243642
1999-06-17,1815.8964726298057
1999-06-18,1824.6556628727546
1999-06-21,1935.3817666080354
1999-06-22,1965.5594222835573
1999-06-23,1977.5324450064838
1999-06-24,1940.9248789869068
1999-06-25,1922.5285769175937
1999-06-28,2014.331840910719
1999-06-29,2013.8407969959899
1999-06-30,1995.0424960196679
1999-07-01,2095.7440782645344
1999-07-02,2145.1090043334016
1999-07-05,2182.195954466444
1999-07-06,2232.181488667896
1999-07-07,2259.4074259828058
1999-07-08,2202.882355287065
1999-07-09,2232.6453230084
1999-07-12,2187.8393048284206
1999-07-13,2168.766174012853
1999-07-14,2082.3201885281533
1999-07-15,2106.189322967665
1999-07-16,2180.8675202225977
1999-07-19,2200.0000303842858
1999-07-20,2089.2829258921765
1999-07-21,1972.1688328414764
1999-07-22,1969.0206379061967
1999-07-23,1858.6071394224998
1999-07-26,1775.7983591826846
1999-07-27,1867.264022223396
1999-07-28,1891.3707187310995
1999-07-29,1967.3195326101686
1999-07-30,1942.7754517293001
1999-08-02,1917.8032365070544
1999-08-03,1941.827533282175
