Date,INDIA HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,997.5223052254871
1999-01-05,1001.7469798442893
1999-01-06,1015.0192917584285
1999-01-07,1025.038749780451
1999-01-08,1055.422323148764
1999-01-11,1092.4405224233462
1999-01-12,1087.4327606459494
1999-01-13,1043.245207859064
1999-01-14,1019.3533162706876
1999-01-15,1008.3677503668381
1999-01-18,1029.3667427446455
1999-01-19,1012.3835678045065
1999-01-20,1015.5334583400031
1999-01-21,1019.6012180529899
1999-01-22,1042.7796928418657
1999-01-25,1020.9624031634115
1999-01-26,1019.9479246014919
1999-01-27,1036.3980065200008
1999-01-28,1024.9270324108074
1999-01-29,1018.6163150418147
1999-02-01,1015.7120935401447
1999-02-02,996.3486058279769
1999-02-03,1013.9175833116163
1999-02-04,1014.1888673248101
1999-02-05,1010.2543745552788
1999-02-08,1019.3382750886236
1999-02-09,1033.738630862357
1999-02-10,1057.4959461695846
1999-02-11,1094.4016597610225
1999-02-12,1073.307908545222
1999-02-15,1076.3382362600464
1999-02-16,1094.471076001519
1999-02-17,1080.0865794606264
1999-02-18,1079.9531222504252
1999-02-19,1069.6841532725396
1999-02-22,1055.876368156962
1999-02-23,1076.927777066222
1999-02-24,1070.3867587351085
1999-02-25,1051.2659207146946
1999-02-26,1048.4229875775093
1999-03-01,1125.5883871271951
1999-03-02,1126.2064178133326
1999-03-03,1110.4700637484157
1999-03-04,1090.2937005142744
1999-03-05,1103.1152078679002
1999-03-08,1133.3156840186184
1999-03-09,1127.8981715140355
1999-03-10,1091.648884475499
1999-03-11,1086.9422286632034
1999-03-12,1075.4332325908795
1999-03-15,1088.7733344385404
1999-03-16,1125.622372998435
1999-03-17,1087.3775327255394
1999-03-18,1089.5054731026928
1999-03-19,1097.0375792436137
1999-03-22,1103.771640691323
1999-03-23,1115.8907407056151
1999-03-24,1093.5784720433116
1999-03-25,1098.4567020634636
1999-03-26,1123.840545938385
1999-03-29,1125.6232546517335
1999-03-30,1149.180872335059
1999-03-31,1146.8170883760756
1999-04-01,1127.014664328428
1999-04-02,1129.522043419402
1999-04-05,1094.3474672340924
1999-04-06,1091.2455357716094
1999-04-07,1085.025495688844
1999-04-08,1074.1577701520523
1999-04-09,1045.6409186835724
1999-04-12,1048.901508233528
1999-04-13,1046.6894355976674
1999-04-14,1044.7046854885423
1999-04-15,1014.0140542614546
1999-04-16,1071.5122051013666
1999-04-19,1035.363570668339
1999-04-20,1028.6481582418683
1999-04-21,1033.1192263699031
1999-04-22,1014.3209481379811
1999-04-23,988.7642783397065
1999-04-26,939.7584655480377
1999-04-27,936.0919782145561
1999-04-28,960.8801056213484
1999-04-29,979.7195184493328
1999-04-30,981.3003216637827
1999-05-03,989.0567113652163
1999-05-04,1015.920172639006
1999-05-05,1012.9974098406054
1999-05-06,1030.1625014621927
1999-05-07,1041.7225114441835
1999-05-10,1072.4633334626833
1999-05-11,1094.1545877312287
1999-05-12,1065.4976897123752
1999-05-13,1115.0846528805957
1999-05-14,1156.6912065066833
1999-05-17,1180.9968091727894
1999-05-18,1202.4279314456394
1999-05-19,1215.5267794826148
1999-05-20,1188.566570837251
1999-05-21,1155.3236279949735
1999-05-24,1126.7145524452696
1999-05-25,1140.4261321695194
1999-05-26,1120.3583843792876
1999-05-27,1084.5415811791377
1999-05-28,1052.321904115984
1999-05-31,1102.4306065186827
1999-06-01,1085.0138459478637
1999-06-02,1102.7749847653497
1999-06-03,1124.8065366329006
1999-06-04,1162.6108318497775
1999-06-07,1219.3339129436813
1999-06-08,1214.8291817168313
1999-06-09,1199.0176448171724
1999-06-10,1195.790325691707
1999-06-11,1160.0773406445066
1999-06-14,1146.702903527755
1999-06-15,1126.4558751115317
1999-06-16,1167.8087620468534
1999-06-17,1185.1769871559804
1999-06-18,1174.1218196671923
1999-06-21,1230.8325681414399
1999-06-22,1250.8199511887426
1999-06-23,1233.5957277237235
1999-06-24,1213.7477993406208
1999-06-25,1195.783941486069
1999-06-28,1227.0240411842638
1999-06-29,1230.9456158748717
1999-06-30,1223.536097109533
1999-07-01,1215.7583759386935
1999-07-02,1228.6901333697972
1999-07-05,1299.6854677938143
1999-07-06,1326.0958005316024
1999-07-07,1324.6602488735691
1999-07-08,1315.4564906203912
1999-07-09,1348.7666649077019
1999-07-12,1450.315504318301
1999-07-13,1455.6454518674714
1999-07-14,1459.9255455894183
1999-07-15,1433.5391860368893
1999-07-16,1438.2397617652332
1999-07-19,1460.2812329495518
1999-07-20,1391.3556227840518
1999-07-21,1395.0985693020355
1999-07-22,1415.4758277682695
1999-07-23,1376.855832148981
1999-07-26,1342.8015556304365
1999-07-27,1319.1953691061224
1999-07-28,1311.0160294580016
1999-07-29,1297.250065218629
1999-07-30,1265.0298314877973
1999-08-02,1243.7649959607616
1999-08-03,1255.2486523399643
