Date,EM LATAM QUALITY
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,992.4627064996095
1999-01-05,984.8660793788945
1999-01-06,985.400779019375
1999-01-07,971.8928021180591
1999-01-08,976.2749471684613
1999-01-11,950.6501384303722
1999-01-12,912.8003834155933
1999-01-13,822.7908063274072
1999-01-14,818.6376635506275
1999-01-15,892.5377101404974
1999-01-18,882.7207390809828
1999-01-19,880.1530514414333
1999-01-20,912.5999092692875
1999-01-21,888.9938966948274
1999-01-22,880.6200721313398
1999-01-25,879.3712121365343
1999-01-26,894.474723839782
1999-01-27,908.5626178607024
1999-01-28,932.7529926720547
1999-01-29,943.4534348689707
1999-02-01,991.9243915759694
1999-02-02,999.7483704778516
1999-02-03,995.4618103674413
1999-02-04,993.8592583987235
1999-02-05,992.5133137758985
1999-02-08,988.2174132632748
1999-02-09,974.8744590645044
1999-02-10,982.3285909346741
1999-02-11,1010.6991830261373
1999-02-12,1019.8569463557685
1999-02-15,1023.3310694230155
1999-02-16,1037.433018681581
1999-02-17,1017.1331162873954
1999-02-18,1020.0138078743485
1999-02-19,1044.4219503111024
1999-02-22,1047.4926846663504
1999-02-23,1045.9871823420465
1999-02-24,1053.6502094674734
1999-02-25,1044.742683599675
1999-02-26,1058.2595352255948
1999-03-01,1048.0641619025191
1999-03-02,1041.7001168338895
1999-03-03,1042.919606818086
1999-03-04,1079.476186147952
1999-03-05,1101.7566795157795
1999-03-08,1122.6218058243398
1999-03-09,1146.4897830904956
1999-03-10,1161.6178054877848
1999-03-11,1166.236152622363
1999-03-12,1150.2026567230823
1999-03-15,1174.7103205674346
1999-03-16,1188.5212117984813
1999-03-17,1169.2152001539464
1999-03-18,1180.5128435373288
1999-03-19,1173.639730739717
1999-03-22,1163.3798926137229
1999-03-23,1156.6385319516341
1999-03-24,1175.6687636600507
1999-03-25,1201.5521395654891
1999-03-26,1212.3853984571006
1999-03-29,1227.7418145229462
1999-03-30,1232.9353471583395
1999-03-31,1245.1043982995557
1999-04-01,1242.5448658027688
1999-04-02,1246.8871896036317
1999-04-05,1288.4252401393537
1999-04-06,1285.539396318461
1999-04-07,1285.0176075771635
1999-04-08,1297.3285976325058
1999-04-09,1304.325986692823
1999-04-12,1312.2991393052491
1999-04-13,1319.7555349388815
1999-04-14,1318.5964097182186
1999-04-15,1363.0252609444613
1999-04-16,1383.7366035412626
1999-04-19,1410.5538609193165
1999-04-20,1379.372797763042
1999-04-21,1386.6781525368997
1999-04-22,1409.1863940898604
1999-04-23,1389.909894717365
1999-04-26,1382.684189915674
1999-04-27,1369.9152563002735
1999-04-28,1390.096688406774
1999-04-29,1406.262298978381
1999-04-30,1410.259989165851
1999-05-03,1427.3046518995939
1999-05-04,1414.2844224284006
1999-05-05,1409.9198334872397
1999-05-06,1433.778019193193
1999-05-07,1456.5991161917568
1999-05-10,1486.948120654165
1999-05-11,1490.2007611749434
1999-05-12,1477.1945798607887
1999-05-13,1507.634419388508
1999-05-14,1478.341622399006
1999-05-17,1467.1983715228766
1999-05-18,1476.4133955838251
1999-05-19,1454.066196776212
1999-05-20,1460.2260777787162
1999-05-21,1428.6761441705605
1999-05-24,1390.370610430453
1999-05-25,1345.255263131938
1999-05-26,1397.3658444610821
1999-05-27,1354.2104649789367
1999-05-28,1365.6790067359786
1999-05-31,1375.6012167683139
1999-06-01,1366.5728316964237
1999-06-02,1378.3871379438312
1999-06-03,1375.4485284059426
1999-06-04,1400.6711447901225
1999-06-07,1407.5053190717877
1999-06-08,1379.3467356895708
1999-06-09,1366.050746979389
1999-06-10,1359.6713274501753
1999-06-11,1331.5227392054526
1999-06-14,1319.5600932480509
1999-06-15,1343.9373104682682
1999-06-16,1422.1269130467847
1999-06-17,1438.8491803435575
1999-06-18,1443.5551591818094
1999-06-21,1469.4302631139394
1999-06-22,1466.3981690198402
1999-06-23,1441.1618334502934
1999-06-24,1412.859587648006
1999-06-25,1385.0524675154031
1999-06-28,1419.0446654263885
1999-06-29,1433.596417679381
1999-06-30,1472.2658664802557
1999-07-01,1486.775649296421
1999-07-02,1515.4675100003453
1999-07-05,1524.7566943046388
1999-07-06,1512.3883600250226
1999-07-07,1519.8503099535646
1999-07-08,1483.8823573824552
1999-07-09,1480.3229425832276
1999-07-12,1439.8172782475572
1999-07-13,1458.0370493635735
1999-07-14,1466.1217820694558
1999-07-15,1474.8806432872445
1999-07-16,1489.87160422173
1999-07-19,1508.221477207254
1999-07-20,1445.392817756728
1999-07-21,1446.7448390695663
1999-07-22,1427.7367748953736
1999-07-23,1403.382465806707
1999-07-26,1340.9085790497293
1999-07-27,1338.6247367155931
1999-07-28,1370.6357598026639
1999-07-29,1323.6285159221325
1999-07-30,1325.3850484759425
1999-08-02,1300.6469867925753
1999-08-03,1302.8749658645177
1999-08-04,1283.302944737297
1999-08-05,1274.264556604358
