Date,EM LATIN AMERICA IMI GROWTH
1998-12-31,205.2179427060664
1999-01-01,205.2167216502701
1999-01-04,205.1433788447099
1999-01-05,205.58678511230033
1999-01-06,207.36315748220085
1999-01-07,204.66371528994014
1999-01-08,204.01621633620664
1999-01-11,196.6049495711954
1999-01-12,187.76608806998968
1999-01-13,168.09790380075577
1999-01-14,161.82842103835722
1999-01-15,178.16727725522495
1999-01-18,174.28278136997582
1999-01-19,174.88367635434687
1999-01-20,180.41533554578905
1999-01-21,171.95472994289685
1999-01-22,170.65950638366323
1999-01-25,170.0663933904705
1999-01-26,171.92873667199532
1999-01-27,172.7513329595041
1999-01-28,175.74546965668026
1999-01-29,175.073071230178
1999-02-01,187.0586431478639
1999-02-02,191.63241083954838
1999-02-03,190.08758678578192
1999-02-04,190.35531841079825
1999-02-05,188.17708323889116
1999-02-08,188.28883850871173
1999-02-09,186.50281920620588
1999-02-10,188.019758901217
1999-02-11,191.9618409808885
1999-02-12,192.69214053356492
1999-02-15,193.19568895950397
1999-02-16,195.25505736447454
1999-02-17,192.58044502686465
1999-02-18,192.87877964218922
1999-02-19,197.14323942731139
1999-02-22,197.152325216414
1999-02-23,195.6599582007532
1999-02-24,195.47110504168546
1999-02-25,191.6052378181939
1999-02-26,195.19311060307166
1999-03-01,194.0513197011043
1999-03-02,192.49705836650443
1999-03-03,193.05447047538212
1999-03-04,200.57685227840315
1999-03-05,204.7846741433813
1999-03-08,208.54623937032684
1999-03-09,212.29119986590283
1999-03-10,215.89442489500803
1999-03-11,218.1607447175593
1999-03-12,215.03009670254724
1999-03-15,221.5677573806929
1999-03-16,224.9178572939367
1999-03-17,221.50616145074653
1999-03-18,224.4097671918328
1999-03-19,224.78775478672773
1999-03-22,222.50605525558257
1999-03-23,220.3086670992818
1999-03-24,220.68340716744012
1999-03-25,228.9282364778731
1999-03-26,230.9885390398556
1999-03-29,234.25322637534498
1999-03-30,235.1663455017456
1999-03-31,236.81296094681466
1999-04-01,236.33733434950602
1999-04-02,237.0923246544674
1999-04-05,243.68901214331302
1999-04-06,244.9696579552653
1999-04-07,246.91632505299793
1999-04-08,247.78163227065173
1999-04-09,247.93248563945136
1999-04-12,249.26807623056015
1999-04-13,251.82697072758796
1999-04-14,252.6236688883491
1999-04-15,258.41432386033824
1999-04-16,262.1612760624821
1999-04-19,266.0593187777992
1999-04-20,260.3112644846166
1999-04-21,261.3613387292279
1999-04-22,265.10429965056153
1999-04-23,263.758876606831
1999-04-26,263.02924059446605
1999-04-27,261.0436776679024
1999-04-28,266.2610344602412
1999-04-29,269.1829217597132
1999-04-30,272.60167579683406
1999-05-03,276.04825529871226
1999-05-04,272.67546027115986
1999-05-05,273.5504941747454
1999-05-06,276.34454461374975
1999-05-07,280.53921506763317
1999-05-10,284.7097083641814
1999-05-11,284.9798139915328
1999-05-12,283.2065991247981
1999-05-13,290.5326400686706
1999-05-14,286.01360358465695
1999-05-17,282.0489743130756
1999-05-18,283.68927480222936
1999-05-19,278.9805948817121
1999-05-20,279.45846652529764
1999-05-21,272.735608204857
1999-05-24,262.92824295991676
1999-05-25,254.84844997422275
1999-05-26,267.66775344488747
1999-05-27,261.64836340658366
1999-05-28,262.9589899091153
1999-05-31,265.04892765890503
1999-06-01,261.7891050186216
1999-06-02,264.0119767953848
1999-06-03,263.6518862163018
1999-06-04,268.12562148878493
1999-06-07,268.96560358211093
1999-06-08,264.540161972991
1999-06-09,262.30640768907074
1999-06-10,261.00314223886426
1999-06-11,258.92880866612944
1999-06-14,258.6426804161572
1999-06-15,261.59391291861374
1999-06-16,273.84981303010596
1999-06-17,277.05915761018576
1999-06-18,277.28670100192153
1999-06-21,280.83872647906827
1999-06-22,280.95194079615044
1999-06-23,277.35987295337844
1999-06-24,270.80396023947225
1999-06-25,264.48330354569737
1999-06-28,269.57003286513907
1999-06-29,272.42350341932377
1999-06-30,279.54639047078
1999-07-01,282.9165213667532
1999-07-02,288.61120922820015
1999-07-05,288.9656220957831
1999-07-06,286.50313735555693
1999-07-07,287.4583437293015
1999-07-08,283.1347528177574
1999-07-09,282.75426917795204
1999-07-12,275.5155842925573
1999-07-13,276.76297801535253
1999-07-14,276.87728780549725
1999-07-15,277.50204825069665
1999-07-16,280.689271745327
1999-07-19,283.51926964121736
1999-07-20,272.69875947527566
1999-07-21,271.73212192866623
1999-07-22,269.8582301006335
1999-07-23,264.5502948799596
1999-07-26,254.0605700207197
1999-07-27,255.5339673021722
1999-07-28,258.9961435797585
1999-07-29,252.13966162290097
1999-07-30,252.11838279304945
1999-08-02,248.44287588329797
1999-08-03,249.11328042690323
1999-08-04,245.19232073403597
1999-08-05,242.68305389667978
1999-08-06,240.27642118455813
1999-08-09,241.98710940459173
1999-08-10,239.1400100601376
1999-08-11,244.75570523045627
1999-08-12,246.79115352521075
1999-08-13,251.49451302090796
1999-08-16,250.72278865831856
1999-08-17,251.49279932599725
1999-08-18,245.73105564320298
1999-08-19,242.6552398584281
1999-08-20,245.42779984984605
1999-08-23,249.8618186798886
1999-08-24,249.95479436065386
1999-08-25,257.24092011175
