Date,EM EMEA IMI GROWTH
1998-12-31,281.23719034850797
1999-01-01,281.23719034850797
1999-01-04,282.5495673025898
1999-01-05,289.1448052781882
1999-01-06,305.0817028142025
1999-01-07,303.2041807392519
1999-01-08,311.6262707567052
1999-01-11,306.60994222897483
1999-01-12,299.76320879999747
1999-01-13,275.67478747958734
1999-01-14,276.025524218561
1999-01-15,277.2316430137324
1999-01-18,287.5631900118897
1999-01-19,287.96549618256313
1999-01-20,291.4264202306351
1999-01-21,287.2164689434645
1999-01-22,282.61139057249017
1999-01-25,279.66756854863127
1999-01-26,283.10709902368814
1999-01-27,291.62460218782064
1999-01-28,294.42517022885374
1999-01-29,298.7181237078131
1999-02-01,302.60330689134446
1999-02-02,299.5805133985415
1999-02-03,299.57871255675224
1999-02-04,302.6902646242931
1999-02-05,303.3555103329683
1999-02-08,306.95024668812766
1999-02-09,301.1273865495711
1999-02-10,297.6883702145541
1999-02-11,303.17706353722457
1999-02-12,304.01116841212286
1999-02-15,302.00849347165854
1999-02-16,304.42820283557273
1999-02-17,303.3007608419444
1999-02-18,303.94688560052896
1999-02-19,304.73799166601304
1999-02-22,308.9019129456114
1999-02-23,312.9562057419268
1999-02-24,314.226737070736
1999-02-25,310.660999617765
1999-02-26,312.18292476879174
1999-03-01,314.89509417633997
1999-03-02,314.2810135569476
1999-03-03,318.7313602429651
1999-03-04,319.94441558330146
1999-03-05,325.1576840256796
1999-03-08,328.9456948059053
1999-03-09,334.2219513101326
1999-03-10,332.38084807279057
1999-03-11,343.13974523796304
1999-03-12,341.0728175063772
1999-03-15,337.5216788336735
1999-03-16,338.8430804026657
1999-03-17,340.09152151871854
1999-03-18,339.48222061994704
1999-03-19,348.846001654316
1999-03-22,348.9303704767896
1999-03-23,344.01617965437936
1999-03-24,338.0387248520824
1999-03-25,345.0529575404945
1999-03-26,345.21420079976605
1999-03-29,345.88675489507557
1999-03-30,344.3426502572145
1999-03-31,343.45666751344
1999-04-01,343.76658759825807
1999-04-02,344.57738402169747
1999-04-05,347.0018750300909
1999-04-06,347.28644126020095
1999-04-07,346.0287206559226
1999-04-08,341.364354620228
1999-04-09,343.8144914848953
1999-04-12,338.8788104551263
1999-04-13,342.38889727492483
1999-04-14,350.285467945894
1999-04-15,352.8462430942807
1999-04-16,356.8898743225187
1999-04-19,365.1677328305816
1999-04-20,365.73781137065083
1999-04-21,364.2474227254947
1999-04-22,366.5544656983406
1999-04-23,365.9775038048366
1999-04-26,372.35135529696396
1999-04-27,370.8450436412959
1999-04-28,375.28689739347817
1999-04-29,375.73853266792645
1999-04-30,375.91122959478156
1999-05-03,379.96098825405926
1999-05-04,382.71357239264717
1999-05-05,379.9795344825048
1999-05-06,380.1492690786276
1999-05-07,376.56424143858396
1999-05-10,376.1585610014484
1999-05-11,381.1331324674402
1999-05-12,369.82272499742027
1999-05-13,370.77544080805137
1999-05-14,370.52566320931555
1999-05-17,365.6991585949469
1999-05-18,371.6722144909139
1999-05-19,370.57706515337037
1999-05-20,369.0044711907251
1999-05-21,373.04643495902224
1999-05-24,370.604927740675
1999-05-25,362.0128082392808
1999-05-26,364.566151542753
1999-05-27,365.49570035948864
1999-05-28,367.4916105350577
1999-05-31,367.8886666702983
1999-06-01,373.385766079176
1999-06-02,373.16101709464743
1999-06-03,377.9142998293272
1999-06-04,385.05305681581785
1999-06-07,390.4206140009033
1999-06-08,387.414778761297
1999-06-09,386.3863024289265
1999-06-10,386.26018051953383
1999-06-11,390.2852523730968
1999-06-14,391.9199128732194
1999-06-15,389.6429854703624
1999-06-16,392.87807903029756
1999-06-17,397.52488001811014
1999-06-18,399.1774364567823
1999-06-21,404.9895536539946
1999-06-22,406.7980512109146
1999-06-23,401.9475565502007
1999-06-24,396.271972184913
1999-06-25,388.8284766400645
1999-06-28,389.8202539004636
1999-06-29,390.9474634180087
1999-06-30,398.5839295559255
1999-07-01,409.9136399193073
1999-07-02,408.6319501690211
1999-07-05,414.7502911444129
1999-07-06,411.4447094560585
1999-07-07,408.76207617883875
1999-07-08,411.5099021490774
1999-07-09,412.83898388013944
1999-07-12,419.77641272721723
1999-07-13,407.69801403482603
