Date,BRIC IMI GROWTH
1998-12-31,224.81643875946406
1999-01-01,224.81643875946406
1999-01-04,226.48717457036872
1999-01-05,229.0443638640367
1999-01-06,235.1286468546126
1999-01-07,233.67887707371716
1999-01-08,234.4025800162853
1999-01-11,228.1391024349823
1999-01-12,219.4666178657384
1999-01-13,201.12692218278394
1999-01-14,193.47814374773267
1999-01-15,204.1936585199159
1999-01-18,199.0254436690683
1999-01-19,200.66598773640806
1999-01-20,204.04405489277136
1999-01-21,196.2368440155697
1999-01-22,194.00577824346922
1999-01-25,190.564264443479
1999-01-26,193.60555890953566
1999-01-27,194.67733492960735
1999-01-28,195.26468980823594
1999-01-29,194.48239734718987
1999-02-01,207.424573976106
1999-02-02,214.73963459111053
1999-02-03,213.52432607311738
1999-02-04,212.11159490290447
1999-02-05,206.9946291825744
1999-02-08,206.8833808718623
1999-02-09,206.52154589870128
1999-02-10,210.8215890443112
1999-02-11,213.53511077890505
1999-02-12,214.95718992176648
1999-02-15,214.91635085499198
1999-02-16,217.00978619861533
1999-02-17,215.7146299874933
1999-02-18,215.1755837220905
1999-02-19,219.0535552220379
1999-02-22,218.53281278432752
1999-02-23,214.9621720202896
1999-02-24,214.51087562096885
1999-02-25,209.05679631872871
1999-02-26,212.07448977660334
1999-03-01,222.52230546460788
1999-03-02,221.7340647468306
1999-03-03,226.97047314078972
1999-03-04,232.90452042898977
1999-03-05,238.6823909272701
1999-03-08,242.64231755445397
1999-03-09,248.22894155313182
1999-03-10,251.4727238508445
1999-03-11,250.9049455065618
1999-03-12,248.37508107992934
1999-03-15,259.554328129276
1999-03-16,263.2192534375764
1999-03-17,257.9491020082901
1999-03-18,262.4923287410379
1999-03-19,263.4339335753124
1999-03-22,262.8215270353672
1999-03-23,261.42428471232864
1999-03-24,256.5124249599777
1999-03-25,267.28303822431303
1999-03-26,269.2140054915783
1999-03-29,272.3066085319319
1999-03-30,276.4541966507238
1999-03-31,279.2261024370254
1999-04-01,277.16222372628806
1999-04-02,277.9023766425395
1999-04-05,276.05438110262395
1999-04-06,277.82939502591466
1999-04-07,281.75840394638163
1999-04-08,280.56475059086017
1999-04-09,275.7714497282825
1999-04-12,276.65475820387434
1999-04-13,278.4636886321802
1999-04-14,280.2662955759715
1999-04-15,279.12355887506646
1999-04-16,287.6249289014358
1999-04-19,284.9070627409812
1999-04-20,276.98684331843754
1999-04-21,279.15957924925675
1999-04-22,281.8404518130006
1999-04-23,280.50525327488594
1999-04-26,273.8752247495074
1999-04-27,273.00221316771126
1999-04-28,278.3183923727966
1999-04-29,283.3028137999
1999-04-30,289.102380877444
1999-05-03,291.83351480418463
1999-05-04,291.3476216063167
1999-05-05,296.8789234257601
1999-05-06,299.91801463230394
1999-05-07,306.06218134168483
1999-05-10,311.9787807105071
1999-05-11,313.32833547077803
1999-05-12,308.9107428046538
1999-05-13,319.3358930840896
1999-05-14,317.2142370937067
1999-05-17,312.62408256123086
1999-05-18,317.5443646482113
1999-05-19,315.9141563729194
1999-05-20,314.9179091489562
1999-05-21,310.682614752836
1999-05-24,302.66452385674535
1999-05-25,294.93102879964295
1999-05-26,305.910041300361
1999-05-27,299.4955051776248
1999-05-28,296.58125088009393
1999-05-31,303.8722478835037
1999-06-01,298.8698703724314
1999-06-02,301.6580870689728
1999-06-03,302.8705071703604
1999-06-04,307.4922122513202
1999-06-07,305.98059460658095
1999-06-08,300.9030012183161
1999-06-09,299.7449471317517
1999-06-10,299.8335533537455
