Date,EM FAR EAST IMI GROWTH
1998-12-31,530.2048288917781
1999-01-01,530.2048288917781
1999-01-04,541.3629530377381
1999-01-05,541.7119857328736
1999-01-06,559.1839610928932
1999-01-07,583.5784758438622
1999-01-08,579.1301792636087
1999-01-11,585.6535064627247
1999-01-12,578.3799588013279
1999-01-13,558.9361259122973
1999-01-14,542.4687780753834
1999-01-15,558.4665398514686
1999-01-18,559.813275723309
1999-01-19,554.9671183579552
1999-01-20,555.6175990963121
1999-01-21,545.6361908030786
1999-01-22,526.6178586586344
1999-01-25,511.43948763436566
1999-01-26,514.0425069885595
1999-01-27,530.9808149503838
1999-01-28,531.1996178038166
1999-01-29,530.8583534834237
1999-02-01,532.1529726046939
1999-02-02,519.1458588556955
1999-02-03,517.5204924965562
1999-02-04,510.8999844394836
1999-02-05,512.8292813689969
1999-02-08,518.35344864514
1999-02-09,504.70744632660296
1999-02-10,503.9738970190757
1999-02-11,506.6297063456717
1999-02-12,521.0583522360711
1999-02-15,522.7307172836462
1999-02-16,525.7362007080652
1999-02-17,520.7984684206825
1999-02-18,514.9310761785487
1999-02-19,511.5974760561004
1999-02-22,515.4321511584566
1999-02-23,509.9101225586898
1999-02-24,510.78345163808365
1999-02-25,507.20850432856236
1999-02-26,521.8812551950457
1999-03-01,525.5508614447795
1999-03-02,524.2593487966616
1999-03-03,528.0878906308902
1999-03-04,528.0183193739364
1999-03-05,528.7760375223523
1999-03-08,543.1548493385764
1999-03-09,542.3751932259618
1999-03-10,538.9101121974204
1999-03-11,550.0545339459337
1999-03-12,547.9965471794208
1999-03-15,558.0804753924856
1999-03-16,568.1289051394139
1999-03-17,566.4523327408326
1999-03-18,569.7879575448604
1999-03-19,586.7965746877368
1999-03-22,593.1994584313944
1999-03-23,592.0061184206199
1999-03-24,586.1331996213089
1999-03-25,589.1495937802831
1999-03-26,597.8397187565328
1999-03-29,589.4265320575844
1999-03-30,591.6447924381791
1999-03-31,587.8866176408509
1999-04-01,601.3505656884691
1999-04-02,608.9045404897439
1999-04-05,609.1311516027772
1999-04-06,613.7165898843288
1999-04-07,615.8811601918549
1999-04-08,623.2910200140215
1999-04-09,633.2705201079773
1999-04-12,634.8995781677828
1999-04-13,643.2537671564603
1999-04-14,644.3244431804395
1999-04-15,662.7483362723567
1999-04-16,676.1248178308778
1999-04-19,716.7382272589525
1999-04-20,711.909071177348
1999-04-21,696.3382921627588
1999-04-22,694.6612814117373
1999-04-23,699.7718029663143
1999-04-26,719.6187055953644
1999-04-27,724.5961955803921
1999-04-28,725.6818886405371
1999-04-29,705.6726572400453
1999-04-30,710.9288772151973
1999-05-03,714.650241315092
1999-05-04,730.478362571753
1999-05-05,724.7548035297572
1999-05-06,732.9753712092697
1999-05-07,727.6188295602614
1999-05-10,732.4441828244229
1999-05-11,724.1372259969686
1999-05-12,722.2481063888254
1999-05-13,708.6895616964844
1999-05-14,708.2298225259119
1999-05-17,699.6948779703786
1999-05-18,711.1586978711093
1999-05-19,714.7115906309668
1999-05-20,705.7790197307999
1999-05-21,711.7502878651783
1999-05-24,708.2366523439398
1999-05-25,703.6631498999566
1999-05-26,717.4371992829183
1999-05-27,723.2080352989074
1999-05-28,721.59207090211
1999-05-31,726.9288553442697
1999-06-01,734.0930931786281
1999-06-02,756.7894065111589
1999-06-03,760.9247550164691
1999-06-04,779.1977057540499
1999-06-07,814.5248590002292
1999-06-08,827.9001777664932
1999-06-09,812.2008413571599
1999-06-10,832.2030082389696
1999-06-11,819.2348439189628
1999-06-14,816.3604046094898
1999-06-15,815.249841822216
1999-06-16,840.5635264943727
1999-06-17,857.0877814885081
1999-06-18,860.1256692509036
1999-06-21,891.659275770275
1999-06-22,912.939420167009
1999-06-23,906.5466543051647
1999-06-24,901.4529765385466
1999-06-25,880.132553634668
1999-06-28,898.1930163022016
1999-06-29,908.2048646440019
1999-06-30,904.1931478538079
1999-07-01,927.0426697838944
1999-07-02,946.3583081077625
1999-07-05,959.6179838961822
1999-07-06,969.205452582224
1999-07-07,970.8573142539813
1999-07-08,970.7772280344267
1999-07-09,974.2065100058452
1999-07-12,968.2752239719199
1999-07-13,949.712573638904
1999-07-14,911.7863794515226
1999-07-15,930.8467404485458
1999-07-16,929.4794767500453
1999-07-19,933.4795940320339
1999-07-20,915.2929903120306
1999-07-21,890.0484939047795
1999-07-22,886.5038230578955
