Date,EM EASTERN EUROPE ex RUSSIA IMI GROWTH
2007-05-31,1000.0
2007-06-01,1016.8539124332946
2007-06-04,1006.7592449159995
2007-06-05,1001.6277943181334
2007-06-06,977.4491922015857
2007-06-07,975.421619420707
2007-06-08,960.2892965891656
2007-06-11,972.0352533981351
2007-06-12,967.9412726432395
2007-06-13,979.5010178755106
2007-06-14,988.9200775646779
2007-06-15,1000.7425598089327
2007-06-18,996.6164142135676
2007-06-19,997.2749609825099
2007-06-20,1000.9184016618293
2007-06-21,1004.7979249164399
2007-06-22,1015.905062805857
2007-06-25,1013.4446803260761
2007-06-26,1025.3495526134486
2007-06-27,1009.2777112444431
2007-06-28,1029.932189826887
2007-06-29,1033.821016132466
2007-07-02,1033.2466397636629
2007-07-03,1042.545602359121
2007-07-04,1049.198437626863
2007-07-05,1042.4308942331963
2007-07-06,1052.5719974375183
2007-07-09,1049.8474547635815
2007-07-10,1030.7570647471348
2007-07-11,1027.2212857170423
2007-07-12,1038.6835689964855
2007-07-13,1040.0228086680656
2007-07-16,1037.1893518875327
2007-07-17,1033.610746508102
2007-07-18,1036.4238978533324
2007-07-19,1047.7114118243685
2007-07-20,1037.3684358965318
2007-07-23,1054.8283092934653
2007-07-24,1040.1951187184009
2007-07-25,1027.8890734284632
2007-07-26,1002.6898473383271
2007-07-27,985.8182263193089
2007-07-30,986.1636968750942
2007-07-31,1008.5641262554904
2007-08-01,983.3817928817062
2007-08-02,990.2882266446951
2007-08-03,978.6143738909608
2007-08-06,961.0332922792727
2007-08-07,974.8581900209402
2007-08-08,987.357280580774
2007-08-09,971.3891542399776
2007-08-10,939.2057153542394
2007-08-13,965.2128503475551
2007-08-14,943.6912269822121
2007-08-15,929.6761681822579
2007-08-16,861.9474117364747
2007-08-17,876.257345668065
2007-08-20,877.5543945454904
2007-08-21,867.3509345459195
2007-08-22,903.46022681721
2007-08-23,915.8137002286649
2007-08-24,923.3070500512373
2007-08-27,926.4306577722537
2007-08-28,917.9316826893568
2007-08-29,919.1212971552977
2007-08-30,919.4285109922686
2007-08-31,940.6999529139174
2007-09-03,941.409167574698
2007-09-04,946.6446000188317
2007-09-05,935.209722247204
2007-09-06,928.9000443223011
2007-09-07,918.5590411243847
2007-09-10,902.3838106944911
2007-09-11,924.1466733394716
2007-09-12,936.2370262941388
2007-09-13,948.3560203441564
2007-09-14,942.4763766116445
2007-09-17,938.524162483973
2007-09-18,944.2163620280149
2007-09-19,974.085916535857
2007-09-20,975.5333760866819
2007-09-21,973.1625693673556
2007-09-24,964.3447040308729
2007-09-25,958.1437206233877
2007-09-26,966.6557872635193
2007-09-27,972.9840701071624
2007-09-28,970.6905788475834
2007-10-01,973.6912857381487
2007-10-02,980.213767673603
2007-10-03,979.3208230282613
2007-10-04,979.3543331062044
2007-10-05,991.0366535483519
2007-10-08,998.7087321847886
2007-10-09,1007.6053839405226
2007-10-10,1010.1354896625721
2007-10-11,1027.4560863996414
2007-10-12,1021.5105484150923
2007-10-15,1025.6878321884108
2007-10-16,1007.2750259667346
2007-10-17,1016.0007134771349
2007-10-18,1007.77062557401
2007-10-19,1013.3760705177878
2007-10-22,1009.6997434021151
2007-10-23,1023.9946973830415
2007-10-24,1017.9991891038795
2007-10-25,1029.8263042758133
2007-10-26,1036.4604939757548
2007-10-29,1044.567124559068
2007-10-30,1040.3132211670415
2007-10-31,1035.3436485106913
2007-11-01,1034.251099464318
2007-11-02,1026.8273467090066
2007-11-05,1025.5631242684115
2007-11-06,1028.099453651601
2007-11-07,1010.0679438507537
2007-11-08,998.4373634840885
2007-11-09,990.8033280496594
2007-11-12,970.7739263057834
2007-11-13,976.8421822068932
2007-11-14,968.7527361009867
2007-11-15,954.7903591661759
2007-11-16,952.288855956747
