Date,GHANA
2008-11-25,1000.0
2008-11-26,996.4781437746013
2008-11-27,992.5711927362775
2008-11-28,990.323244801318
2008-12-01,988.8980263157896
2008-12-02,981.8330271483977
2008-12-03,981.4323607427057
2008-12-04,981.0320212115031
2008-12-05,981.0320212115031
2008-12-08,981.0320212115031
2008-12-09,982.0334830543079
2008-12-10,982.0334830543079
2008-12-11,969.1718718517026
2008-12-12,968.1964573268921
2008-12-15,982.0334830543078
2008-12-16,982.0334830543078
2008-12-17,961.6153538584564
2008-12-18,960.8469836196563
2008-12-19,982.0334830543078
2008-12-22,954.3650793650793
2008-12-23,953.2302814110187
2008-12-24,951.9097565802492
2008-12-25,951.9097565802492
2008-12-26,951.9097565802492
2008-12-29,948.5308617629657
2008-12-30,948.1569091267492
2008-12-31,944.804557061481
2009-01-01,944.804557061481
2009-01-02,943.692368059643
2009-01-05,942.0289855072463
2009-01-06,940.5553382870551
2009-01-07,938.9029865313292
2009-01-08,939.0862944162435
2009-01-09,933.0746847720659
2009-01-12,933.9805825242717
2009-01-13,933.2557237097399
2009-01-14,933.7992622791689
2009-01-15,934.1619731986791
2009-01-16,928.5714285714283
2009-01-19,925.3559061177373
2009-01-20,919.6940726577435
2009-01-21,918.1141439205953
2009-01-22,917.9389312977098
2009-01-23,916.0159969529612
2009-01-26,912.7134724857685
2009-01-27,912.3672230652503
2009-01-28,905.3265575004702
2009-01-29,909.2627599243855
2009-01-30,897.2206677858607
2009-02-02,902.1005251312826
2009-02-03,889.7521272660006
2009-02-04,896.3846440551621
2009-02-05,893.3878157503715
2009-02-06,889.7521272660007
2009-02-09,886.7994100294986
2009-02-10,886.3091947669063
2009-02-11,887.4538745387454
2009-02-12,886.4725396240325
2009-02-13,877.4170010944912
2009-02-16,870.903494477639
2009-02-17,877.7372262773721
2009-02-18,875.0227396761869
2009-02-19,868.544600938967
2009-02-20,868.7014628860392
2009-02-23,864.7968356706219
2009-02-24,861.6983160157647
2009-02-25,861.6983160157647
2009-02-26,862.625538020086
2009-02-27,863.5547576301614
2009-03-02,862.1616777200212
2009-03-03,862.2234969347145
2009-03-04,862.007168458781
2009-03-05,862.007168458781
2009-03-06,862.007168458781
2009-03-09,859.2354412290101
2009-03-10,858.7752187109443
2009-03-11,857.3975044563279
