Date,SWITZERLAND IMI ESG LEADERS
2014-11-25,1000.0
2014-11-26,1005.9615396670334
2014-11-27,1009.4154734555688
2014-11-28,1006.4715322604663
2014-12-01,1006.1656270444778
2014-12-02,1000.7404214579029
2014-12-03,999.2520753021219
2014-12-04,1005.6220010700237
2014-12-05,1004.2886374625828
2014-12-08,996.236892313055
2014-12-09,996.1781859553506
2014-12-10,989.2190858285173
2014-12-11,994.7917498255227
2014-12-12,984.214743804442
2014-12-15,962.3460240237406
2014-12-16,977.9183808123828
2014-12-17,965.1282138320071
2014-12-18,977.5602401435993
2014-12-19,956.0919460902197
2014-12-22,963.5996126932321
2014-12-23,955.0128276194234
2014-12-24,955.9325520719943
2014-12-25,955.9325520719946
2014-12-26,954.2879785370837
2014-12-29,955.2244489411917
2014-12-30,949.7544618883232
2014-12-31,944.8797597742689
2015-01-01,944.8797597742689
2015-01-02,939.6785000247229
2015-01-05,934.8298254712048
2015-01-06,927.5596903615544
2015-01-07,920.8344568632901
2015-01-08,941.1919105254696
2015-01-09,938.2634249662293
2015-01-12,945.5815198114873
2015-01-13,953.9021611747706
2015-01-14,944.8607085166732
2015-01-15,973.1607601714994
2015-01-16,986.3928279636048
2015-01-19,985.1481307377985
2015-01-20,985.6655379152618
2015-01-21,984.439371287435
2015-01-22,967.1265973170472
2015-01-23,980.722043061274
2015-01-26,977.248018659809
2015-01-27,979.3374424912168
2015-01-28,964.5179087155597
2015-01-29,957.0397841971524
2015-01-30,950.9107034224223
2015-02-02,948.4886892419562
2015-02-03,952.6032778364721
2015-02-04,967.9573145796968
2015-02-05,963.4993648033595
2015-02-06,965.0436435211506
2015-02-09,957.0626564323828
2015-02-10,957.4621949729058
2015-02-11,953.6804944487702
2015-02-12,950.8524573946709
2015-02-13,955.0330295168859
2015-02-16,962.180365091552
2015-02-17,962.9225123310114
2015-02-18,962.4846308210161
2015-02-19,968.7204256525366
2015-02-20,974.8443532205455
2015-02-23,977.4150946126695
2015-02-24,975.2050314596904
2015-02-25,974.7346840700101
2015-02-26,974.9089454799221
2015-02-27,981.3737247317463
2015-03-02,977.3415582533003
2015-03-03,968.7400309693166
2015-03-04,968.0092766914903
2015-03-05,964.3295608286985
2015-03-06,959.4695398040257
2015-03-09,952.8847701825429
2015-03-10,937.7490229453803
2015-03-11,940.5298005986936
2015-03-12,950.2383279557729
2015-03-13,952.406686654843
2015-03-16,953.783726229119
2015-03-17,954.853869909169
2015-03-18,971.2979589078769
2015-03-19,982.588562737129
2015-03-20,1008.3183209067049
2015-03-23,1017.6691888281202
2015-03-24,1021.7233705784662
2015-03-25,1013.6604452004109
2015-03-26,996.1710426822748
2015-03-27,995.9013781789496
2015-03-30,997.5473052086662
2015-03-31,992.9213775638607
2015-04-01,995.4734215791724
2015-04-02,1005.9602321949146
2015-04-03,1005.9602321949146
2015-04-06,1013.3686715693121
2015-04-07,1016.0839113576351
2015-04-08,1008.7992784281037
2015-04-09,1010.9720990313933
2015-04-10,1011.801548255013
2015-04-13,1010.8122032048311
