Date,PACIFIC ex JAPAN QUALITY
1998-12-31,999.9999999999999
1999-01-01,999.9999999999999
1999-01-04,994.8546295039213
1999-01-05,995.2742865439358
1999-01-06,1024.0357274877306
1999-01-07,1058.3557646828763
1999-01-08,1074.3902478227367
1999-01-11,1069.5010007272426
1999-01-12,1066.9733640763143
1999-01-13,1031.2447473846594
1999-01-14,1024.6841058223401
1999-01-15,1042.4183891423702
1999-01-18,1056.3709329193366
1999-01-19,1057.8993404755263
1999-01-20,1066.4041094202908
1999-01-21,1054.5804599412522
1999-01-22,1038.3747486708935
1999-01-25,1019.9434465681304
1999-01-26,1024.9694933561952
1999-01-27,1041.976630518679
1999-01-28,1032.5871163150077
1999-01-29,1043.1055086566519
1999-02-01,1055.0312441251763
1999-02-02,1044.2462255370153
1999-02-03,1047.4642703189331
1999-02-04,1059.0875261625117
1999-02-05,1053.4142746888376
1999-02-08,1054.2214969514027
1999-02-09,1044.1471738862485
1999-02-10,1019.4849727332967
1999-02-11,1033.4249186723919
1999-02-12,1043.3551006000923
1999-02-15,1043.8836242530115
1999-02-16,1036.079667198944
1999-02-17,1033.1771307409508
1999-02-18,1029.4394194891086
1999-02-19,1049.8797754502327
1999-02-22,1063.893580660505
1999-02-23,1068.4938922054805
1999-02-24,1071.6358154261777
1999-02-25,1057.371515232482
1999-02-26,1059.5303017394608
1999-03-01,1072.4680674999254
1999-03-02,1071.7353347714088
1999-03-03,1077.8736667399717
1999-03-04,1087.842601214561
1999-03-05,1105.2130596248173
1999-03-08,1113.5941380242618
1999-03-09,1121.9151934104148
1999-03-10,1118.9083380456777
1999-03-11,1124.3921351100578
1999-03-12,1124.4671081165448
1999-03-15,1133.3482412888811
1999-03-16,1130.5121583346668
1999-03-17,1113.092416637927
1999-03-18,1108.4400063456721
1999-03-19,1121.9033387963148
1999-03-22,1131.259128600021
1999-03-23,1135.9743415662667
1999-03-24,1126.232342129434
1999-03-25,1134.6456942671405
1999-03-26,1147.487828183837
1999-03-29,1145.9949730270464
1999-03-30,1146.489191366383
1999-03-31,1147.991153113348
1999-04-01,1156.0191410266193
1999-04-02,1155.5018463836416
1999-04-05,1163.65680216356
1999-04-06,1162.457464633222
1999-04-07,1170.0789951359216
1999-04-08,1168.8600853271737
1999-04-09,1189.9077832932048
1999-04-12,1183.4136201168099
1999-04-13,1205.2117153856295
1999-04-14,1212.5919398644517
1999-04-15,1226.4884699510606
1999-04-16,1267.5194043525437
1999-04-19,1313.3369306120396
1999-04-20,1286.9014427441728
1999-04-21,1294.5202603329988
1999-04-22,1320.8220393874471
1999-04-23,1315.216667283159
1999-04-26,1332.9230326478169
1999-04-27,1343.310765557152
1999-04-28,1327.7953474579126
1999-04-29,1324.5018487226794
1999-04-30,1345.9400718402053
1999-05-03,1340.5520442253146
1999-05-04,1342.2811034537315
1999-05-05,1333.4999283693849
1999-05-06,1332.9560434543794
1999-05-07,1293.1897942269711
1999-05-10,1305.011781917271
1999-05-11,1327.367462641724
1999-05-12,1339.8730335402138
1999-05-13,1342.7934017009766
1999-05-14,1328.906523604603
1999-05-17,1324.1567301886098
1999-05-18,1329.9322600584171
1999-05-19,1318.622879095021
1999-05-20,1325.2777403660787
1999-05-21,1338.7851364229618
1999-05-24,1340.3322111709174
1999-05-25,1319.0949080991957
1999-05-26,1321.6795810009887
1999-05-27,1323.1165619979843
1999-05-28,1314.9744145560853
1999-05-31,1317.114882671718
1999-06-01,1313.7448594914501
1999-06-02,1338.367506379188
1999-06-03,1352.9620477775936
1999-06-04,1357.4400749641195
1999-06-07,1372.6194703106617
1999-06-08,1373.2757509875455
1999-06-09,1379.228051716583
1999-06-10,1371.4086092130133
1999-06-11,1378.2778758426923
1999-06-14,1380.7495802755952
1999-06-15,1378.7745664039605
1999-06-16,1403.8821189325843
1999-06-17,1417.8547173719267
1999-06-18,1403.1819385000733
1999-06-21,1425.8318762655945
1999-06-22,1443.6851686472673
1999-06-23,1440.5008498110603
1999-06-24,1425.2543346728628
1999-06-25,1412.6397705860593
1999-06-28,1425.4788957481057
1999-06-29,1435.7130469375177
1999-06-30,1433.0099011310724
1999-07-01,1463.4770953462864
1999-07-02,1482.7392153832914
1999-07-05,1495.1918329388284
1999-07-06,1485.7089835895201
1999-07-07,1477.6366092123847
1999-07-08,1492.6131948442076
1999-07-09,1492.4859433766608
1999-07-12,1497.456705594461
1999-07-13,1486.3797087532396
1999-07-14,1473.3843377605594
1999-07-15,1479.1237005010275
1999-07-16,1471.4598790819175
1999-07-19,1483.8318958542086
1999-07-20,1467.1056884429825
1999-07-21,1436.0352523821957
1999-07-22,1424.017094017557
1999-07-23,1406.7103399001107
1999-07-26,1368.1586282611001
1999-07-27,1375.7397372088637
1999-07-28,1398.827327350559
1999-07-29,1389.6140673125874
1999-07-30,1391.8114322517242
1999-08-02,1395.1761690156645
1999-08-03,1416.5554723301168
1999-08-04,1412.5216335163652
1999-08-05,1394.7739365707819
