Date,NORTH AMERICA QUALITY
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,994.5514908174923
1999-01-05,1005.6906425365215
1999-01-06,1033.834606122923
1999-01-07,1037.034608945941
1999-01-08,1046.776682161452
1999-01-11,1043.0483986099584
1999-01-12,1020.5409672447202
1999-01-13,1006.1983550461466
1999-01-14,991.195816956021
1999-01-15,1023.9056393805479
1999-01-18,1023.2876054514576
1999-01-19,1035.5000716359314
1999-01-20,1040.9605428511281
1999-01-21,1013.4808257519502
1999-01-22,1008.5624154769428
1999-01-25,1020.9881287489007
1999-01-26,1045.9641666533846
1999-01-27,1053.7755245898782
1999-01-28,1088.6146354519078
1999-01-29,1106.6091173473887
1999-02-01,1112.3784389080765
1999-02-02,1099.4061524830772
1999-02-03,1107.5086789084369
1999-02-04,1089.0305195058259
1999-02-05,1072.0502252374883
1999-02-08,1079.6565685152368
1999-02-09,1044.9430201972816
1999-02-10,1048.062298958928
1999-02-11,1079.081509329879
1999-02-12,1060.2921570524888
1999-02-15,1064.208156208603
1999-02-16,1074.6873373121637
1999-02-17,1053.5259586463678
1999-02-18,1062.7404187310894
1999-02-19,1079.9989108620155
1999-02-22,1113.1066043945739
1999-02-23,1125.8504722871126
1999-02-24,1109.833559936855
1999-02-25,1094.5514291034315
1999-02-26,1097.3838971930563
1999-03-01,1098.3474784555315
1999-03-02,1088.357519896163
1999-03-03,1088.7203521615716
1999-03-04,1115.2814359950037
1999-03-05,1137.907469410638
1999-03-08,1143.3277439741403
1999-03-09,1140.2062640892673
1999-03-10,1128.879299787093
1999-03-11,1151.325052253152
1999-03-12,1133.1519275221585
1999-03-15,1150.3530015063516
1999-03-16,1158.8780744596604
1999-03-17,1136.289629510838
1999-03-18,1155.0882248044175
1999-03-19,1145.2930169116655
1999-03-22,1147.7157401211787
1999-03-23,1119.772711346978
1999-03-24,1128.1743335292808
1999-03-25,1155.9291343279249
1999-03-26,1160.7386923514005
1999-03-29,1190.4703426947553
1999-03-30,1183.4081633014378
1999-03-31,1162.4156127095036
1999-04-01,1166.902873445624
1999-04-02,1169.498995713313
1999-04-05,1199.8828101575004
1999-04-06,1190.2181579214416
1999-04-07,1191.0509993067192
1999-04-08,1207.090356373847
1999-04-09,1223.396297521098
1999-04-12,1223.713818334303
1999-04-13,1223.0713771339426
1999-04-14,1182.30725096071
1999-04-15,1167.3325330068633
1999-04-16,1160.5470092842731
1999-04-19,1110.6555224596084
1999-04-20,1135.4163468061072
1999-04-21,1185.0558346745192
1999-04-22,1206.3652990912606
1999-04-23,1194.2834190528174
1999-04-26,1212.132775475451
1999-04-27,1196.835740599438
1999-04-28,1174.418043864033
1999-04-29,1169.8181215431475
1999-04-30,1168.0801950153088
1999-05-03,1176.0409379601695
1999-05-04,1153.890061634376
1999-05-05,1164.1107994561035
1999-05-06,1142.5742012921164
1999-05-07,1140.2138342313722
1999-05-10,1136.5339205806208
1999-05-11,1161.2261838728834
1999-05-12,1182.7715734808357
1999-05-13,1182.5940050971565
1999-05-14,1146.9421652396534
1999-05-17,1163.81612589612
1999-05-18,1155.9675313797998
1999-05-19,1168.3940463954782
1999-05-20,1168.4045726021154
1999-05-21,1163.369673698857
1999-05-24,1134.210375986124
1999-05-25,1106.481592704585
1999-05-26,1133.2263769410763
1999-05-27,1124.0400651318434
1999-05-28,1142.817330906414
1999-05-31,1145.8857381812268
1999-06-01,1136.8283379602983
1999-06-02,1145.0811637900545
1999-06-03,1148.793426642446
1999-06-04,1200.3194146629694
1999-06-07,1194.8951544917538
1999-06-08,1163.2153922685418
1999-06-09,1162.3633492355368
1999-06-10,1132.0925157238485
1999-06-11,1117.9809855854712
1999-06-14,1109.6510762258536
1999-06-15,1119.462107592307
1999-06-16,1166.8047929676063
1999-06-17,1181.250139690918
1999-06-18,1171.055380369139
1999-06-21,1185.7452061202046
1999-06-22,1175.5165462496795
1999-06-23,1175.7916959985023
1999-06-24,1162.5098993407178
1999-06-25,1148.5478320784289
1999-06-28,1169.968128028698
1999-06-29,1197.0005876592184
1999-06-30,1232.1413052916275
1999-07-01,1250.808408885404
1999-07-02,1266.0859601928078
1999-07-05,1264.724379285612
1999-07-06,1257.6570394573002
1999-07-07,1263.1563403935781
1999-07-08,1269.8471890736823
1999-07-09,1274.4437430635853
1999-07-12,1275.021225553512
1999-07-13,1268.3636554625505
1999-07-14,1272.015821259887
1999-07-15,1280.869124846059
1999-07-16,1289.8948217688155
1999-07-19,1278.3540011016753
1999-07-20,1219.5426055376197
1999-07-21,1216.3838684041377
1999-07-22,1200.9604380106277
1999-07-23,1195.206180257221
1999-07-26,1161.5377898322624
1999-07-27,1176.8350918177216
1999-07-28,1184.4780459212227
1999-07-29,1150.4593964696855
1999-07-30,1145.523445298312
1999-08-02,1152.7595764866803
1999-08-03,1148.8783964135935
