Date,PACIFIC ex JAPAN IMI
1998-12-31,339.5211157196606
1999-01-01,339.5247481676515
1999-01-04,339.1785303352968
1999-01-05,338.81042555799115
1999-01-06,349.9322661314954
1999-01-07,360.7512384907683
1999-01-08,362.4986196976684
1999-01-11,364.9799614589943
1999-01-12,364.73256401952324
1999-01-13,349.4714903352401
1999-01-14,345.9475046643122
1999-01-15,351.65148011380893
1999-01-18,357.08028813328474
1999-01-19,358.91428669954496
1999-01-20,361.29755895206006
1999-01-21,355.76139772269266
1999-01-22,349.02388417809544
1999-01-25,342.8718230541875
1999-01-26,343.0525081014038
1999-01-27,349.59245776883495
1999-01-28,348.1945290428179
1999-01-29,353.3501013294022
1999-02-01,360.68139349301623
1999-02-02,357.9921917042105
1999-02-03,356.945137202553
1999-02-04,361.97402159840055
1999-02-05,359.6151908880264
1999-02-08,357.85444538374304
1999-02-09,353.5875759648835
1999-02-10,346.17073836697233
1999-02-11,352.18378706412534
1999-02-12,356.6037938399615
1999-02-15,356.15995777570333
1999-02-16,353.6969572382635
1999-02-17,353.3309278911883
1999-02-18,352.61267793262476
1999-02-19,359.55523305451226
1999-02-22,363.5640279427092
1999-02-23,365.5262384587149
1999-02-24,367.6405465727527
1999-02-25,360.0694557337668
1999-02-26,360.7953395874118
1999-03-01,366.39420212035077
1999-03-02,364.7176967439197
1999-03-03,365.98511729206626
1999-03-04,368.5118399130656
1999-03-05,374.0976779331171
1999-03-08,376.90741530181435
1999-03-09,380.1929075658564
1999-03-10,381.12119670018603
1999-03-11,384.6495550419456
1999-03-12,384.7022518665085
1999-03-15,386.92228729339354
1999-03-16,386.5855947486923
1999-03-17,381.51051171947404
1999-03-18,379.7159255544588
1999-03-19,386.21160450380063
1999-03-22,389.2460653335732
1999-03-23,391.3193024250835
1999-03-24,386.1813027056975
1999-03-25,389.58869020320776
1999-03-26,393.38961098773603
1999-03-29,391.21036803713946
1999-03-30,392.5175392626855
1999-03-31,391.1892192477013
1999-04-01,395.15479881307897
1999-04-02,394.8314385439191
1999-04-05,398.1584483831912
1999-04-06,399.72306665587735
1999-04-07,403.6457514892721
1999-04-08,403.5203871689614
1999-04-09,411.94265137124665
1999-04-12,408.68654540779227
1999-04-13,416.9677942916723
1999-04-14,418.5316047064635
1999-04-15,422.9094701069114
1999-04-16,435.00912842336623
1999-04-19,448.19855481193713
1999-04-20,437.4739952268784
1999-04-21,440.577881032003
1999-04-22,451.9258730674017
1999-04-23,450.9247513867603
1999-04-26,454.6521430374285
1999-04-27,458.08330552727614
1999-04-28,454.9617187334803
1999-04-29,455.61944118981984
1999-04-30,462.3494442591052
1999-05-03,462.12667100095723
1999-05-04,464.68066229788775
1999-05-05,461.11489004813484
1999-05-06,459.95890280512884
1999-05-07,445.51807541285444
1999-05-10,447.137355732886
1999-05-11,449.04570225236944
1999-05-12,453.93757963128377
1999-05-13,457.450340451244
1999-05-14,453.48096123676504
1999-05-17,445.6856261344465
1999-05-18,448.71171246451354
1999-05-19,441.3666216703697
1999-05-20,440.5425084633593
