Date,WORLD ex USA IMI
1998-12-31,354.1918048164998
1999-01-01,354.2210967434249
1999-01-04,359.0210326640048
1999-01-05,361.51239614928704
1999-01-06,368.562414865069
1999-01-07,368.9557908614068
1999-01-08,370.7173147145606
1999-01-11,369.6372973415792
1999-01-12,364.1529210460978
1999-01-13,351.40049808282953
1999-01-14,353.22895287594565
1999-01-15,358.04499382396824
1999-01-18,363.650997662192
1999-01-19,363.1907026540164
1999-01-20,366.74701928457773
1999-01-21,365.1448617201403
1999-01-22,357.88598094511315
1999-01-25,358.69978612530946
1999-01-26,359.7815782171843
1999-01-27,361.40781125981187
1999-01-28,363.6100598112909
1999-01-29,367.4032150570717
1999-02-01,372.54889745137973
1999-02-02,371.9239391799507
1999-02-03,368.7143750360798
1999-02-04,369.5764709204069
1999-02-05,367.659184244855
1999-02-08,366.4015805968738
1999-02-09,359.99220533518616
1999-02-10,357.2964293837868
1999-02-11,361.1741640254184
1999-02-12,364.0574297687998
1999-02-15,365.2501967167003
1999-02-16,365.38093875786734
1999-02-17,361.6797452978681
1999-02-18,361.36352854425246
1999-02-19,363.7673636964004
1999-02-22,368.80799434571173
1999-02-23,371.8339343332869
1999-02-24,373.9830613348865
1999-02-25,370.5304653225737
1999-02-26,371.52708579201146
1999-03-01,368.21722155480273
1999-03-02,366.9241518013238
1999-03-03,365.4161699440605
1999-03-04,367.54318457905384
1999-03-05,376.21915958991036
1999-03-08,375.7103610849322
1999-03-09,378.087487591495
1999-03-10,380.10354247724257
1999-03-11,385.6449670098399
1999-03-12,385.3010899155254
1999-03-15,386.4008805212133
1999-03-16,389.9010249028001
1999-03-17,387.8101940393295
1999-03-18,385.8030093653231
1999-03-19,393.0131755638974
1999-03-22,391.77824196587983
1999-03-23,387.61000974536375
1999-03-24,383.03213520032466
1999-03-25,388.7082526113528
1999-03-26,390.1862381908059
1999-03-29,393.7982972365391
1999-03-30,391.75955714086444
1999-03-31,394.46885261275526
1999-04-01,396.11246046524286
1999-04-02,396.2432850415511
1999-04-05,397.03241327135265
1999-04-06,400.9657591935914
1999-04-07,402.5648902870279
1999-04-08,405.08089532593283
1999-04-09,407.51133880329206
1999-04-12,404.6193843155325
1999-04-13,409.47198852910674
1999-04-14,411.0533502196282
1999-04-15,410.4893287873238
1999-04-16,412.4014906121502
1999-04-19,416.9246185813299
1999-04-20,409.1120115289027
1999-04-21,408.68214900955456
1999-04-22,412.62661969378604
1999-04-23,413.65667720135656
1999-04-26,417.36175541639795
1999-04-27,420.3478716093403
1999-04-28,420.9773974577662
1999-04-29,420.4924608121943
1999-04-30,421.56645219704035
1999-05-03,422.53300692756454
1999-05-04,421.5373604618662
1999-05-05,416.52724882298145
1999-05-06,418.04255083010014
1999-05-07,414.98777891367416
1999-05-10,415.4151690440825
1999-05-11,415.61688614369797
1999-05-12,416.0609624725039
1999-05-13,417.76936909942907
1999-05-14,411.34482059512834
1999-05-17,404.0543926770242
1999-05-18,406.8328384302435
1999-05-19,406.17240794700194
1999-05-20,409.28405022039624
1999-05-21,410.9766035549851
1999-05-24,410.33642019361093
1999-05-25,406.4825887240715
1999-05-26,408.9039835417099
1999-05-27,406.67690482810065
1999-05-28,407.68421991656976
1999-05-31,408.9809518141669
1999-06-01,410.90377174856025
1999-06-02,415.0119565736587
1999-06-03,416.02090219784526
1999-06-04,418.8000659733349
1999-06-07,423.4004194910752
1999-06-08,422.64010874421666
1999-06-09,424.80976922927414
1999-06-10,423.47056923495603
1999-06-11,427.5582093320582
1999-06-14,425.5743060041101
1999-06-15,425.64835618680524
1999-06-16,430.5780765538041
1999-06-17,433.7510692146319
1999-06-18,432.398124312005
1999-06-21,437.05101168068774
1999-06-22,437.5038935265043
