Date,MSCI World IMI with USA Gross Index
2001-09-28,1000.0
2001-10-01,989.9429091838595
2001-10-02,999.5316746573369
2001-10-03,1007.8280002123067
2001-10-04,1025.4568523357002
2001-10-05,1020.3742379332248
2001-10-08,1015.6663234308749
2001-10-09,1010.3914511011218
2001-10-10,1033.504242102314
2001-10-11,1059.2571422654455
2001-10-12,1053.5487359716058
2001-10-15,1045.4698232548037
2001-10-16,1052.1519024253505
2001-10-17,1050.3290023859993
2001-10-18,1041.8418131124372
2001-10-19,1045.0224009647602
2001-10-22,1061.8158424151015
2001-10-23,1070.9107593604176
2001-10-24,1069.9920216692246
2001-10-25,1070.2565423248445
2001-10-26,1081.704129397077
2001-10-29,1050.8758657274475
2001-10-30,1028.5267074080668
2001-10-31,1038.9913598494977
2001-11-01,1048.1475674667263
2001-11-02,1052.0477292836233
2001-11-05,1073.5245731436182
2001-11-06,1084.2241662713634
2001-11-07,1079.9199565365307
2001-11-08,1094.1662443468374
2001-11-09,1089.8439570512367
2001-11-12,1081.5624456156763
2001-11-13,1111.8143477242547
2001-11-14,1113.586399066512
2001-11-15,1119.650405063227
2001-11-16,1117.2676330347228
2001-11-19,1135.155607225796
2001-11-20,1122.1734850158693
2001-11-21,1124.4166262692697
2001-11-22,1123.8326128889364
2001-11-23,1131.8467805213504
2001-11-26,1137.5839497822526
2001-11-27,1128.1153957285671
2001-11-28,1106.9883492028252
2001-11-29,1111.8328158113436
2001-11-30,1104.995876369301
2001-12-03,1099.2465419869868
2001-12-04,1111.0805937233922
2001-12-05,1140.3626810566639
2001-12-06,1138.960064214513
2001-12-07,1130.108035511337
2001-12-10,1114.8348168049367
2001-12-11,1112.3913373389694
2001-12-12,1106.561384223467
2001-12-13,1086.7477462534052
2001-12-14,1079.9124810938984
2001-12-17,1088.7006946449633
2001-12-18,1096.9156859495322
2001-12-19,1100.0734724083163
2001-12-20,1094.498729760283
2001-12-21,1110.6282029149775
2001-12-24,1119.6883426448103
2001-12-25,1119.2694486045177
2001-12-26,1120.865741746925
2001-12-27,1123.8064442302439
2001-12-28,1135.7654321752814
2001-12-31,1121.1422617662467
2002-01-01,1121.1398242510743
2002-01-02,1106.8176745180717
2002-01-03,1122.7089725384385
2002-01-04,1136.8486354700424
2002-01-07,1132.735295403597
2002-01-08,1126.7208439451895
2002-01-09,1125.280980501067
2002-01-10,1116.8023810582085
2002-01-11,1114.0954086281602
2002-01-14,1099.4803202780677
2002-01-15,1106.4432857614122
2002-01-16,1100.2607639975295
2002-01-17,1112.03217857012
2002-01-18,1103.3318396323518
2002-01-21,1102.1980140413152
2002-01-22,1095.088291837275
2002-01-23,1099.303294599778
2002-01-24,1111.5861844285803
2002-01-25,1124.7764706833152
2002-01-28,1132.1500341380074
2002-01-29,1109.6808957623966
2002-01-30,1110.4599203054142
2002-01-31,1124.4114881905573
2002-02-01,1118.7891350574203
2002-02-04,1094.5738238987235
2002-02-05,1082.168937566313
2002-02-06,1073.980273319459
2002-02-07,1074.936356013327
2002-02-08,1082.4187539756763
2002-02-11,1089.9929205548672
2002-02-12,1091.4612209426052
2002-02-13,1103.9707643381696
2002-02-14,1108.57690222672
2002-02-15,1096.2745743290138
2002-02-18,1097.5124142217358
2002-02-19,1073.7082720858052
2002-02-20,1081.010502203007
2002-02-21,1078.3922854055982
2002-02-22,1074.4365958688622
2002-02-25,1093.4828221589141
2002-02-26,1098.3588600685944
2002-02-27,1110.274346021258
2002-02-28,1108.5635568294963
2002-03-01,1126.9943509377408
2002-03-04,1150.0497208499708
2002-03-05,1145.6445000805584
2002-03-06,1151.2920320455762
2002-03-07,1152.1273383845469
2002-03-08,1162.9910151304716
2002-03-11,1165.3518691980037
2002-03-12,1159.4926256981498
2002-03-13,1147.9246849997269
2002-03-14,1143.4996268135694
2002-03-15,1152.721086643171
2002-03-18,1154.9809112376151
2002-03-19,1159.0347121147383
2002-03-20,1144.5961808657064
