Date,KOKUSAI INDEX (WORLD ex JP) IMI
1998-12-31,660.5140590220359
1999-01-01,660.5430793299854
1999-01-04,664.537173841563
1999-01-05,672.0863245277319
1999-01-06,688.9786690601478
1999-01-07,688.7088200060965
1999-01-08,696.5736909124488
1999-01-11,692.4041464571462
1999-01-12,681.1906479980829
1999-01-13,663.2757212160521
1999-01-14,657.6570796772363
1999-01-15,674.5847482983175
1999-01-18,679.8905161032554
1999-01-19,682.005378816725
1999-01-20,686.4282477312246
1999-01-21,676.0922130129211
1999-01-22,667.5718757433852
1999-01-25,671.3636651293422
1999-01-26,676.9898949067734
1999-01-27,678.0981763781181
1999-01-28,690.1729333381948
1999-01-29,698.6274328471209
1999-02-01,703.2976098463331
1999-02-02,696.2319791264043
1999-02-03,698.0437675505083
1999-02-04,693.1820822455915
1999-02-05,688.7065928306849
1999-02-08,689.5893260846414
1999-02-09,673.7130029958762
1999-02-10,671.6901909336895
1999-02-11,685.9540291743203
1999-02-12,681.1192531593545
1999-02-15,683.9299006585
1999-02-16,689.8436017772414
1999-02-17,679.8287467025547
1999-02-18,684.2341979233169
1999-02-19,691.9230904084941
1999-02-22,707.5970033690521
1999-02-23,712.5346155891465
1999-02-24,710.3158900366165
1999-02-25,699.4985609378408
1999-02-26,699.9900274902458
1999-03-01,699.4359963417685
1999-03-02,697.5885356644104
1999-03-03,696.4517953469386
1999-03-04,708.0107752643787
1999-03-05,720.9510970998692
1999-03-08,721.8472092539216
1999-03-09,721.898820302349
1999-03-10,721.1332429507572
1999-03-11,733.5353920186934
1999-03-12,727.7759124051483
1999-03-15,730.7674477409237
1999-03-16,732.2956239632875
1999-03-17,723.8785842013796
1999-03-18,729.432713203198
1999-03-19,729.6119795817427
1999-03-22,728.357508480059
1999-03-23,713.3423557337496
1999-03-24,712.216927059717
1999-03-25,725.6567197373313
1999-03-26,729.7524435600233
1999-03-29,742.1486526527478
1999-03-30,736.4420278286093
1999-03-31,732.8635283729869
1999-04-01,734.770303858706
1999-04-02,736.1117497910868
1999-04-05,748.1319926360522
1999-04-06,747.881257484945
1999-04-07,750.1571859874782
1999-04-08,755.2745374672129
1999-04-09,761.6288491813555
1999-04-12,761.5130815542507
1999-04-13,765.4604232636168
1999-04-14,757.857633607897
1999-04-15,759.2538799899994
1999-04-16,759.8800065865375
1999-04-19,757.7813476705263
1999-04-20,755.2780150776082
1999-04-21,770.3429354056524
1999-04-22,780.4798851673048
1999-04-23,778.5378691228744
1999-04-26,784.5793247150077
1999-04-27,787.0186545435033
1999-04-28,783.4286693588042
1999-04-29,782.3256257309546
1999-04-30,782.5037969174176
1999-05-03,790.1607922674092
1999-05-04,781.6648749626831
1999-05-05,779.1267924790284
1999-05-06,768.7519917516911
1999-05-07,770.4156300895818
1999-05-10,770.0373204694572
1999-05-11,779.9622358389659
1999-05-12,784.9019013340771
1999-05-13,790.8109027457205
1999-05-14,772.4897783665157
1999-05-17,769.5652412483054
1999-05-18,770.7089059626828
1999-05-19,777.1315228994249
1999-05-20,779.2682699373164
1999-05-21,780.0355120183224
1999-05-24,769.3691826548564
1999-05-25,756.153171994303
1999-05-26,768.9169440145915
1999-05-27,760.9380155751516
1999-05-28,768.5560367216807
1999-05-31,771.2415014440958
1999-06-01,765.7454875225451
1999-06-02,773.6217795807717
1999-06-03,776.8607559010072
1999-06-04,790.9381715843597
1999-06-07,797.7111160837248
1999-06-08,784.7038167210006
1999-06-09,786.1677801960732
1999-06-10,775.2967272789698
1999-06-11,774.0223625148352
1999-06-14,773.9798464754069
1999-06-15,777.1803807202888
1999-06-16,795.6872784692491
1999-06-17,800.2958894342913
1999-06-18,798.7704206780141
1999-06-21,808.2947006590921
1999-06-22,803.774893038568
1999-06-23,800.1064238529273
1999-06-24,789.5521353052574
1999-06-25,782.3687230844955
1999-06-28,793.3877478584907
1999-06-29,802.1883174244293
