Date,EASEA INDEX (EAFE ex JAPAN) IMI
1998-12-31,541.4853556090067
1999-01-01,541.546824650416
1999-01-04,555.0271935830918
1999-01-05,560.2266242272913
1999-01-06,572.8048127761998
1999-01-07,569.0440611867505
1999-01-08,572.4757202942908
1999-01-11,566.7741114765333
1999-01-12,560.0967769276804
1999-01-13,539.513343495526
1999-01-14,541.0472369427897
1999-01-15,549.1589822976094
1999-01-18,560.5673191349914
1999-01-19,559.205327336442
1999-01-20,563.6657168359756
1999-01-21,558.076288814421
1999-01-22,545.5046844780816
1999-01-25,546.1198059566985
1999-01-26,547.0405425430015
1999-01-27,550.2959419381115
1999-01-28,555.3725297124384
1999-01-29,559.263836073496
1999-02-01,567.9349545887032
1999-02-02,564.9799929447324
1999-02-03,560.0287385745091
1999-02-04,561.585438759069
1999-02-05,559.5704382587464
1999-02-08,556.6467845026156
1999-02-09,546.9638888984441
1999-02-10,542.2536986548018
1999-02-11,549.0477255756318
1999-02-12,554.1041922001078
1999-02-15,556.6654876995985
1999-02-16,559.2920995383995
1999-02-17,554.4948283285037
1999-02-18,554.7114208002072
1999-02-19,558.270356716789
1999-02-22,564.6709801264363
1999-02-23,570.2579337560348
1999-02-24,575.1954542678201
1999-02-25,566.7447566149481
1999-02-26,565.8675903413
1999-03-01,561.2826700657796
1999-03-02,562.397727531988
1999-03-03,559.7085020633693
1999-03-04,564.1205365255778
1999-03-05,573.9769594983153
1999-03-08,572.2506784793616
1999-03-09,574.4194576152605
1999-03-10,573.6717334495705
1999-03-11,582.085695233536
1999-03-12,582.3399236350427
1999-03-15,580.1130121999963
1999-03-16,581.6322856096332
1999-03-17,577.2459888486238
1999-03-18,575.6190003330618
1999-03-19,582.2368133688683
1999-03-22,580.4204992730704
1999-03-23,572.7047991994433
1999-03-24,567.3018531983478
1999-03-25,575.1383271785198
1999-03-26,575.5226289827012
1999-03-29,581.7798101474536
1999-03-30,579.9957330328884
1999-03-31,583.1791036483983
1999-04-01,583.292838056252
1999-04-02,583.7998169089782
1999-04-05,584.8378947462334
1999-04-06,590.2363881010015
1999-04-07,593.93276942371
1999-04-08,595.4695834692232
1999-04-09,599.6721510811593
1999-04-12,597.2472456406249
1999-04-13,603.7966669167226
1999-04-14,603.0756548455934
1999-04-15,601.335589102844
1999-04-16,602.2088478139402
1999-04-19,611.8742577400653
1999-04-20,597.9579311627363
1999-04-21,600.8826390550261
1999-04-22,607.5122978347619
1999-04-23,606.5839970835258
1999-04-26,611.18580085872
1999-04-27,619.6239806027546
1999-04-28,618.5757983836963
1999-04-29,616.2044983552753
1999-04-30,620.2811827895697
1999-05-03,623.1111831570224
1999-05-04,623.4581902656636
1999-05-05,615.1630662438184
1999-05-06,613.7143886403207
1999-05-07,609.5858052064309
1999-05-10,609.7044642528489
1999-05-11,611.417549531193
1999-05-12,610.3778710234934
1999-05-13,615.4004560720635
1999-05-14,606.0612441889523
1999-05-17,596.082454323387
1999-05-18,601.073780205113
1999-05-19,605.3938670464051
1999-05-20,610.3565591771993
1999-05-21,610.6050557085306
1999-05-24,608.2437364318769
1999-05-25,601.7165887713394
1999-05-26,603.3652499747182
1999-05-27,598.9275476118345
1999-05-28,599.9680244727501
1999-05-31,602.7631149221538
1999-06-01,602.3426481504031
1999-06-02,607.08308079302
1999-06-03,611.1923953657582
1999-06-04,615.5392990639996
1999-06-07,621.349799246193
1999-06-08,619.7739121631399
1999-06-09,621.6559339166675
1999-06-10,616.1613678132024
1999-06-11,621.1433105300366
1999-06-14,619.7463585369607
1999-06-15,619.6581576007939
1999-06-16,626.3940293386443
1999-06-17,628.8834363031963
1999-06-18,629.9470592803259
1999-06-21,637.0909324371178
1999-06-22,635.6947177415778
1999-06-23,630.3564735087111
1999-06-24,624.7287460103679
1999-06-25,621.7638780227951
1999-06-28,623.5713455075518
1999-06-29,623.5344283131783
1999-06-30,623.2407312489648
1999-07-01,636.0894277319663
1999-07-02,640.2648238599676
1999-07-05,648.7887606761395
1999-07-06,646.9814672461071
1999-07-07,643.7077578638549
1999-07-08,643.4838918105063
1999-07-09,644.0500695840026
1999-07-12,646.0810019109555
1999-07-13,637.66241015591
1999-07-14,639.3463847930993
1999-07-15,644.9368187638594
1999-07-16,643.3996576561582
