Date,NORTH AMERICA IMI
1998-12-31,738.9685655567015
1999-01-01,738.9685655567015
1999-01-04,734.6367737680534
1999-01-05,743.9445153282876
1999-01-06,763.9509765478718
1999-01-07,766.7308095361318
1999-01-08,778.156801862154
1999-01-11,775.4802784128635
1999-01-12,760.7424882302423
1999-01-13,745.8341790411079
1999-01-14,734.2040706455361
1999-01-15,758.1626179770542
1999-01-18,757.9557719596262
1999-01-19,763.0167738545504
1999-01-20,767.2390634554204
1999-01-21,753.1642726192375
1999-01-22,748.4920150975664
1999-01-25,754.9048798327069
1999-01-26,764.4130545835911
1999-01-27,763.6101985757836
1999-01-28,781.319389017331
1999-01-29,793.4282314345201
1999-02-01,794.4335075018631
1999-02-02,784.0542972342678
1999-02-03,791.6885259443081
1999-02-04,781.4158130499179
1999-02-05,774.9658993297984
1999-02-08,779.1372980420598
1999-02-09,758.465186407015
1999-02-10,758.8658191094561
1999-02-11,779.0929847159985
1999-02-12,765.8264650115614
1999-02-15,768.7473071434991
1999-02-16,777.2988186136961
1999-02-17,763.1220930912588
1999-02-18,771.007283035756
1999-02-19,782.0004928813781
1999-02-22,805.14959435465
1999-02-23,809.3358067568389
1999-02-24,800.9781401381476
1999-02-25,788.5115392944065
1999-02-26,790.1745861178669
1999-03-01,793.1501301824045
1999-03-02,788.7946658228396
1999-03-03,789.0516647322638
1999-03-04,806.3915777067522
1999-03-05,821.5250866948395
1999-03-08,824.6695048330015
1999-03-09,822.8772563646047
1999-03-10,822.124988557866
1999-03-11,837.5265625928402
1999-03-12,826.7555695888709
1999-03-15,834.1724084643006
1999-03-16,835.6506705770124
1999-03-17,824.0466669221076
1999-03-18,835.6375251013028
1999-03-19,830.2099368803185
1999-03-22,829.4916050909262
1999-03-23,808.6974358178832
1999-03-24,811.3328330728565
1999-03-25,829.1364614616897
1999-03-26,836.3030259875889
1999-03-29,853.5662856071647
1999-03-30,844.6660753023249
1999-03-31,835.3494093960481
1999-04-01,838.7417797287823
1999-04-02,840.7571893060922
1999-04-05,861.8642765154176
1999-04-06,856.734517284086
1999-04-07,857.6913280286022
1999-04-08,865.7265413467727
1999-04-09,873.7113472334626
1999-04-12,875.611236067174
1999-04-13,877.1432592091569
1999-04-14,863.8390511489608
1999-04-15,867.9121533580604
1999-04-16,868.2993688234674
1999-04-19,856.0216160826619
1999-04-20,863.5424240496448
1999-04-21,888.5997070639507
1999-04-22,901.4036315371702
1999-04-23,898.6536055871767
1999-04-26,905.7187173769582
1999-04-27,902.8501964427319
1999-04-28,897.1859859388607
1999-04-29,897.2295317615689
1999-04-30,894.0014683778573
1999-05-03,905.5701588828963
1999-05-04,889.6958324208118
1999-05-05,892.2653597325705
1999-05-06,874.5123666777574
1999-05-07,881.1571898508566
1999-05-10,880.3603350503702
1999-05-11,897.0533161260315
1999-05-12,907.0045296226543
1999-05-13,913.4613256918121
1999-05-14,888.0249956288152
1999-05-17,891.3491826666636
1999-05-18,889.102369178513
1999-05-19,897.109491746315
1999-05-20,896.7157474799118
1999-05-21,897.9043252765281
1999-05-24,880.4266936455124
1999-05-25,861.9052361414872
1999-05-26,883.8249699493168
1999-05-27,873.074752460891
1999-05-28,886.1068358129497
1999-05-31,888.5975831033671
1999-06-01,878.9061607744069
1999-06-02,889.2069701914362
1999-06-03,891.5726310444105
1999-06-04,913.5525506848475
1999-06-07,920.9084044125372
1999-06-08,898.4875588801782
1999-06-09,899.5359078838015
1999-06-10,884.4122239089917
1999-06-11,877.7750768974173
1999-06-14,878.9053392167231
1999-06-15,884.832364700386
1999-06-16,912.8410005557698
1999-06-17,919.1131861035487
1999-06-18,915.4034214582355
1999-06-21,926.6364003969144
1999-06-22,919.5793733958328
1999-06-23,917.4923716162887
1999-06-24,903.063000857718
1999-06-25,892.4926644378841
1999-06-28,911.0935154294821
1999-06-29,927.2553725591918
1999-06-30,943.5209534495546
1999-07-01,955.0510534810046
1999-07-02,964.676442828539
1999-07-05,964.282858861025
1999-07-06,961.433283375154
1999-07-07,965.6073254012206
1999-07-08,970.016388640106
1999-07-09,974.4037375323578
1999-07-12,976.9207163869231
1999-07-13,969.0878803225512
1999-07-14,971.25125714434
1999-07-15,975.4546545790112
1999-07-16,982.5819115929231
1999-07-19,979.5237094026743
1999-07-20,937.2273392411336
1999-07-21,931.1920897360184
1999-07-22,920.0296978537945
1999-07-23,919.2985378621544
1999-07-26,894.2914248352871
1999-07-27,906.4865238163434
1999-07-28,909.5980442586026
1999-07-29,885.7091862452404
1999-07-30,881.0937459227695
1999-08-02,882.4000508994078
1999-08-03,876.3184275864223
1999-08-04,856.3556233023227
1999-08-05,857.9329529346265
1999-08-06,850.8610246144007
1999-08-09,854.4346800141327
1999-08-10,842.2288419441115
1999-08-11,861.5762282875125
1999-08-12,861.8553485389087
1999-08-13,886.9149949676407
1999-08-16,889.0261040702738
1999-08-17,903.0965622095633
1999-08-18,893.9263920607
1999-08-19,880.0916273867564
1999-08-20,885.8315268559652
1999-08-23,906.6991630264268
1999-08-24,912.6770606755321
1999-08-25,929.2024828144629
1999-08-26,920.9378507416063
1999-08-27,909.8460096795836
1999-08-30,894.7986623071814
1999-08-31,883.5503652190988
1999-09-01,887.4126455506457
1999-09-02,870.010880426657
1999-09-03,903.0564279182956
1999-09-06,905.2047898788675
1999-09-07,901.3028240137676
1999-09-08,896.5877022658834
1999-09-09,902.9678858317577
1999-09-10,914.6929000473403
1999-09-13,916.4761401298131
1999-09-14,908.2716070483311
1999-09-15,899.9128823096594
1999-09-16,897.7115217810907
