Date,CANADA MOMENTUM
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1012.4201726658949
1999-01-05,1035.7265776332274
1999-01-06,1075.4303915180774
1999-01-07,1078.0010784124838
1999-01-08,1088.4650085179303
1999-01-11,1082.6812221695373
1999-01-12,1064.0066586582802
1999-01-13,1035.834194944538
1999-01-14,1030.5220991881401
1999-01-15,1079.47943586762
1999-01-18,1091.3047718928171
1999-01-19,1075.3773656448595
1999-01-20,1075.5651928978136
1999-01-21,1067.466475001163
1999-01-22,1061.709614648646
1999-01-25,1081.213220269873
1999-01-26,1088.8785573240245
1999-01-27,1104.244081236103
1999-01-28,1109.353657194182
1999-01-29,1142.0897507766445
1999-02-01,1147.9140769518847
1999-02-02,1122.812756742667
1999-02-03,1131.4592952239027
1999-02-04,1137.9979724919524
1999-02-05,1135.1714755055946
1999-02-08,1137.6235812772252
1999-02-09,1100.8446471335017
1999-02-10,1094.60797204967
1999-02-11,1118.3612736225398
1999-02-12,1107.814058335633
1999-02-15,1113.8769533855389
1999-02-16,1104.0734460620224
1999-02-17,1092.8280062844801
1999-02-18,1110.4472460995305
1999-02-19,1127.7635022523114
1999-02-22,1154.1714385756052
1999-02-23,1150.7485102641097
1999-02-24,1129.776877662913
1999-02-25,1113.269435089547
1999-02-26,1122.6607454720913
1999-03-01,1120.4657556377888
1999-03-02,1104.2444674415053
1999-03-03,1086.6842821008247
1999-03-04,1115.1768844768915
1999-03-05,1143.125847418709
1999-03-08,1160.1378004849682
1999-03-09,1155.5253061750352
1999-03-10,1161.4424578011822
1999-03-11,1168.749088435794
1999-03-12,1157.1496192900122
1999-03-15,1157.8457914732394
1999-03-16,1164.5892600064305
1999-03-17,1147.7999032427574
1999-03-18,1143.8525174458277
1999-03-19,1152.6946054189793
1999-03-22,1159.0198852490623
1999-03-23,1144.5410271779022
1999-03-24,1159.1633413924776
1999-03-25,1176.019313195821
1999-03-26,1194.3832831528332
1999-03-29,1188.83231084875
1999-03-30,1166.3080605876564
1999-03-31,1176.3755506851414
1999-04-01,1185.659851960795
1999-04-02,1193.6929269709165
1999-04-05,1226.5804970428032
1999-04-06,1226.5197803402843
1999-04-07,1235.123848657251
1999-04-08,1271.4819441434088
1999-04-09,1253.980419543893
1999-04-12,1255.5340240041032
1999-04-13,1255.8228480856026
1999-04-14,1256.5706869147452
1999-04-15,1265.9735807568918
1999-04-16,1268.9300212688581
1999-04-19,1249.6470880468607
1999-04-20,1255.653968533532
1999-04-21,1281.4989624614589
1999-04-22,1295.7112954388206
1999-04-23,1305.0150405097188
1999-04-26,1307.5665118086238
1999-04-27,1301.412036119817
1999-04-28,1311.2337538442143
1999-04-29,1309.7693700250018
1999-04-30,1302.6117333176571
1999-05-03,1318.026826953945
1999-05-04,1316.9309963910343
1999-05-05,1301.6354638174114
1999-05-06,1286.0700874052177
1999-05-07,1267.9561780151744
1999-05-10,1273.982532755684
1999-05-11,1300.9944695461202
1999-05-12,1305.946180535041
1999-05-13,1323.2701756419838
1999-05-14,1272.0207784735437
1999-05-17,1273.35777063421
1999-05-18,1285.2907079315028
1999-05-19,1298.5774536965537
1999-05-20,1298.9399100395303
1999-05-21,1309.9210573368578
1999-05-24,1310.9870506431648
1999-05-25,1276.383296022747
1999-05-26,1280.3872760665035
1999-05-27,1276.2557018032223
1999-05-28,1299.2837582957764
1999-05-31,1304.5536848490935
1999-06-01,1296.2453852603217
1999-06-02,1318.6950200277415
1999-06-03,1341.111834912284
1999-06-04,1369.9701839131435
1999-06-07,1386.140284867333
1999-06-08,1351.0496092527665
1999-06-09,1362.4120308539173
1999-06-10,1353.1861895418158
1999-06-11,1348.923258632192
1999-06-14,1354.2782932284574
1999-06-15,1339.0479739809884
1999-06-16,1371.6769746351747
1999-06-17,1377.931877610912
1999-06-18,1379.2811854323852
1999-06-21,1379.2709385490766
1999-06-22,1364.6298148014166
1999-06-23,1353.729688537487
1999-06-24,1345.9271233223908
1999-06-25,1347.6978443873481
1999-06-28,1359.1991955888755
1999-06-29,1371.14883620005
1999-06-30,1374.2471414340773
1999-07-01,1393.4550355387119
1999-07-02,1434.18078811783
1999-07-05,1457.3501875605455
1999-07-06,1438.1345491892002
1999-07-07,1433.4117528052118
1999-07-08,1431.3962928438325
1999-07-09,1447.149354269838
1999-07-12,1446.9826771298717
1999-07-13,1426.8966590793978
1999-07-14,1458.74546056039
1999-07-15,1471.9737202275364
1999-07-16,1466.4855844958295
1999-07-19,1454.1912231388592
1999-07-20,1390.5472068315453
1999-07-21,1362.8231729675479
1999-07-22,1346.1283087009983
1999-07-23,1344.4265951780171
1999-07-26,1306.3442998395824
1999-07-27,1312.8471567715942
1999-07-28,1341.6689889859317
1999-07-29,1319.7781851053564
1999-07-30,1349.0198435144396
1999-08-02,1347.3209033837306
1999-08-03,1345.902521974616
