Date,UNITED KINGDOM MOMENTUM
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,991.5507931952701
1999-01-05,1006.1898285580249
1999-01-06,1043.5817464718584
1999-01-07,1031.882125577446
1999-01-08,1044.2489981354315
1999-01-11,1037.7871660540804
1999-01-12,1018.3598555225788
1999-01-13,992.0796047614573
1999-01-14,994.5392328765486
1999-01-15,1022.100568548603
1999-01-18,1052.877917062576
1999-01-19,1044.7657776438793
1999-01-20,1053.078099519606
1999-01-21,1041.4367897967431
1999-01-22,1017.6611253190231
1999-01-25,1025.8363960655438
1999-01-26,1028.4290377416755
1999-01-27,1027.4062130870625
1999-01-28,1033.7631539971776
1999-01-29,1032.9813183386777
1999-02-01,1053.4983832806026
1999-02-02,1048.3218634605914
1999-02-03,1023.9108523558641
1999-02-04,1029.016020586368
1999-02-05,1013.5543400712866
1999-02-08,1007.6971792908685
1999-02-09,994.319938702306
1999-02-10,989.371077319048
1999-02-11,1011.7286672960652
1999-02-12,1016.2884465000836
1999-02-15,1026.1514471594294
1999-02-16,1044.0880257691697
1999-02-17,1039.202234006268
1999-02-18,1043.154778092157
1999-02-19,1043.8421022136183
1999-02-22,1052.7924111590125
1999-02-23,1061.522030430853
1999-02-24,1072.487347501905
1999-02-25,1048.6082293129336
1999-02-26,1049.0491459562516
1999-03-01,1039.1040487031623
1999-03-02,1041.7929589411115
1999-03-03,1039.1824756472315
1999-03-04,1047.0839718635696
1999-03-05,1060.2393404787992
1999-03-08,1053.2520415311992
1999-03-09,1063.5008073935765
1999-03-10,1062.3517731446868
1999-03-11,1079.3576044354145
1999-03-12,1062.4350616581435
1999-03-15,1039.2931387892377
1999-03-16,1041.4911314020478
1999-03-17,1026.9708797470582
1999-03-18,1026.0145966073078
1999-03-19,1041.4509007939685
1999-03-22,1040.9880305479855
1999-03-23,1028.3000854881614
1999-03-24,1032.2938242769376
1999-03-25,1042.8583594697177
1999-03-26,1059.3836964844156
1999-03-29,1081.9609231251047
1999-03-30,1073.9487742025933
1999-03-31,1075.540162091016
1999-04-01,1068.0891261951333
1999-04-02,1069.7317556082514
1999-04-05,1074.4548934690613
1999-04-06,1069.0086903192353
1999-04-07,1071.4053910393156
1999-04-08,1075.7529313486991
1999-04-09,1083.359127372486
1999-04-12,1076.7718232378306
1999-04-13,1092.0871836213153
1999-04-14,1086.0936764233752
1999-04-15,1081.8463714100233
1999-04-16,1068.370647958551
1999-04-19,1083.1798672258062
1999-04-20,1048.5323603776053
1999-04-21,1051.1064284173651
1999-04-22,1079.0173221965367
1999-04-23,1080.2824844598001
1999-04-26,1099.8463034581187
1999-04-27,1114.7843655603608
1999-04-28,1113.8295343917127
1999-04-29,1092.1708970739617
1999-04-30,1099.9815791083251
1999-05-03,1101.2306710363403
1999-05-04,1100.8594342538079
1999-05-05,1081.1845528139736
1999-05-06,1080.222799565884
1999-05-07,1074.968997800026
1999-05-10,1070.7388182281425
1999-05-11,1076.3951605837833
1999-05-12,1072.59494842047
1999-05-13,1099.1130197666664
1999-05-14,1069.561738756743
1999-05-17,1052.9145893550653
1999-05-18,1059.5247741434493
1999-05-19,1064.4308312550977
1999-05-20,1083.1232107744727
1999-05-21,1081.008848314793
1999-05-24,1066.7550318270924
1999-05-25,1058.825409062844
1999-05-26,1065.9107344053527
1999-05-27,1060.3923533035468
1999-05-28,1066.9527568338742
1999-05-31,1070.3849608261535
1999-06-01,1074.0971741097605
1999-06-02,1092.3037907007804
1999-06-03,1098.9109412257412
1999-06-04,1105.6475189551024
1999-06-07,1121.5463666024518
1999-06-08,1112.686521319244
1999-06-09,1111.6869471072298
1999-06-10,1101.1606469571277
1999-06-11,1117.2007428793706
1999-06-14,1114.4153949118438
1999-06-15,1107.919171395929
1999-06-16,1129.9136748890526
1999-06-17,1129.919841780383
1999-06-18,1128.8084642567603
1999-06-21,1150.7400308517772
1999-06-22,1149.9797501985288
1999-06-23,1130.8570576900245
1999-06-24,1114.5563349815923
1999-06-25,1107.9787327716024
1999-06-28,1108.0911509982327
1999-06-29,1090.702753291363
1999-06-30,1088.2554008814184
1999-07-01,1127.8895460522215
1999-07-02,1132.5648657729246
1999-07-05,1156.7560445037575
1999-07-06,1153.075084096088
1999-07-07,1148.8264500995888
1999-07-08,1139.3503350000883
1999-07-09,1136.2756025983606
1999-07-12,1148.1121782752282
1999-07-13,1121.8589008921724
1999-07-14,1126.5999246094866
1999-07-15,1147.6375467388443
1999-07-16,1149.1394008514744
1999-07-19,1139.2264536047794
1999-07-20,1105.380861690425
1999-07-21,1089.5875985138634
1999-07-22,1088.8448955496006
1999-07-23,1064.7125242069135
1999-07-26,1050.0342336753256
1999-07-27,1067.8552433504506
1999-07-28,1077.1502866892308
1999-07-29,1056.1739968560792
1999-07-30,1083.5974687017563
1999-08-02,1092.623810321517
