Date,ANDEAN GROWTH
2002-05-31,1000.0
2002-06-03,987.6491723077397
2002-06-04,969.1764626451534
2002-06-05,968.2537860034308
2002-06-06,958.5115922205808
2002-06-07,957.382894696616
2002-06-10,953.2409993479331
2002-06-11,930.2640726327302
2002-06-12,919.3509667624253
2002-06-13,918.0261349054855
2002-06-14,926.1874769261038
2002-06-17,939.9360890289952
2002-06-18,939.2859184694406
2002-06-19,921.1644996912557
2002-06-20,914.0046354280014
2002-06-21,902.4389239239233
2002-06-24,902.3515684882906
2002-06-25,902.5195096514203
2002-06-26,874.6738858774761
2002-06-27,881.1613747692281
2002-06-28,882.1062904653581
2002-07-01,873.6560449555939
2002-07-02,852.9568967063736
2002-07-03,831.9717281314462
2002-07-04,844.6051559409458
2002-07-05,847.7351988403709
2002-07-08,842.945087498016
2002-07-09,840.8770863244614
2002-07-10,829.9042695458076
2002-07-11,825.5494370693577
2002-07-12,833.1500389976882
2002-07-15,813.8978195816882
2002-07-16,808.6475096450641
2002-07-17,812.4644619378497
2002-07-18,823.8014401887469
2002-07-19,833.5365034759783
2002-07-22,814.1535755047081
2002-07-23,795.1293854151596
2002-07-24,802.1670751441768
2002-07-25,795.4840039782569
2002-07-26,793.5440727747316
2002-07-29,814.1242427139263
2002-07-30,824.8393468703803
2002-07-31,827.4834191551025
2002-08-01,812.1354360255275
2002-08-02,819.8521710425986
2002-08-05,790.562318342198
2002-08-06,805.0566465254519
2002-08-07,829.9399392432549
2002-08-08,852.0186838273386
2002-08-09,842.7509216041827
2002-08-12,830.5201504383076
2002-08-13,830.2900510705276
2002-08-14,843.6377031961925
2002-08-15,850.4548300477838
2002-08-16,858.8679089647569
2002-08-19,857.8889507871215
2002-08-20,844.9661006228464
2002-08-21,833.6007185611776
2002-08-22,840.3455284075607
2002-08-23,835.2319427689747
2002-08-26,833.0421181457327
2002-08-27,829.7665671077646
2002-08-28,808.496921171168
2002-08-29,809.4238387324673
2002-08-30,812.8374439719496
2002-09-02,810.3145914075981
2002-09-03,800.6347087242564
2002-09-04,796.4970646817789
2002-09-05,785.1395009909722
2002-09-06,777.4347744293481
2002-09-09,786.4854715670452
2002-09-10,792.2952019865404
2002-09-11,790.198544435388
2002-09-12,781.0058643251588
2002-09-13,776.504916874573
2002-09-16,765.3933764220088
2002-09-17,754.8829763020939
2002-09-18,755.574240502005
2002-09-19,756.2349351625679
2002-09-20,729.6616634562085
2002-09-23,709.2620764480464
2002-09-24,699.4739554152188
2002-09-25,711.9749293339202
2002-09-26,710.3914314258468
2002-09-27,700.9451321831664
2002-09-30,693.9267322954674
2002-10-01,706.6680260242408
2002-10-02,700.0440582178476
2002-10-03,700.3196517414746
2002-10-04,709.3532076857797
2002-10-07,694.1709100058483
2002-10-08,689.4845896792851
2002-10-09,665.1876120318765
2002-10-10,663.4767704718818
2002-10-11,680.1791193212706
2002-10-14,677.3387305997379
2002-10-15,672.7815980501155
2002-10-16,659.5917859741684
2002-10-17,658.071437431051
2002-10-18,675.773888412445
2002-10-21,670.5158328767618
2002-10-22,673.2351327538724
2002-10-23,676.0206024702456
2002-10-24,686.3213198124441
2002-10-25,688.3627973440474
2002-10-28,692.4203890263275
2002-10-29,692.4563568204215
2002-10-30,704.8081014289454
2002-10-31,720.4970154489243
2002-11-01,723.9060996598969
2002-11-04,730.4742423095946
2002-11-05,742.9640335611318
2002-11-06,750.2430349207672
2002-11-07,755.4502965958078
2002-11-08,756.585482300992
2002-11-11,750.659594595042
2002-11-12,752.6300792532608
2002-11-13,755.4837582356244
2002-11-14,773.7176529052249
2002-11-15,789.3469970091506
2002-11-18,795.2186962334988
2002-11-19,790.3572798416363
