Date,EM GCC COUNTRIES GROWTH
2014-05-30,1000.0
2014-06-02,979.1170960252763
2014-06-03,952.9781207758875
2014-06-04,942.7049278179119
2014-06-05,954.2220325688742
2014-06-06,954.2096663061445
2014-06-09,898.7287518104573
2014-06-10,882.8817473583548
2014-06-11,872.8263716454076
2014-06-12,893.7563848921411
2014-06-13,893.7505343177517
2014-06-16,839.4423824683687
2014-06-17,837.2822174048993
2014-06-18,851.1516391100572
2014-06-19,850.4416172544021
2014-06-20,850.4416172544021
2014-06-23,808.9353912939221
2014-06-24,786.008013620622
2014-06-25,795.6749448944479
2014-06-26,773.2621484280139
2014-06-27,773.2576860738733
2014-06-30,718.0959380480699
2014-07-01,759.5607780591343
2014-07-02,803.9430983972663
2014-07-03,802.0807813498288
2014-07-04,802.0862525385156
2014-07-07,817.9881934064317
2014-07-08,824.7033504033172
2014-07-09,827.4387091894107
2014-07-10,848.4226309686293
2014-07-11,848.4226309686295
2014-07-14,850.0024269582459
2014-07-15,866.690750678406
2014-07-16,882.3131095683311
2014-07-17,884.055186813065
2014-07-18,884.0551868130652
2014-07-21,857.4684622801707
2014-07-22,860.2544633652238
2014-07-23,853.5180543252205
2014-07-24,835.9973164280968
2014-07-25,835.9973164280971
2014-07-28,840.4059975548791
2014-07-29,840.4231087715569
2014-07-30,840.4231087715569
2014-07-31,854.5650218290348
2014-08-01,854.5650218290348
2014-08-04,856.3847532677624
2014-08-05,857.920942035501
2014-08-06,841.7379407298358
2014-08-07,845.1029747086096
2014-08-08,845.1029747086096
2014-08-11,855.0754205043552
2014-08-12,858.4382197392986
2014-08-13,876.7676032699787
2014-08-14,874.6345371160971
2014-08-15,874.6175233465364
2014-08-18,882.2888406954971
2014-08-19,891.0359601430454
2014-08-20,889.1820874011089
2014-08-21,896.5403058600239
2014-08-22,896.5093366896799
2014-08-25,903.7023379009619
2014-08-26,907.523404221767
2014-08-27,903.9343148197878
2014-08-28,867.7096485073555
2014-08-29,867.726971120527
2014-09-01,905.0498171422264
2014-09-02,909.8455009409658
2014-09-03,919.9009214891213
2014-09-04,924.4950024753667
2014-09-05,924.4950024753667
2014-09-08,922.5026524102499
2014-09-09,922.6134172278316
2014-09-10,904.7910486170285
2014-09-11,914.3336411263584
2014-09-12,914.3336411263584
2014-09-15,922.8254006198721
2014-09-16,918.5853128097956
2014-09-17,919.8525883789418
2014-09-18,941.2518469404133
2014-09-19,941.2518469404135
2014-09-22,924.049715409517
2014-09-23,922.2327136509225
2014-09-24,915.156792040522
2014-09-25,911.208672373282
2014-09-26,911.2134268297973
2014-09-29,903.2744900216143
2014-09-30,901.8652014985411
2014-10-01,899.6008994523845
2014-10-02,897.2768872693534
2014-10-03,897.2700106346776
2014-10-06,897.2608360982247
2014-10-07,899.589021455813
2014-10-08,886.8947493936931
2014-10-09,892.9719349120826
2014-10-10,892.9788111691058
2014-10-13,853.8366923534613
2014-10-14,850.0319405518943
2014-10-15,841.721973351182
2014-10-16,812.2209419062351
2014-10-17,812.2144751335024
2014-10-20,808.2568269659482
2014-10-21,819.3177030739548
2014-10-22,837.8079231293088
2014-10-23,846.6696328892218
2014-10-24,846.6964467129952
2014-10-27,852.5382743899273
2014-10-28,853.7472254460561
2014-10-29,858.5658317366075
2014-10-30,838.5287473128778
2014-10-31,838.5047144838655
2014-11-03,860.6775791016952
2014-11-04,857.1572187834822
2014-11-05,830.3246441687974
2014-11-06,831.8225193565594
2014-11-07,831.8225193565594
2014-11-10,854.4115385020383
2014-11-11,855.9852668727223
2014-11-12,851.56195067826
2014-11-13,858.8803475146251
2014-11-14,858.866887214208
2014-11-17,849.2137623194776
2014-11-18,857.2485332793296
2014-11-19,858.7565004727804
2014-11-20,861.7871856656662
2014-11-21,861.7871856656662
2014-11-24,858.9116663631448
2014-11-25,846.3265151551769
2014-11-26,836.7309556907405
2014-11-27,835.0521339101787
2014-11-28,835.0305226900985
2014-12-01,801.5985089101364
2014-12-02,794.6343244824023
2014-12-03,783.0556022039021
2014-12-04,777.2797779561218
2014-12-05,777.2540620005916
2014-12-08,763.1829129760004
2014-12-09,744.1701660435226
2014-12-10,742.2818228445484
2014-12-11,703.2478154747888
2014-12-12,703.2478154747888
2014-12-15,684.1644016146009
2014-12-16,658.0067737967686
2014-12-17,667.660845899723
2014-12-18,695.0741616657468
2014-12-19,695.0741616657469
2014-12-22,759.3105413149524
2014-12-23,730.2545426509137
2014-12-24,745.3627105045259
2014-12-25,750.0402278590204
2014-12-26,750.0402278590204
2014-12-29,755.684749281351
