Date,EM EASTERN EUROPE ex RUSSIA GROWTH
2007-05-31,1000.0
2007-06-01,1015.3963629024973
2007-06-04,1010.6608304745063
2007-06-05,1009.1941130472444
2007-06-06,981.066786783625
2007-06-07,976.3274727709855
2007-06-08,952.4379057700603
2007-06-11,962.3425645737692
2007-06-12,955.9390625434265
2007-06-13,967.8846513051255
2007-06-14,978.3525411434898
2007-06-15,993.6192942778897
2007-06-18,991.0623837853059
2007-06-19,991.2516658635933
2007-06-20,996.5792818568983
2007-06-21,999.6065041061308
2007-06-22,1013.8183510464705
2007-06-25,1012.4787601038096
2007-06-26,1026.575469463404
2007-06-27,1007.8880441438221
2007-06-28,1032.5018690456943
2007-06-29,1039.1550009814137
2007-07-02,1048.7032655389373
2007-07-03,1057.404944344975
2007-07-04,1065.3613322658457
2007-07-05,1055.0741255064668
2007-07-06,1069.1414795224773
2007-07-09,1065.547349694294
2007-07-10,1053.5481883654738
2007-07-11,1054.6348557602155
2007-07-12,1067.190066581246
2007-07-13,1067.641542263814
2007-07-16,1066.1397523889352
2007-07-17,1062.8758971549073
2007-07-18,1068.2715150445058
2007-07-19,1080.5541656008415
2007-07-20,1070.8936114385315
2007-07-23,1090.7735062440236
2007-07-24,1076.410127606595
2007-07-25,1054.4647006325567
2007-07-26,1029.3318728666118
2007-07-27,1007.6389596490337
2007-07-30,1010.3808691648985
2007-07-31,1035.6407177077617
2007-08-01,1008.9060007746074
2007-08-02,1014.7451058200514
2007-08-03,1008.5171970460758
2007-08-06,991.148571621101
2007-08-07,1004.5828049831447
2007-08-08,1022.3297484433347
2007-08-09,997.6637417296294
2007-08-10,962.1279570489347
2007-08-13,984.2095992604719
2007-08-14,958.2879973593775
2007-08-15,936.0047237960657
2007-08-16,864.8797882298329
2007-08-17,885.8354436878703
2007-08-20,885.6917183579026
2007-08-21,876.528915021662
2007-08-22,915.2135503858883
2007-08-23,932.0707487431981
2007-08-24,942.4805455243363
2007-08-27,944.5242020186766
2007-08-28,935.9856645923253
2007-08-29,937.2957484153469
2007-08-30,938.9094831435125
2007-08-31,959.8083113777203
2007-09-03,958.6133551974045
2007-09-04,961.4681981550083
2007-09-05,954.3854738933928
2007-09-06,950.5367348334008
2007-09-07,944.5577229445438
2007-09-10,930.134111457891
2007-09-11,956.4516847526702
2007-09-12,973.6602853799309
2007-09-13,986.166417757127
2007-09-14,976.9846995782134
2007-09-17,972.8191632634665
2007-09-18,978.6983459249092
2007-09-19,1017.3125010622408
2007-09-20,1027.697747613618
2007-09-21,1024.6296959043807
2007-09-24,1016.0070583173741
2007-09-25,1010.615184266456
2007-09-26,1020.4912391061931
2007-09-27,1030.5345349978113
2007-09-28,1033.7152175650403
2007-10-01,1040.1638357845113
2007-10-02,1040.972381046419
2007-10-03,1038.748749049487
2007-10-04,1037.1340002595985
2007-10-05,1050.9062591260456
2007-10-08,1053.1741671043696
2007-10-09,1062.5366791940462
2007-10-10,1070.348029842218
2007-10-11,1094.4682097197883
2007-10-12,1082.6953122518194
2007-10-15,1092.125071108186
2007-10-16,1065.5839530929352
2007-10-17,1078.1954943168496
2007-10-18,1075.8405769628507
2007-10-19,1079.7111478224986
2007-10-22,1067.4190473156898
2007-10-23,1091.7928418921626
2007-10-24,1084.6678307229652
2007-10-25,1104.0389992941896
2007-10-26,1117.2578941238125
2007-10-29,1130.026492852775
2007-10-30,1127.547411576963
2007-10-31,1125.1245245868913
2007-11-01,1121.5998250623325
2007-11-02,1117.2297019253303
2007-11-05,1116.4651867681237
2007-11-06,1126.3820471378826
2007-11-07,1117.306742463768
2007-11-08,1106.6305507558757
2007-11-09,1098.9912948748592
2007-11-12,1065.3059445216552
