Date,EM LATIN AMERICA GROWTH
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,99.85841529146936
2001-01-03,104.74449135597355
2001-01-04,107.71462343916915
2001-01-05,105.85046957017083
2001-01-08,105.61440391335482
2001-01-09,107.18763088875048
2001-01-10,105.76988939551764
2001-01-11,106.5188302477183
2001-01-12,106.86880732457288
2001-01-15,107.39483330005663
2001-01-16,107.54806390863067
2001-01-17,109.49606870601774
2001-01-18,111.6068162969132
2001-01-19,112.93771778306112
2001-01-22,112.42718009499752
2001-01-23,114.21384788813593
2001-01-24,113.21947484409814
2001-01-25,112.33040048044103
2001-01-26,113.18446117679724
2001-01-29,114.22231447672564
2001-01-30,115.27840307518582
2001-01-31,114.95541190142143
2001-02-01,114.35895961190458
2001-02-02,113.22381999726065
2001-02-05,112.51404635216218
2001-02-06,113.08198965834751
2001-02-07,111.69111157745871
2001-02-08,112.84638771960165
2001-02-09,112.70015998871216
2001-02-12,112.88158673678191
2001-02-13,112.52448001850479
2001-02-14,111.87475386635285
2001-02-15,112.11963289758255
2001-02-16,110.20653782227792
2001-02-19,109.92177502213173
2001-02-20,108.58792703825421
2001-02-21,105.03578663409606
2001-02-22,104.68312921073385
2001-02-23,104.5321145353329
2001-02-26,105.72630042079003
2001-02-27,105.43780854944508
2001-02-28,104.4647743956581
2001-03-01,105.00601241277587
2001-03-02,105.65718875410762
2001-03-05,106.12367972822776
2001-03-06,106.98575735544377
2001-03-07,107.23745636090443
2001-03-08,108.0432631673637
2001-03-09,106.9884811701003
2001-03-12,102.43315387144037
2001-03-13,102.96817118528983
2001-03-14,101.27552561496569
2001-03-15,99.4804113300129
2001-03-16,99.05069587847206
2001-03-19,98.38618394300265
2001-03-20,98.24134006038352
2001-03-21,98.18552278518995
2001-03-22,94.06317448202192
2001-03-23,93.5092740134579
2001-03-26,95.09554054241758
2001-03-27,96.89620570391098
2001-03-28,95.88126190939559
2001-03-29,94.00648285796436
2001-03-30,94.40357389137759
2001-04-02,93.91967082038472
2001-04-03,92.07178605758588
2001-04-04,92.70298710614688
2001-04-05,95.44704060765005
2001-04-06,97.23186495588654
2001-04-09,97.72811231179341
2001-04-10,100.84177347827293
2001-04-11,100.55320600302615
2001-04-12,100.1428603941002
2001-04-13,100.1428603941002
2001-04-16,98.22267092749566
2001-04-17,99.15787547886197
2001-04-18,101.74318359421903
2001-04-19,98.95925316639754
2001-04-20,95.44020250873506
2001-04-23,95.77195888927918
2001-04-24,97.30314546489144
2001-04-25,97.4321447408558
2001-04-26,100.48008254450711
2001-04-27,102.37254637309454
2001-04-30,103.37750104788975
2001-05-01,102.92466090474258
2001-05-02,103.75684038965417
2001-05-03,103.76916101968008
2001-05-04,104.54371202738164
2001-05-07,104.47664650257177
