DATE,DGS20
1993-10,6.120
1993-11,6.460
1993-12,6.480
1994-01,6.290
1994-02,6.750
1994-03,7.230
1994-04,7.440
1994-05,7.580
1994-06,7.750
1994-07,7.460
1994-08,7.600
1994-09,7.980
1994-10,8.090
1994-11,8.100
1994-12,8.020
1995-01,7.810
1995-02,7.580
1995-03,7.540
1995-04,7.420
1995-05,6.720
1995-06,6.640
1995-07,6.880
1995-08,6.720
1995-09,6.600
1995-10,6.400
1995-11,6.200
1995-12,6.010
1996-01,6.070
1996-02,6.570
1996-03,6.830
1996-04,7.060
1996-05,7.170
1996-06,7.030
1996-07,7.070
1996-08,7.280
1996-09,7.050
1996-10,6.740
1996-11,6.450
1996-12,6.730
1997-01,6.860
1997-02,6.910
1997-03,7.220
1997-04,7.050
1997-05,6.990
1997-06,6.860
1997-07,6.350
1997-08,6.690
1997-09,6.470
1997-10,6.210
1997-11,6.120
1997-12,6.020
1998-01,5.880
1998-02,5.990
1998-03,6.020
1998-04,6.040
1998-05,5.900
1998-06,5.730
1998-07,5.810
1998-08,5.450
1998-09,5.170
1998-10,5.380
1998-11,5.330
1998-12,5.390
1999-01,5.350
1999-02,5.850
1999-03,5.920
1999-04,5.940
1999-05,6.150
1999-06,6.290
1999-07,6.400
1999-08,6.490
1999-09,6.470
1999-10,6.520
1999-11,6.620
1999-12,6.830
2000-01,6.720
2000-02,6.460
2000-03,6.200
2000-04,6.310
2000-05,6.420
2000-06,6.260
2000-07,6.130
2000-08,5.960
2000-09,6.130
2000-10,6.020
2000-11,5.780
2000-12,5.590
2001-01,5.650
2001-02,5.510
2001-03,5.600
2001-04,5.920
2001-05,5.950
2001-06,5.910
2001-07,5.610
2001-08,5.470
2001-09,5.450
2001-10,5.050
2001-11,5.540
2001-12,5.740
2002-01,5.680
2002-02,5.610
2002-03,6.030
2002-04,5.740
2002-05,5.770
2002-06,5.650
2002-07,5.410
2002-08,5.060
2002-09,4.750
2002-10,5.030
2002-11,5.180
2002-12,4.830
2003-01,4.930
2003-02,4.700
