DATE,DGS1PTR
1993-04,100.00
1993-05,99.92
1993-06,100.39
1993-07,100.60
1993-08,101.04
1993-09,101.31
1993-10,101.52
1993-11,101.64
1993-12,101.97
1994-01,102.37
1994-02,102.18
1994-03,102.06
1994-04,101.89
1994-05,102.02
1994-06,102.35
1994-07,102.95
1994-08,103.23
1994-09,103.31
1994-10,103.61
1994-11,103.43
1994-12,103.75
1995-01,104.71
1995-02,105.70
1995-03,106.22
1995-04,106.96
1995-05,108.04
1995-06,108.72
1995-07,109.20
1995-08,109.74
1995-09,110.25
1995-10,110.87
1995-11,111.58
1995-12,112.27
1996-01,113.05
1996-02,113.16
1996-03,113.46
1996-04,113.74
1996-05,114.11
1996-06,114.73
1996-07,115.11
1996-08,115.60
1996-09,116.38
1996-10,117.23
1996-11,117.83
1996-12,118.21
1997-01,118.67
1997-02,119.12
1997-03,119.28
1997-04,120.01
1997-05,120.74
1997-06,121.44
1997-07,122.26
1997-08,122.66
1997-09,123.36
1997-10,124.05
1997-11,124.42
1997-12,125.00
1998-01,125.89
1998-02,126.23
1998-03,126.80
1998-04,127.38
1998-05,127.93
1998-06,128.55
1998-07,129.13
1998-08,130.23
1998-09,131.44
1998-10,132.21
1998-11,132.23
1998-12,132.72
1999-01,133.25
1999-02,133.28
1999-03,134.02
1999-04,134.47
1999-05,134.76
1999-06,135.19
1999-07,135.68
1999-08,136.04
1999-09,136.74
1999-10,137.06
1999-11,137.33
1999-12,137.61
2000-01,137.88
2000-02,138.73
2000-03,139.34
2000-04,140.12
2000-05,140.67
2000-06,141.79
2000-07,142.52
2000-08,143.03
2000-09,143.97
2000-10,144.63
2000-11,145.63
2000-12,147.17
2001-01,148.83
2001-02,149.58
2001-03,150.69
2001-04,151.42
2001-05,152.36
2001-06,152.69
2001-07,153.44
2001-08,154.07
2001-09,155.89
2001-10,156.85
2001-11,157.14
2001-12,157.24
2002-01,157.34
2002-02,157.70
2002-03,157.30
2002-04,158.20
2002-05,158.52
2002-06,159.26
2002-07,159.94
2002-08,160.28
2002-09,160.84
2002-10,161.16
2002-11,161.19
2002-12,161.78
2003-01,161.98
2003-02,162.27
2003-03,162.51
2003-04,162.63
2003-05,162.94
2003-06,163.16
2003-07,163.00
2003-08,163.06
2003-09,163.56
2003-10,163.46
2003-11,163.51
2003-12,163.91
2004-01,164.05
2004-02,164.34
2004-03,164.52
2004-04,164.12
2004-05,163.88
2004-06,163.71
2004-07,163.93
2004-08,164.45
2004-09,164.37
2004-10,164.56
2004-11,164.31
2004-12,164.48
2005-01,164.52
2005-02,164.54
2005-03,164.74
