DATE,PPIACO
1993-01,118
1993-02,118.4
1993-03,118.7
1993-04,119.3
1993-05,119.7
1993-06,119.5
1993-07,119.2
1993-08,118.7
1993-09,118.7
1993-10,119.1
1993-11,119
1993-12,118.6
1994-01,119.1
1994-02,119.3
1994-03,119.7
1994-04,119.7
1994-05,119.9
1994-06,120.5
1994-07,120.7
1994-08,121.2
1994-09,121
1994-10,120.9
1994-11,121.5
1994-12,121.9
1995-01,122.9
1995-02,123.5
1995-03,123.9
1995-04,124.6
1995-05,124.9
1995-06,125.3
1995-07,125.3
1995-08,125.1
1995-09,125.2
1995-10,125.3
1995-11,125.4
1995-12,125.7
1996-01,126.3
1996-02,126.2
1996-03,126.4
1996-04,127.4
1996-05,128.1
1996-06,128
1996-07,128
1996-08,128.3
1996-09,128.2
1996-10,128.0
1996-11,128.2
1996-12,129.1
1997-01,129.7
1997-02,128.5
1997-03,127.3
1997-04,127.0
1997-05,127.4
1997-06,127.2
1997-07,126.9
1997-08,127.2
1997-09,127.5
1997-10,127.8
1997-11,127.9
1997-12,126.8
1998-01,125.4
1998-02,125.0
1998-03,124.7
1998-04,124.9
1998-05,125.1
1998-06,124.8
1998-07,124.9
1998-08,124.2
1998-09,123.8
1998-10,124.0
1998-11,123.6
1998-12,122.8
1999-01,122.9
1999-02,122.3
1999-03,122.6
1999-04,123.6
1999-05,124.7
1999-06,125.2
1999-07,125.7
1999-08,126.9
1999-09,128.0
1999-10,127.7
1999-11,128.3
1999-12,127.8
2000-01,128.3
2000-02,129.8
2000-03,130.8
2000-04,130.7
2000-05,131.6
2000-06,133.8
2000-07,133.7
2000-08,132.9
2000-09,134.7
2000-10,135.4
2000-11,135.0
2000-12,136.2
2001-01,140.0
2001-02,137.4
2001-03,135.9
2001-04,136.4
2001-05,136.8
2001-06,135.5
2001-07,133.4
2001-08,133.4
2001-09,133.3
2001-10,130.3
2001-11,129.8
2001-12,128.1
2002-01,128.5
2002-02,128.4
2002-03,129.8
2002-04,130.8
2002-05,130.8
2002-06,130.9
2002-07,131.2
2002-08,131.5
2002-09,132.3
2002-10,133.2
2002-11,133.1
2002-12,132.9
2003-01,135.3
2003-02,137.6
2003-03,141.2
2003-04,136.8
2003-05,136.7
2003-06,138.0
2003-07,137.7
2003-08,138.0
2003-09,138.5
2003-10,139.3
2003-11,138.9
2003-12,139.5
2004-01,141.4
2004-02,142.1
2004-03,143.1
2004-04,144.8
2004-05,146.8
2004-06,147.2
2004-07,147.4
2004-08,148.0
2004-09,147.7
2004-10,150.0
2004-11,151.4
2004-12,150.2
2005-01,150.9
2005-02,151.6
2005-03,153.7
2005-04,155.0
2005-05,154.3
2005-06,154.3
2005-07,156.3
2005-08,157.6
2005-09,162.2
2005-10,166.2
2005-11,163.7
2005-12,163.0
2006-01,164.3
2006-02,161.8
2006-03,162.2
2006-04,164.3
2006-05,165.8
2006-06,166.1
2006-07,166.8
2006-08,167.9
2006-09,165.4
2006-10,162.2
2006-11,164.6
2006-12,165.6
2007-01,164.0
2007-02,166.8
2007-03,169.3
2007-04,171.4
2007-05,173.3
