DATE,DGS5
2022-10,4.27
2022-11,3.82
2022-12,3.99
2023-01,3.63
2023-02,4.18
2023-03,3.60
2023-04,3.51
2023-05,3.74
2023-06,4.13
2023-07,4.18
2023-08,4.23
2023-09,4.60
2023-10,4.82
2023-11,4.31
2023-12,3.84
2024-01,3.91
2024-02,4.26
2024-03,4.21
