DATE,IQ12260
1994-12,136.8
1995-01,135.9
1995-02,136.1
1995-03,135.9
1995-04,138.7
1995-05,139.1
1995-06,137.3
1995-07,137.7
1995-08,137.3
1995-09,136.4
1995-10,136.4
1995-11,136.3
1995-12,138.0
1996-01,138.3
1996-02,140.8
1996-03,141.2
1996-04,139.3
1996-05,138.6
1996-06,138.9
1996-07,136.5
1996-08,135.9
1996-09,138.0
1996-10,136.4
1996-11,135.8
1996-12,134.6
1997-01,131.3
1997-02,126.3
1997-03,123.3
1997-04,125.1
1997-05,122.5
1997-06,122.3
1997-07,121.2
1997-08,115.3
1997-09,115.3
1997-10,114.8
1997-11,115.6
1997-12,109.2
1998-01,102.7
1998-02,102.9
1998-03,105.8
1998-04,105.3
1998-05,109.7
1998-06,106.5
1998-07,104.0
1998-08,104.2
1998-09,100.9
1998-10,102.8
1998-11,105.3
1998-12,104.5
1999-01,103.6
1999-02,102.1
1999-03,102.2
1999-04,101.7
1999-05,100.5
1999-06,98.5
1999-07,92.0
1999-08,91.5
1999-09,92.3
1999-10,94.7
1999-11,111.0
1999-12,105.0
2000-01,101.3
2000-02,102.1
2000-03,107.0
2000-04,102.3
2000-05,100.0
2000-06,98.2
2000-07,101.8
2000-08,100.3
2000-09,98.1
2000-10,97.8
2000-11,96.3
2000-12,95.0
2001-01,97.0
2001-02,94.8
2001-03,93.7
2001-04,93.9
2001-05,93.1
2001-06,97.2
2001-07,94.7
2001-08,94.4
2001-09,95.9
2001-10,99.8
2001-11,99.5
2001-12,97.4
2002-01,97.2
2002-02,99.0
2002-03,104.0
2002-04,103.6
2002-05,106.8
2002-06,110.8
2002-07,113.3
2002-08,110.6
2002-09,109.5
2002-10,112.5
2002-11,111.6
2002-12,112.4
2003-01,117.0
2003-02,126.4
2003-03,127.2
2003-04,119.4
2003-05,115.1
2003-06,124.5
2003-07,124.8
2003-08,122.9
2003-09,126.0
2003-10,133.0
2003-11,133.0
2003-12,136.5
2004-01,142.9
2004-02,144.7
2004-03,141.4
2004-04,142.6
2004-05,140.9
2004-06,134.8
2004-07,137.8
2004-08,139.5
2004-09,140.5
2004-10,142.2
2004-11,147.6
2004-12,153.7
2005-01,154.6
2005-02,148.7
2005-03,148.3
2005-04,151.7
2005-05,150.4
2005-06,148.0
2005-07,150.9
2005-08,148.9
2005-09,153.6
2005-10,160.3
2005-11,164.5
2005-12,167.1
2006-01,178.5
2006-02,191.9
2006-03,193.5
2006-04,195.4
2006-05,214.7
2006-06,234.7
2006-07,209.1
2006-08,222.1
2006-09,221.0
2006-10,207.8
2006-11,205.2
2006-12,219.2
2007-01,219.9
2007-02,220.7
2007-03,231.6
2007-04,228.7
2007-05,236.6
2007-06,232.9
2007-07,228.6
2007-08,232.3
2007-09,232.7
2007-10,250.2
2007-11,265.0
2007-12,280.4
2008-01,281.5
2008-02,311.5
2008-03,322.8
2008-04,334.5
2008-05,316.4
2008-06,309.5
2008-07,311.0
2008-08,327.3
2008-09,292.0
2008-10,291.3
2008-11,280.0
2008-12,265.0
2009-01,285.4
2009-02,301.1
2009-03,329.4
2009-04,322.5
2009-05,311.1
2009-06,324.5
2009-07,330.1
2009-08,326.4
2009-09,331.7
2009-10,348.1
2009-11,364.3
2009-12,392.3
2010-01,394.8
2010-02,390.1
2010-03,382.4
2010-04,388.5
2010-05,400.6
2010-06,420.5
2010-07,430.1
2010-08,415.8
2010-09,424.5
2010-10,444.4
2010-11,468.9
2010-12,478.3
2011-01,485.5
2011-02,473.5
2011-03,479.4
2011-04,497.0
2011-05,516.2
2011-06,527.3
2011-07,532.2
2011-08,551.2
2011-09,614.4
2011-10,613.1
2011-11,581.8
2011-12,607.7
2012-01,573.2
2012-02,580.5
2012-03,607.2
2012-04,583.7
2012-05,575.8
2012-06,554.4
2012-07,557.7
2012-08,556.0
2012-09,569.3
2012-10,610.2
2012-11,608.7
2012-12,599.4
2013-01,588.1
