Date,ACWI ex FINLAND
2015-12-11,2095.818461137708
2015-12-14,2083.1254651485187
2015-12-15,2122.3449020134262
2015-12-16,2146.539749199624
2015-12-17,2154.667488878122
2015-12-18,2125.0835171080726
2015-12-21,2117.5089598443697
2015-12-22,2122.0519433132004
2015-12-23,2166.3363907562693
2015-12-24,2153.8658831555867
2015-12-25,2153.1106739333372
2015-12-28,2146.3794309494397
2015-12-29,2177.520119565004
2015-12-30,2163.2257765380027
2015-12-31,2158.013344746835
2016-01-01,2158.0327493631626
2016-01-04,2125.403819254826
2016-01-05,2141.898331232726
2016-01-06,2109.765633836156
2016-01-07,2048.2749316655745
2016-01-08,2017.5047317346657
2016-01-11,2018.0942481156032
2016-01-12,2028.1132599864077
2016-01-13,2004.9215879579724
2016-01-14,2010.9224793302476
2016-01-15,1954.0202963754232
2016-01-18,1958.1761836534552
2016-01-19,1964.344472099589
2016-01-20,1925.5016368685428
2016-01-21,1944.7475388786643
2016-01-22,1996.247018533221
2016-01-25,1977.780346422224
2016-01-26,1989.9399703331796
2016-01-27,1982.9132430716368
2016-01-28,1973.8331647183786
2016-01-29,2035.6823580598495
2016-02-01,2027.644903604976
2016-02-02,1990.3472706602736
2016-02-03,1964.1709127309555
2016-02-04,1956.9801558018996
2016-02-05,1933.0986295479263
2016-02-08,1902.2388672341176
2016-02-09,1862.720971869474
2016-02-10,1880.2892042293345
2016-02-11,1831.445870483817
2016-02-12,1867.2328934809625
2016-02-15,1907.9258433285277
2016-02-16,1927.8323806379794
2016-02-17,1958.8036514580501
2016-02-18,1967.1083570492176
2016-02-19,1958.6069471604358
2016-02-22,1997.784080213653
2016-02-23,1977.268849136382
2016-02-24,1968.7386891056358
2016-02-25,1989.29245619139
2016-02-26,2010.731717576215
2016-02-29,2013.7158206008398
2016-03-01,2051.289772102639
2016-03-02,2076.9527675340814
2016-03-03,2072.6019522144747
2016-03-04,2072.605242838895
2016-03-07,2077.8007506165754
2016-03-08,2046.8741766975174
2016-03-09,2060.5180113092783
2016-03-10,2034.8266268900272
2016-03-11,2068.731231397608
2016-03-14,2080.5834423015685
2016-03-15,2066.806398554449
2016-03-16,2076.7586957642347
2016-03-17,2063.39384360781
2016-03-18,2073.5276694894224
2016-03-21,2078.0817585216905
2016-03-22,2084.621633206033
2016-03-23,2078.042901649494
2016-03-24,2068.043721774088
2016-03-25,2069.4350600197286
2016-03-28,2064.58910166065
2016-03-29,2081.4555693888383
2016-03-30,2074.3547739782975
2016-03-31,2062.497200610912
2016-04-01,2060.379398641941
2016-04-04,2054.7890018406383
2016-04-05,2027.37531644974
2016-04-06,2043.7423476071497
2016-04-07,2029.744034709872
2016-04-08,2038.8661534389053
2016-04-11,2034.5754177632746
2016-04-12,2062.134585373118
2016-04-13,2107.450742299988
2016-04-14,2118.3936759985986
2016-04-15,2110.6157508238693
2016-04-18,2109.627919350529
2016-04-19,2122.9913597377436
2016-04-20,2132.529604962923
2016-04-21,2137.061485980328
2016-04-22,2139.517990701999
2016-04-25,2128.884419011738
2016-04-26,2125.9211648299033
2016-04-27,2126.1708500452933
2016-04-28,2116.1883215976754
2016-04-29,2082.5050935279755
2016-05-02,2076.1912138568887
2016-05-03,2053.041779341569
2016-05-04,2039.589614359724
2016-05-05,2052.6897566352613
2016-05-06,2049.9689619742194
2016-05-09,2053.1554190828406
2016-05-10,2077.4515675534903
2016-05-11,2061.2714007865266
2016-05-12,2063.0175394937814
2016-05-13,2063.9086033911717
2016-05-16,2072.8635693213687
2016-05-17,2065.7751138327003
2016-05-18,2073.865982275211
2016-05-19,2069.50597215817
2016-05-20,2083.091787579725
2016-05-23,2082.0665311874814
2016-05-24,2110.7672890440704
2016-05-25,2133.709561673032
2016-05-26,2130.8516476613386
2016-05-27,2147.2347064546593
2016-05-30,2146.7672155556465
2016-05-31,2145.2739689820796
2016-06-01,2135.7280066692992
2016-06-02,2140.169289091308
2016-06-03,2114.837609437152
2016-06-06,2119.318910114054
2016-06-07,2133.8750744974104
2016-06-08,2134.1645232999426
2016-06-09,2133.905332974482
2016-06-10,2109.1879613889378
2016-06-13,2082.851252612935
2016-06-14,2080.7534300744974
2016-06-15,2081.3179535246486
2016-06-16,2089.445771470753
2016-06-17,2080.9263369420128
2016-06-20,2100.7641188068246
2016-06-21,2119.656066100315
2016-06-22,2117.8576913150946
2016-06-23,2133.7813308406076
2016-06-24,2074.9403488490793
2016-06-27,2055.7380505348324
2016-06-28,2076.923079117605
2016-06-29,2112.7798876855204
2016-06-30,2136.734520285008
