Date,ACWI ex BELGIUM
2015-12-11,2100.748305937664
2015-12-14,2088.079995826941
2015-12-15,2127.4065532299296
2015-12-16,2151.688197906809
2015-12-17,2159.669488306409
2015-12-18,2129.953599308155
2015-12-21,2122.4831439993723
2015-12-22,2127.063120819107
2015-12-23,2171.444296583602
2015-12-24,2158.9179826532745
2015-12-25,2158.1596007584826
2015-12-28,2151.3617980552617
2015-12-29,2182.5376848350647
2015-12-30,2168.2162528012796
2015-12-31,2163.1033073794215
2016-01-01,2163.122793546484
2016-01-04,2130.3454706000143
2016-01-05,2146.827436723391
2016-01-06,2114.6954789918127
2016-01-07,2052.9894977357726
2016-01-08,2022.352216275919
2016-01-11,2022.8992062410925
2016-01-12,2033.0184415538843
2016-01-13,2009.7416844695115
2016-01-14,2015.837143883665
2016-01-15,1958.6071951280098
2016-01-18,1962.7459817539661
2016-01-19,1968.8867680995706
2016-01-20,1930.046659784358
2016-01-21,1949.2412928994265
2016-01-22,2000.8114523493643
2016-01-25,1982.2072822406685
2016-01-26,1994.4405997403824
2016-01-27,1987.3718184614206
2016-01-28,1978.3294092993085
2016-01-29,2040.2521889542593
2016-02-01,2031.8984845383106
2016-02-02,1994.474950760768
2016-02-03,1968.363421559098
2016-02-04,1961.2380331362701
2016-02-05,1937.3896049768605
2016-02-08,1906.5470949123642
2016-02-09,1866.825857659053
2016-02-10,1884.358220004258
2016-02-11,1835.3864115252309
2016-02-12,1871.202511362813
2016-02-15,1911.9486299076145
2016-02-16,1931.9681899992038
2016-02-17,1963.0902092007418
2016-02-18,1971.593621723189
2016-02-19,1963.0261927590323
2016-02-22,2002.4442555544945
2016-02-23,1981.7986224070114
2016-02-24,1973.3095974241417
2016-02-25,1994.067234131316
2016-02-26,2015.572944477832
2016-02-29,2018.4940525365507
2016-03-01,2056.176934925166
2016-03-02,2081.903992993525
2016-03-03,2077.568925200754
2016-03-04,2077.4921942660317
2016-03-07,2082.7446853720567
2016-03-08,2051.6713175511413
2016-03-09,2065.3037992143845
2016-03-10,2039.5807569752303
2016-03-11,2073.5445701592935
2016-03-14,2085.5366818370667
2016-03-15,2071.7312134528634
2016-03-16,2081.744437287297
2016-03-17,2068.4132683173452
2016-03-18,2078.4793545113066
2016-03-21,2083.0113797649333
2016-03-22,2089.4909608966104
2016-03-23,2082.7822917697013
2016-03-24,2072.7701045423632
2016-03-25,2074.16669100574
2016-03-28,2069.3024533787047
2016-03-29,2086.1744399167155
2016-03-30,2079.0623216986055
