Date,ACWI WITH BRAZIL ADR
2003-05-30,1000.0
2003-06-02,1013.1884168629091
2003-06-03,1013.7023980163102
2003-06-04,1028.6958590471831
2003-06-05,1020.843097868474
2003-06-06,1036.0605028524346
2003-06-09,1022.0703218664468
2003-06-10,1033.171436525464
2003-06-11,1041.306183785551
2003-06-12,1046.3476641267205
2003-06-13,1032.8111801754383
2003-06-16,1045.518929372089
2003-06-17,1054.4390943403837
2003-06-18,1063.280922087923
2003-06-19,1050.3920626378228
2003-06-20,1057.051693665019
2003-06-23,1050.07679974153
2003-06-24,1047.3928429748328
2003-06-25,1041.6816326459864
2003-06-26,1054.431756612947
2003-06-27,1052.436189730738
2003-06-30,1043.4108435517026
2003-07-01,1037.7268609257355
2003-07-02,1059.217801725346
2003-07-03,1058.30980890683
2003-07-04,1059.337142310333
2003-07-07,1090.016932227741
2003-07-08,1095.6332701860888
2003-07-09,1088.3781438589808
2003-07-10,1074.7371263533776
2003-07-11,1083.8526686971077
2003-07-14,1096.3892174246762
2003-07-15,1094.2358309772796
2003-07-16,1089.4344229656879
2003-07-17,1078.1431334419801
2003-07-18,1083.2181375132445
2003-07-21,1064.370371930663
2003-07-22,1068.2792602073116
2003-07-23,1064.0678149387657
2003-07-24,1062.9626686914028
2003-07-25,1068.171143680127
2003-07-28,1075.6666538434356
2003-07-29,1068.682922230745
2003-07-30,1073.6861847081784
2003-07-31,1087.7947918832951
2003-08-01,1079.9069236932366
2003-08-04,1071.8957931122945
2003-08-05,1061.6027820278052
2003-08-06,1055.2570850232426
2003-08-07,1059.0982331866978
2003-08-08,1070.1859303929086
2003-08-11,1075.6197299306589
2003-08-12,1086.0601355365484
2003-08-13,1085.2949979647276
2003-08-14,1097.5425452546328
2003-08-15,1099.1032504553928
2003-08-18,1115.8840699642672
2003-08-19,1125.0400133895648
2003-08-20,1122.7088640793036
2003-08-21,1141.2173650393283
2003-08-22,1144.039950542638
2003-08-25,1137.946486464903
2003-08-26,1138.0045611998405
2003-08-27,1139.30846422232
2003-08-28,1143.2788377193926
2003-08-29,1141.2564274335393
2003-09-01,1148.772631499846
2003-09-02,1167.481598884961
2003-09-03,1179.975927007339
2003-09-04,1174.1433278034742
2003-09-05,1158.5549462930842
2003-09-08,1161.8738210775618
2003-09-09,1148.44314444712
2003-09-10,1134.1583714526187
2003-09-11,1138.383887718018
2003-09-12,1131.055329660777
2003-09-15,1129.5170190979593
2003-09-16,1152.7363796861857
2003-09-17,1149.917506811417
2003-09-18,1160.0189644063253
2003-09-19,1149.1782338469227
2003-09-22,1124.4238598323925
2003-09-23,1127.423992485196
2003-09-24,1117.770764249638
2003-09-25,1104.9814290434726
2003-09-26,1101.5737501258957
2003-09-29,1100.9850309440574
2003-09-30,1082.5627833125654
2003-10-01,1097.8996682905322
2003-10-02,1106.6107434475355
2003-10-03,1125.2486244153322
2003-10-06,1125.2213595882895
2003-10-07,1120.6660006105644
2003-10-08,1112.5837053645778
2003-10-09,1127.6539454828237
2003-10-10,1124.3923336393307
2003-10-13,1142.9861576255933
2003-10-14,1143.7809313516802
2003-10-15,1148.6608570629644
2003-10-16,1147.8644231486523
2003-10-17,1144.8634112402378
2003-10-20,1146.2662668725459
2003-10-21,1146.2777765162468
2003-10-22,1123.2972339623464
2003-10-23,1114.9659228989417
2003-10-24,1110.527368080786
2003-10-27,1119.6620131915852
2003-10-28,1140.6681614399188
2003-10-29,1144.3104563606448
2003-10-30,1145.9226024237778
2003-10-31,1149.8039510012522
2003-11-03,1170.7607779373402
2003-11-04,1168.4965037002642
2003-11-05,1166.5744232305055
2003-11-06,1171.9599541143239
2003-11-07,1171.538578920028
2003-11-10,1162.8759057719617
2003-11-11,1155.2465945463584
2003-11-12,1156.2050328396633
2003-11-13,1155.0073317463057
2003-11-14,1145.7614712082743
2003-11-17,1129.4866626408793
2003-11-18,1117.9395880609138
2003-11-19,1115.444586752663
2003-11-20,1111.9902075920027
2003-11-21,1113.083798586681
2003-11-24,1138.3992136061415
2003-11-25,1140.0247100947756
2003-11-26,1135.7957541842452
2003-11-27,1139.1196926294392
2003-11-28,1131.7109050533677
2003-12-01,1148.6822328182557
2003-12-02,1138.3573717919544
2003-12-03,1137.8266155605584
2003-12-04,1143.8688811257566
2003-12-05,1131.287811462605
2003-12-08,1127.25824908154
2003-12-09,1125.596252418328
2003-12-10,1117.4919434100448
2003-12-11,1133.4354848449584
