Date,ACWI ex EGYPT
2015-12-11,2095.749250552154
2015-12-14,2083.0314600695583
2015-12-15,2122.3125599537902
2015-12-16,2146.4997558328128
2015-12-17,2154.638009517588
2015-12-18,2125.0350029067845
2015-12-21,2117.466037957601
2015-12-22,2121.9969109479152
2015-12-23,2166.2695947997277
2015-12-24,2153.8389539958994
2015-12-25,2153.0859756015166
2015-12-28,2146.324955256981
2015-12-29,2177.4750008227056
2015-12-30,2163.1700906312117
2015-12-31,2157.968498926321
2016-01-01,2157.9878461750664
2016-01-04,2125.276720448208
2016-01-05,2141.7247727031026
2016-01-06,2109.6963534178
2016-01-07,2048.255256314348
2016-01-08,2017.612229823816
2016-01-11,2018.2733594023796
2016-01-12,2028.3303885946398
2016-01-13,2005.267260419609
2016-01-14,2011.0902366361347
2016-01-15,1954.184135924023
2016-01-18,1958.2694896874868
2016-01-19,1964.5351769728222
2016-01-20,1925.6443685446993
2016-01-21,1944.9281068950588
2016-01-22,1996.4480643122579
2016-01-25,1977.9960385384315
2016-01-26,1990.2187626019336
2016-01-27,1983.2093608390073
2016-01-28,1974.0488838688138
2016-01-29,2035.8286779615544
2016-02-01,2027.5543335176837
2016-02-02,1990.2966727023938
2016-02-03,1964.1145564839396
2016-02-04,1956.8693183445043
2016-02-05,1932.9973979471088
2016-02-08,1901.9954777853773
2016-02-09,1862.5617439689124
2016-02-10,1880.0866656454705
2016-02-11,1831.2155396345397
2016-02-12,1866.9676015378325
2016-02-15,1907.6887934354372
2016-02-16,1927.5190850218503
2016-02-17,1958.6056366015705
2016-02-18,1966.955142555
2016-02-19,1958.3944314368898
2016-02-22,1997.641116419209
2016-02-23,1977.096706174867
2016-02-24,1968.4682284613505
2016-02-25,1989.0717549778228
2016-02-26,2010.4617898306094
2016-02-29,2013.4220482807284
2016-03-01,2050.979722195145
2016-03-02,2076.5206071718603
2016-03-03,2072.1617102251894
2016-03-04,2072.1923186924364
2016-03-07,2077.341295321357
2016-03-08,2046.3919158102465
2016-03-09,2060.019487009431
2016-03-10,2034.340332863548
2016-03-11,2068.232977102432
2016-03-14,2080.2072046239105
2016-03-15,2066.427039510356
2016-03-16,2076.337707326868
2016-03-17,2063.048673643923
2016-03-18,2073.185026135235
2016-03-21,2077.704395377381
2016-03-22,2084.2059359658197
2016-03-23,2077.591981092925
2016-03-24,2067.49634832136
2016-03-25,2068.8829336460058
2016-03-28,2064.059471448775
2016-03-29,2080.9088473960405
2016-03-30,2073.9787471906648
2016-03-31,2062.051855257552
2016-04-01,2059.8042338897976
2016-04-04,2054.2418793417796
2016-04-05,2026.8515466706872
2016-04-06,2043.1657345109663
2016-04-07,2029.111941165697
2016-04-08,2038.39325214656
2016-04-11,2034.1068868522111
2016-04-12,2061.5698127428536
2016-04-13,2106.8713691663797
2016-04-14,2117.8718477869606
2016-04-15,2110.0947956542204
2016-04-18,2109.132863994442
2016-04-19,2122.5579836149514
2016-04-20,2132.0531596600376
2016-04-21,2136.4332413497254
2016-04-22,2138.8061238036407
2016-04-25,2128.081501783865
2016-04-26,2125.1865841596154
