Date,AC AP WITH PARTIAL A SHARES
2008-11-27,1027.190820641679
2008-11-28,1057.7043756229418
2008-12-30,1027.5903955107485
2008-12-31,1047.0839355009393
2009-01-29,1053.166478291551
2009-01-30,1054.729422912343
2009-02-26,953.0184699413254
2009-02-27,964.9193536735683
2009-03-30,1021.6726306722131
2009-03-31,999.0738912253563
2009-04-29,1088.8950893939998
2009-04-30,1125.8186262787437
2009-05-28,1181.1362063084357
2009-05-29,1184.9904590980013
2009-06-29,1202.5604173954455
2009-06-30,1211.9185029543223
2009-07-30,1289.1379757660507
2009-07-31,1302.110219850466
2009-08-28,1309.7352491008385
2009-08-31,1305.8694238975963
2009-09-29,1332.42067952394
2009-09-30,1339.4498348194902
2009-10-29,1284.9328957308237
2009-10-30,1310.552743749073
2009-11-27,1264.3553611072473
2009-11-30,1303.3188808619946
2009-12-30,1394.1143571268642
2009-12-31,1396.8017407286743
2010-01-28,1419.3341894371401
2010-01-29,1398.7432058767522
2010-02-25,1442.350879149752
2010-02-26,1442.2913709173727
2010-03-30,1570.8391461805497
2010-03-31,1548.3353003173434
2010-04-29,1575.2027424163452
2010-04-30,1586.5226988378895
2010-05-28,1545.9729691596665
2010-05-31,1553.845022334388
2010-06-29,1574.129779130077
2010-06-30,1549.450362723166
2010-07-29,1543.023756265811
2010-07-30,1541.5260659021515
2010-08-30,1576.3599048131641
2010-08-31,1549.9088541185415
2010-09-29,1592.177407560525
2010-09-30,1571.3444642908973
2010-10-28,1584.3674607394423
2010-10-29,1581.6893497390147
2010-11-29,1685.171018014199
2010-11-30,1682.1033869831597
2010-12-30,1756.688937048197
2010-12-31,1747.8763541148378
2011-01-28,1720.7514132364226
2011-01-31,1697.533271261294
2011-02-25,1698.2062080650335
2011-02-28,1698.481680955933
2011-03-30,1640.550717310683
2011-03-31,1640.6691243878086
2011-04-28,1616.5006380847744
2011-04-29,1613.7804379817217
2011-05-30,1619.4864443984227
2011-05-31,1631.4978656382452
2011-06-29,1597.0504635176628
2011-06-30,1606.0400943370153
2011-07-28,1663.2693035848479
2011-07-29,1644.834829662398
2011-08-30,1481.6318405660345
2011-08-31,1504.6799303075263
2011-09-29,1458.0040616342253
2011-09-30,1469.8444109505526
2011-10-28,1533.634133164246
2011-10-31,1522.2834728561693
2011-11-29,1482.3616464493032
2011-11-30,1473.9772473713892
2011-12-29,1527.4274329505404
2011-12-30,1533.6412679605342
2012-01-30,1628.0753098810062
2012-01-31,1642.147857892875
2012-02-28,1674.5198285251697
2012-02-29,1689.8405015778067
2012-03-29,1677.9538540550543
2012-03-30,1673.9928725557843
2012-04-27,1652.0435153814913
2012-04-30,1668.9788818214884
2012-05-30,1610.9417679881321
2012-05-31,1610.9566550728496
2012-06-28,1640.5434314538234
2012-06-29,1638.4694756481956
2012-07-30,1702.6367912026599
2012-07-31,1712.321082589592
2012-08-30,1686.4271510355234
2012-08-31,1664.6734132506342
2012-09-27,1706.904671507459
2012-09-28,1705.6203484010916
2012-10-30,1672.5853699608692
2012-10-31,1687.0339642199417
2012-11-29,1717.0481633367692
2012-11-30,1720.0315121400442
2012-12-28,1761.7851691095138
2012-12-31,1763.496439081429
2013-01-30,1766.840194945193
2013-01-31,1764.9452907931259
2013-02-27,1829.9531343325757
2013-02-28,1860.657124415628
2013-03-28,1907.1968777681948
2013-03-29,1908.6999555886753
2013-04-29,1940.1592514994127
2013-04-30,1950.051760695284
2013-05-30,1885.6476117435818
2013-05-31,1889.5031898780585
2013-06-27,1795.4148153997432
2013-06-28,1827.9002480531421
2013-07-30,1840.53120478043
2013-07-31,1815.6249098486066
2013-08-29,1793.8968978172538
2013-08-30,1804.9014136733588
2013-09-27,1908.8439345061568
2013-09-30,1879.3117720275368
2013-10-30,1910.4473422560168
2013-10-31,1922.5416994543407
2013-11-28,1919.7475175624954
2013-11-29,1919.8428009578918
2013-12-30,1880.9656344718637
2013-12-31,1888.854449253885
2014-01-30,1829.0343951625925
2014-01-31,1841.8354044119292
2014-02-27,1860.9332833376188
2014-02-28,1841.5648663302213
2014-03-28,1841.0747958174748
2014-03-31,1854.869111548813
2014-04-29,1843.9639648107027
2014-04-30,1836.2195824508872
2014-05-29,1940.6099975000373
2014-05-30,1931.7373511888727
2014-06-27,1982.8894791028729
2014-06-30,1984.1278057517188
2014-07-30,2087.4437759300417
2014-07-31,2079.0420997407964
2014-08-28,2107.451460942377
2014-08-29,2103.893999174839
2014-09-29,2094.1894349088216
2014-09-30,2090.463459847966
2014-10-30,2093.316750766385
2014-10-31,2131.647974393641
2014-11-27,2128.339502496856
2014-11-28,2129.165265206129
2014-12-30,2143.809929367791
2014-12-31,2155.4061205770154
2015-01-29,2342.9806194558155
2015-01-30,2352.577845148004
2015-02-26,2470.8220693945086
2015-02-27,2468.6587794379207
2015-03-30,2575.045836162186
2015-03-31,2593.4278325560435
2015-04-29,2677.786405835294
2015-04-30,2614.0411315121014
2015-05-28,2652.631084851771
2015-05-29,2644.3799279815053
2015-06-29,2494.7100773433326
2015-06-30,2520.778166296791
