Date,ACWI ex MEXICO
2015-12-11,2085.27975481047
2015-12-14,2072.6049736669065
2015-12-15,2111.4507642879953
2015-12-16,2135.503672609255
2015-12-17,2143.518147177738
2015-12-18,2114.0125320778757
2015-12-21,2106.504881969447
2015-12-22,2111.1077674553517
2015-12-23,2155.206579344489
2015-12-24,2142.9180436488664
2015-12-25,2142.165762653277
2015-12-28,2135.4334276131126
2015-12-29,2166.4711469445197
2015-12-30,2152.3635673494073
2015-12-31,2147.1015250822234
2016-01-01,2147.120854479552
2016-01-04,2114.6157235658616
2016-01-05,2130.9851829033264
2016-01-06,2099.135000544001
2016-01-07,2038.1347626408444
2016-01-08,2007.7906536990386
2016-01-11,2008.3053797326265
2016-01-12,2018.262148667053
2016-01-13,1995.1939787568217
2016-01-14,2000.9259251079775
2016-01-15,1944.4233078427574
2016-01-18,1948.5236231684967
2016-01-19,1954.7409434076023
2016-01-20,1916.0496632360664
2016-01-21,1935.158060924523
2016-01-22,1986.4867081533848
2016-01-25,1968.144965260894
2016-01-26,1980.2521404520924
2016-01-27,1973.2213713632373
2016-01-28,1963.994071793221
2016-01-29,2025.28854284854
2016-02-01,2017.1244155000948
2016-02-02,1980.128476062553
2016-02-03,1954.0398906973587
2016-02-04,1946.64570881443
2016-02-05,1922.97665109042
2016-02-08,1892.256368972103
2016-02-09,1853.0953881744433
2016-02-10,1870.5099917404402
2016-02-11,1821.9537728685996
2016-02-12,1857.5587049403227
2016-02-15,1897.9087340234705
2016-02-16,1917.7466616362565
2016-02-17,1948.4927113123035
2016-02-18,1956.7128490797973
2016-02-19,1948.2706562501269
2016-02-22,1987.2834840614712
2016-02-23,1966.8799875082345
2016-02-24,1958.2895608913811
2016-02-25,1978.7711968726576
2016-02-26,2000.034461508985
2016-02-29,2002.8725123767417
2016-03-01,2040.2010670728678
2016-03-02,2065.542930941782
2016-03-03,2061.2577283927594
2016-03-04,2061.2672905035142
2016-03-07,2066.3613840868475
2016-03-08,2035.6736310500053
2016-03-09,2049.2141825281433
2016-03-10,2023.7381975694536
2016-03-11,2057.452653931574
2016-03-14,2069.394718650369
2016-03-15,2055.819663592172
2016-03-16,2065.586525853666
2016-03-17,2052.0774182464365
2016-03-18,2062.126783477549
2016-03-21,2066.6720795447395
2016-03-22,2073.0726157723107
2016-03-23,2066.5330903183212
2016-03-24,2056.4864826099624
2016-03-25,2057.8717654430893
2016-03-28,2053.0310546246537
2016-03-29,2069.7951711473584
2016-03-30,2062.764913161948
2016-03-31,2050.920419438643
2016-04-01,2048.725221109205
2016-04-04,2043.320815477763
2016-04-05,2016.2133923032943
2016-04-06,2032.4954251126062
2016-04-07,2018.5774158930742
2016-04-08,2027.8211675428554
2016-04-11,2023.5436177750946
2016-04-12,2050.7995067648912
2016-04-13,2095.881580435832
2016-04-14,2106.80229707762
2016-04-15,2099.1393210072906
2016-04-18,2098.283309674141
2016-04-19,2111.477058130712
2016-04-20,2120.9904425069503
2016-04-21,2125.3705095329856
2016-04-22,2127.7049819000463
2016-04-25,2117.0993959840553
2016-04-26,2114.2092981495393
2016-04-27,2114.3198731946945
2016-04-28,2104.4346465485164
2016-04-29,2070.81644639322
2016-05-02,2064.656988315435
2016-05-03,2041.7234576600974
2016-05-04,2028.421494692193
2016-05-05,2041.4638114288825
2016-05-06,2038.8286357848197
2016-05-09,2042.0845236782193
2016-05-10,2066.008697116176
2016-05-11,2049.9362391834366
2016-05-12,2051.599513755942
2016-05-13,2052.57007253991
2016-05-16,2061.4654096689014
2016-05-17,2054.426765552316
2016-05-18,2062.610133412129
2016-05-19,2058.3279431141573
2016-05-20,2071.8553415583283
2016-05-23,2070.8293403238813
2016-05-24,2099.4206173939874
2016-05-25,2122.3215417785664
2016-05-26,2119.5165421640377
2016-05-27,2135.791275940075
2016-05-30,2135.3881162216635
2016-05-31,2133.9989327652547
2016-06-01,2124.5140959409464
2016-06-02,2128.9784724968786
2016-06-03,2103.793039446856
2016-06-06,2108.3111513967215
2016-06-07,2122.7944110658477
2016-06-08,2122.8819660802883
2016-06-09,2122.6807850647497
2016-06-10,2098.147646439959
2016-06-13,2072.036224994893
2016-06-14,2069.921570622698
2016-06-15,2070.444558662694
2016-06-16,2078.4339177527427
2016-06-17,2070.005049378558
2016-06-20,2089.822965659624
2016-06-21,2108.6210738664977
2016-06-22,2106.791022017469
2016-06-23,2122.574019601183
2016-06-24,2064.2881760220193
2016-06-27,2044.7221973677263
2016-06-28,2065.900199856759
2016-06-29,2101.4734686352767
2016-06-30,2125.304269693391
2016-07-01,2130.5378278762846
2016-07-04,2131.4118389455975
2016-07-05,2116.362414549207
2016-07-06,2115.139853906195
2016-07-07,2120.8952059143994
2016-07-08,2149.9244649626826
2016-07-11,2168.5728691490276
2016-07-12,2182.77036650125
2016-07-13,2181.1475741796025
2016-07-14,2193.721425253829
2016-07-15,2198.0493666314774
2016-07-18,2203.5549037974647
2016-07-19,2207.884670888583
2016-07-20,2219.0307974072957
2016-07-21,2219.337792409818
2016-07-22,2224.8478956886943
2016-07-25,2222.1463644892665
2016-07-26,2223.006720334724
2016-07-27,2223.4816227448464
2016-07-28,2206.605018291778
2016-07-29,2202.8411785487806
2016-08-01,2202.7405011774563
2016-08-02,2178.301001786781
2016-08-03,2182.666985188534
2016-08-04,2196.8739500270894
2016-08-05,2223.3647728166184
2016-08-08,2228.9415179012567
2016-08-09,2232.4442688695235
2016-08-10,2222.18432771169
2016-08-11,2230.6275930552465
2016-08-12,2231.681662444514
2016-08-15,2233.4020984749927
2016-08-16,2211.449878260372
2016-08-17,2208.1500139724053
2016-08-18,2205.720094707401
2016-08-19,2199.386856477865
2016-08-22,2197.735988871413
2016-08-23,2206.8417291315113
2016-08-24,2210.274796659775
2016-08-25,2199.7916055495903
2016-08-26,2199.5745636498777
2016-08-29,2220.2807281697933
2016-08-30,2222.204679641032
2016-08-31,2219.083500217259
2016-09-01,2212.1949933875853
2016-09-02,2233.3043035242085
2016-09-05,2242.589600960763
2016-09-06,2237.3878945064776
2016-09-07,2239.5471984357328
2016-09-08,2230.255963546034
2016-09-09,2196.4769161109366
2016-09-12,2198.5575911067162
2016-09-13,2169.78976123944
2016-09-14,2165.9881296641383
2016-09-15,2182.014415435635
2016-09-16,2187.2714054146163
2016-09-19,2194.565936487912
2016-09-20,2197.4747207075275
2016-09-21,2226.734223277455
2016-09-22,2232.250363390343
2016-09-23,2223.2615022850355
2016-09-26,2193.8596777881694
2016-09-27,2214.8755591462177
2016-09-28,2224.511992549218
2016-09-29,2210.549479710562
2016-09-30,2213.080513156444
2016-10-03,2216.02341716346
2016-10-04,2223.2074925239867
2016-10-05,2218.9649968059502
2016-10-06,2222.686885096841
2016-10-07,2213.6683994872433
2016-10-10,2226.2314199023663
2016-10-11,2220.4907719571243
2016-10-12,2223.5046727006065
2016-10-13,2209.7757928071373
2016-10-14,2221.7225617527824
2016-10-17,2216.524196977791
2016-10-18,2239.346704458175
2016-10-19,2248.6191810574264
2016-10-20,2254.2579648840137
2016-10-21,2261.6590443238865
2016-10-24,2266.8865383875213
2016-10-25,2266.14397555691
2016-10-26,2250.5996913210993
2016-10-27,2242.9497933262983
2016-10-28,2235.9430966548366
2016-10-31,2229.6834289655394
2016-11-01,2204.725789640834
2016-11-02,2173.9067676381887
2016-11-03,2170.7343711166664
2016-11-04,2155.959073040954
2016-11-07,2206.566258303067
2016-11-08,2213.7488519293033
2016-11-09,2234.1868793782546
2016-11-10,2253.7436000421694
2016-11-11,2246.4665492263002
2016-11-14,2265.8762868803283
2016-11-15,2276.9922888148767
2016-11-16,2286.227310239988
2016-11-17,2296.7772840302778
2016-11-18,2306.2281119784398
2016-11-21,2312.673774842054
2016-11-22,2325.7659958579484
2016-11-23,2334.1217574858733
2016-11-24,2330.5272382914654
2016-11-25,2331.787427783409
2016-11-28,2328.8249606657246
2016-11-29,2323.063285409645
2016-11-30,2322.9422677072907
2016-12-01,2316.974581436323
2016-12-02,2305.1830457974634
2016-12-05,2302.6364389619425
2016-12-06,2314.580307972239
2016-12-07,2335.261039691906
2016-12-08,2376.982849551264
2016-12-09,2402.0097870299087
2016-12-12,2384.3725010643716
2016-12-13,2395.404989628542
2016-12-14,2379.148818267099
2016-12-15,2418.2832226768587
2016-12-16,2419.286063999301
2016-12-19,2416.500397975321
2016-12-20,2433.6862059704677
2016-12-21,2419.2889125963834
2016-12-22,2408.8434467836773
2016-12-23,2409.111765659044
2016-12-26,2408.566565486879
2016-12-27,2412.592591608756
2016-12-28,2417.7250722432905
2016-12-29,2401.0225952494147
2016-12-30,2386.873088970973
2017-01-02,2389.0453581680413
2017-01-03,2434.710354111869
2017-01-04,2434.402016107016
2017-01-05,2419.0140596546958
2017-01-06,2425.3165820582326
2017-01-09,2422.1349895607573
2017-01-10,2419.2350662943904
2017-01-11,2446.5101763461594
2017-01-12,2413.198745741964
2017-01-13,2425.265019275593
2017-01-16,2422.4830775042888
2017-01-17,2402.9364728822966
2017-01-18,2407.3704536146615
2017-01-19,2413.3705589446217
2017-01-20,2405.90679065078
2017-01-23,2391.462053598225
2017-01-24,2402.2697063355718
2017-01-25,2424.5045276345545
2017-01-26,2440.115037893983
2017-01-27,2431.057442795448
2017-01-30,2419.9059770395884
2017-01-31,2393.302169387634
2017-02-01,2406.45878772127
2017-02-02,2398.646809025159
2017-02-03,2416.0157428525995
2017-02-06,2419.552177443658
2017-02-07,2429.6597705498307
2017-02-08,2431.9558993585547
2017-02-09,2449.303462605433
2017-02-10,2468.7206624321257
2017-02-13,2485.273955672192
2017-02-14,2495.342786630844
2017-02-15,2507.6691300213383
2017-02-16,2490.1254984042475
2017-02-17,2498.0233119804125
2017-02-20,2501.7298668610797
2017-02-21,2530.1082861766026
2017-02-22,2529.2599715603824
2017-02-23,2522.1146354230846
2017-02-24,2520.0578461148834
2017-02-27,2509.848937160226
2017-02-28,2502.294722290224
2017-03-01,2541.3105728822675
2017-03-02,2539.0892849114366
2017-03-03,2528.933912344969
2017-03-06,2517.3534600689172
2017-03-07,2516.0399508604637
2017-03-08,2514.5987923981033
2017-03-09,2507.0514609488546
2017-03-10,2502.3418315722115
2017-03-13,2508.3170827411936
2017-03-14,2505.9305011932324
2017-03-15,2523.9533912475963
2017-03-16,2516.970745014815
2017-03-17,2515.2555363545193
2017-03-20,2511.3893871573555
2017-03-21,2481.6719579123624
2017-03-22,2477.4725365227387
2017-03-23,2483.8927503037603
2017-03-24,2480.940316702039
2017-03-27,2461.20204126336
2017-03-28,2482.75760163021
2017-03-29,2509.7094320342894
2017-03-30,2516.739024788128
2017-03-31,2515.6500823737915
2017-04-03,2521.9971430004407
2017-04-04,2520.9516334272985
2017-04-05,2517.3650864261194
2017-04-06,2518.4018004507034
2017-04-07,2526.124440735722
2017-04-10,2531.3090850350086
2017-04-11,2524.839189716034
2017-04-12,2522.1469762487804
2017-04-13,2510.132318758035
2017-04-14,2508.396961421152
2017-04-17,2516.899268064892
2017-04-18,2496.7943352795774
2017-04-19,2489.283167043058
2017-04-20,2492.918235596747
2017-04-21,2506.757016560718
2017-04-24,2504.746633771926
2017-04-25,2505.825294357701
2017-04-26,2517.8774053242623
2017-04-27,2518.4211845990667
2017-04-28,2509.4102398730224
2017-05-01,2508.427054911064
2017-05-02,2519.241540607566
2017-05-03,2513.8401795566815
2017-05-04,2508.0156624780616
2017-05-05,2510.312430611439
2017-05-08,2526.369557493462
2017-05-09,2532.874209455155
2017-05-10,2542.672292315789
2017-05-11,2539.7273028552595
2017-05-12,2529.7519551039563
2017-05-15,2529.8546503996986
2017-05-16,2513.3627820632996
2017-05-17,2470.297115585863
2017-05-18,2467.927798801054
2017-05-19,2470.8074309761087
2017-05-22,2473.318669327339
2017-05-23,2479.852044932713
2017-05-24,2491.4402604567103
2017-05-25,2495.636699240683
2017-05-26,2500.198913613038
2017-05-29,2500.8382304426013
2017-05-30,2498.1287906195184
2017-05-31,2483.920242789505
2017-06-01,2502.6110715434756
2017-06-02,2507.5264879261226
2017-06-05,2509.182001251486
2017-06-06,2499.3487808313967
2017-06-07,2501.3520812141405
2017-06-08,2508.3706956398464
2017-06-09,2515.027809927545
2017-06-12,2503.779534436123
2017-06-13,2515.047778230329
2017-06-14,2502.135118852107
2017-06-15,2512.174362425751
2017-06-16,2508.858587336421
2017-06-19,2534.0370694775165
2017-06-20,2526.135331327799
2017-06-21,2518.9651922568064
2017-06-22,2518.481640810038
2017-06-23,2513.6865170307374
2017-06-26,2518.461882197842
2017-06-27,2487.626325171144
2017-06-28,2486.3180012601633
2017-06-29,2459.553201528033
2017-06-30,2459.576058276883
2017-07-03,2473.742445550832
2017-07-04,2473.3878736480415
2017-07-05,2480.983454166108
2017-07-06,2451.0553846071316
2017-07-07,2457.900227311808
2017-07-10,2464.6364057792885
2017-07-11,2458.941356521692
2017-07-12,2481.6959175251336
2017-07-13,2492.8509848233807
2017-07-14,2497.7194586870123
2017-07-17,2494.4331843668315
2017-07-18,2472.3745187716418
2017-07-19,2498.0416375774025
2017-07-20,2478.447444577923
2017-07-21,2468.666364097797
2017-07-24,2468.3650752899302
2017-07-25,2470.2590540832825
2017-07-26,2478.6271542254035
2017-07-27,2474.937709991526
2017-07-28,2452.7963767020738
2017-07-31,2445.7160995176914
2017-08-01,2452.569845573757
2017-08-02,2443.337659497427
2017-08-03,2435.8984384965156
2017-08-04,2462.239061077044
2017-08-07,2459.7186363485353
2017-08-08,2467.442149706412
2017-08-09,2458.4879533036406
2017-08-10,2430.71661272263
2017-08-11,2415.8336039440337
2017-08-14,2436.7816053384527
2017-08-15,2446.5165042208637
2017-08-16,2457.435074667342
2017-08-17,2430.7990989598925
2017-08-18,2421.7264374294646
2017-08-21,2410.9595491410846
2017-08-22,2438.6799722540873
2017-08-23,2425.9678843103134
2017-08-24,2427.157729318205
2017-08-25,2419.7309006492706
2017-08-28,2404.814434613182
2017-08-29,2388.6339427575226
2017-08-30,2415.5295692105124
2017-08-31,2434.583887955908
2017-09-01,2444.3962636966603
2017-09-04,2432.965115414666
2017-09-05,2421.807589902957
2017-09-06,2423.2053524042026
2017-09-07,2417.3826247847283
2017-09-08,2415.119466325333
2017-09-11,2443.7126275114038
2017-09-12,2457.6972132432084
2017-09-13,2463.0625663667665
2017-09-14,2469.007523740765
2017-09-15,2455.6949420358587
2017-09-18,2463.620946579732
2017-09-19,2463.751028674164
2017-09-20,2463.753442560167
2017-09-21,2468.8766322698243
2017-09-22,2462.3814003254606
2017-09-25,2473.5826650576255
2017-09-26,2486.503847621573
2017-09-27,2500.250277712399
2017-09-28,2492.376291886803
2017-09-29,2496.2573411540457
2017-10-02,2519.5606870943025
2017-10-03,2524.9000592579782
2017-10-04,2526.250199593741
2017-10-05,2542.765963304589
2017-10-06,2537.0725131518316
2017-10-09,2534.3522869504304
2017-10-10,2530.032804338814
2017-10-11,2528.9437535813827
2017-10-12,2528.828050058536
2017-10-13,2537.1255090947097
2017-10-16,2549.1395226841664
2017-10-17,2554.4620255722707
2017-10-18,2552.886126176466
2017-10-19,2536.8492066541335
2017-10-20,2554.6162977772733
2017-10-23,2556.8050213796537
