Date,ACWI WITH BRAZIL + INDIA + RUSSIA DR
2010-02-26,1000.0
2010-03-01,1019.9689480245378
2010-03-02,1022.235115458481
2010-03-03,1019.596428352603
2010-03-04,1023.9672823240505
2010-03-05,1037.2731548374559
2010-03-08,1038.8590700376508
2010-03-09,1043.8271012736327
2010-03-10,1043.214918486061
2010-03-11,1044.104070276223
2010-03-12,1041.838735264236
2010-03-15,1044.4499174356768
2010-03-16,1046.3076715460018
2010-03-17,1056.5892339340867
2010-03-18,1062.2039273852001
2010-03-19,1062.8615290758723
2010-03-22,1063.9419507920022
2010-03-23,1070.1766885008324
2010-03-24,1076.2276712171265
2010-03-25,1077.5234320026404
2010-03-26,1074.9007822241315
2010-03-29,1077.1182338367696
2010-03-30,1082.2618370234013
2010-03-31,1073.1156621355874
2010-04-01,1084.1680315978815
2010-04-02,1084.830506566305
2010-04-05,1091.741347298956
2010-04-06,1102.9844235353771
2010-04-07,1102.9856110427088
2010-04-08,1099.659074371213
2010-04-09,1102.9237663593203
2010-04-12,1094.1573062549749
2010-04-13,1094.2538711960403
2010-04-14,1101.1607331920563
2010-04-15,1108.2542668168828
2010-04-16,1095.6586079746403
2010-04-19,1092.9678059508399
2010-04-20,1103.206541347403
2010-04-21,1107.1025569172757
2010-04-22,1108.9340173817927
2010-04-23,1109.8979135510876
2010-04-26,1117.0546298728575
2010-04-27,1094.8071456003681
2010-04-28,1095.8978433508823
2010-04-29,1104.9643098985825
2010-04-30,1093.7297328388445
2010-05-03,1105.7618934676636
2010-05-04,1090.354404791377
2010-05-05,1091.11906271122
2010-05-06,1074.2621116947369
2010-05-07,1055.1807349802766
2010-05-10,1090.5157383384353
2010-05-11,1094.7034064691038
2010-05-12,1108.4802631891564
2010-05-13,1114.538599455563
2010-05-14,1100.4021754411208
2010-05-17,1099.0234214709556
2010-05-18,1092.236047942238
2010-05-19,1078.161465176552
2010-05-20,1046.733988269669
2010-05-21,1037.3841749996996
2010-05-24,1044.5918189238566
2010-05-25,1038.0973236911293
2010-05-26,1047.4712267478692
2010-05-27,1074.9195716234565
2010-05-28,1066.6981822474436
2010-05-31,1072.2778419528952
2010-06-01,1059.8124439272635
2010-06-02,1076.7331602341492
2010-06-03,1088.7515369948728
2010-06-04,1074.8550113535114
2010-06-07,1064.147355732349
2010-06-08,1066.905767673892
2010-06-09,1061.9595207786467
2010-06-10,1081.6031218200333
2010-06-11,1088.9256029267742
2010-06-14,1083.7631678225614
2010-06-15,1097.120125426589
2010-06-16,1099.5275303322671
2010-06-17,1097.8692512003956
2010-06-18,1098.3543894159097
2010-06-21,1106.6595877246184
2010-06-22,1100.350870921657
2010-06-23,1095.1313406550992
2010-06-24,1075.5290032963246
2010-06-25,1074.4444515400744
2010-06-28,1074.0137740207047
2010-06-29,1053.504841939472
2010-06-30,1040.6467525656012
2010-07-01,1017.9252445794838
2010-07-02,1006.9849808637484
2010-07-05,1010.3842598967539
2010-07-06,1018.3709397266458
2010-07-07,1037.220499138605
2010-07-08,1046.1020508732481
2010-07-09,1057.34887822984
2010-07-12,1061.2059681470773
2010-07-13,1069.4802985331314
2010-07-14,1068.7240265389605
2010-07-15,1054.5742439793007
2010-07-16,1029.3055062243227
2010-07-19,1027.108058886871
2010-07-20,1038.7408034769905
2010-07-21,1041.1197688356765
2010-07-22,1053.246490057808
2010-07-23,1067.9175414617805
2010-07-26,1069.1809756541818
2010-07-27,1066.7027465925842
2010-07-28,1063.0835184747818
2010-07-29,1056.8509336213826
2010-07-30,1058.3525013429164
2010-08-02,1071.04928422222
2010-08-03,1068.5764057998563
2010-08-04,1074.9684943122454
2010-08-05,1074.4949015169375
2010-08-06,1062.941445053512
2010-08-09,1072.1270331203064
2010-08-10,1072.7254920036905
2010-08-11,1058.765604938783
2010-08-12,1056.8189981264961
2010-08-13,1062.2645521091013
2010-08-16,1058.4687618346663
2010-08-17,1068.0973900858887
2010-08-18,1070.2854327250363
2010-08-19,1058.6347482749836
2010-08-20,1061.6659204913337
2010-08-23,1063.3313350481176
2010-08-24,1047.4747231504634
2010-08-25,1046.2933528860724
2010-08-26,1040.5200560223145
2010-08-27,1052.9264652663553
2010-08-30,1051.2981191449096
2010-08-31,1046.6714284053435
2010-09-01,1066.2724239461024
2010-09-02,1073.0903990174527
