Date,AC FAR EAST ex JAPAN
2000-12-29,100.0
2001-01-01,99.9385127486247
2001-01-02,99.35612954192025
2001-01-03,97.99041256722455
2001-01-04,102.6180140551439
2001-01-05,104.47141339983612
2001-01-08,104.48251139837532
2001-01-09,106.79177758094968
2001-01-10,105.80690037620691
2001-01-11,102.97512010324353
2001-01-12,104.71716129811945
2001-01-15,105.99589892687287
2001-01-16,107.34351571151058
2001-01-17,108.65548017797514
2001-01-18,108.10556538123706
2001-01-19,111.74717940184163
2001-01-22,113.02543794858447
2001-01-23,112.14236949121069
2001-01-24,114.15189967356174
2001-01-25,114.64827331093277
2001-01-26,113.08047447024457
2001-01-29,112.9094478100308
2001-01-30,112.20199084037608
2001-01-31,114.51798195689017
2001-02-01,113.08468354290474
2001-02-02,114.23353572220356
2001-02-05,110.57913243346215
2001-02-06,111.49608446523966
2001-02-07,110.51600606958056
2001-02-08,112.57907304812902
2001-02-09,112.32102610899715
2001-02-12,111.53110292965829
2001-02-13,113.8098534191089
2001-02-14,113.49098110398917
2001-02-15,116.05108141987678
2001-02-16,114.31990581112453
2001-02-19,112.60536647521343
2001-02-20,115.09474068999249
2001-02-21,113.5015355559994
2001-02-22,112.09311757077873
2001-02-23,112.2386952448705
2001-02-26,112.20518319225111
2001-02-27,110.3778534788104
2001-02-28,110.17614356175909
2001-03-01,106.30264066958789
2001-03-02,104.13642049636698
2001-03-05,105.94732553131146
2001-03-06,106.86022894911349
2001-03-07,107.22133940658075
2001-03-08,106.45471505842387
2001-03-09,105.52101011485534
2001-03-12,102.62372622811318
2001-03-13,102.38210452273006
2001-03-14,103.26940420490666
2001-03-15,104.62435238716725
2001-03-16,105.13079134499618
2001-03-19,104.08910355859098
2001-03-20,102.33592584767318
2001-03-21,102.48272433121444
2001-03-22,102.20061892929371
2001-03-23,102.7539068451956
2001-03-26,104.04090556930277
2001-03-27,102.1847824611464
2001-03-28,102.8817865125446
2001-03-29,102.30635824232643
2001-03-30,102.37378417750199
2001-04-02,100.90076670828475
2001-04-03,98.63067932655828
2001-04-04,93.69846110941914
2001-04-05,94.73649862628803
2001-04-06,95.7628451740075
2001-04-09,93.09998388932968
2001-04-10,94.24266431432916
2001-04-11,97.67937716315546
2001-04-12,97.99047706418507
2001-04-13,98.09717972502031
2001-04-16,98.387216812183
2001-04-17,97.54893561932766
2001-04-18,101.44874018451856
2001-04-19,103.05502796029633
2001-04-20,100.60571292035472
2001-04-23,101.0816879321251
2001-04-24,100.95768168642203
2001-04-25,100.39511557833504
2001-04-26,99.82395331895736
2001-04-27,100.62597920717589
2001-04-30,102.47334108194644
2001-05-01,102.0338026746128
2001-05-02,103.99192819825515
