Date,AC ASIA
2000-12-29,100.0
2001-01-01,99.97372467263341
2001-01-02,98.99459419914656
2001-01-03,98.8952612592591
2001-01-04,99.42745449857604
2001-01-05,99.65925433189743
2001-01-08,99.73046432012944
2001-01-09,99.62314240741263
2001-01-10,98.59855623645304
2001-01-11,95.27529725888664
2001-01-12,95.8128457181845
2001-01-15,96.64862339693084
2001-01-16,98.72428402554485
2001-01-17,100.53499999841428
2001-01-18,100.12622709310666
2001-01-19,102.42628757849758
2001-01-22,102.92201113373308
2001-01-23,102.09635479383931
2001-01-24,103.13089590193216
2001-01-25,103.91902502732825
2001-01-26,102.98384369630627
2001-01-29,103.6510952399916
2001-01-30,103.14679571604235
2001-01-31,103.52848246780552
2001-02-01,102.87137561752458
2001-02-02,102.7578666990368
2001-02-05,100.46962277531318
2001-02-06,100.9897105844076
2001-02-07,100.44822167019944
2001-02-08,101.34641651049047
2001-02-09,100.93093981796734
2001-02-12,100.31772976292486
2001-02-13,101.44030090172593
2001-02-14,101.67046418678316
2001-02-15,104.28777761433477
2001-02-16,102.36638952619519
2001-02-19,100.6631850618371
2001-02-20,103.04131318564691
2001-02-21,101.17550498287336
2001-02-22,101.6726997811833
2001-02-23,102.43660100623258
2001-02-26,102.60231883287169
2001-02-27,101.11909616924189
2001-02-28,99.91153521934874
2001-03-01,97.38970811997171
2001-03-02,93.75616849533853
2001-03-05,94.58331470137813
2001-03-06,96.18812815736506
2001-03-07,96.81640843566522
2001-03-08,96.48181879608478
2001-03-09,96.11070424739083
2001-03-12,93.29504692133169
2001-03-13,92.49925964008021
2001-03-14,92.22877473417802
2001-03-15,94.0953948721241
2001-03-16,94.8375251886781
2001-03-19,94.95999486817166
2001-03-20,93.90039057939495
2001-03-21,98.41132252974822
2001-03-22,97.67176090340013
2001-03-23,99.16928292021238
2001-03-26,101.94064779753649
2001-03-27,101.06005335977396
2001-03-28,103.21503151738732
2001-03-29,100.06186070802217
2001-03-30,98.3103600472662
2001-04-02,96.86476358666185
2001-04-03,97.68562216896629
2001-04-04,96.08268036683094
2001-04-05,97.90372863032442
2001-04-06,97.9257284630792
2001-04-09,94.51332007885279
2001-04-10,94.80560154361645
2001-04-11,97.4032114324385
2001-04-12,97.90500375633623
2001-04-13,97.62610104384704
2001-04-16,97.64882180097842
2001-04-17,97.80645416267778
2001-04-18,102.28972310039612
2001-04-19,102.50735766547783
2001-04-20,100.07740270053444
2001-04-23,100.86233206102392
2001-04-24,100.73892901968831
2001-04-25,100.94985971979342
2001-04-26,101.165730697499
2001-04-27,101.71417135973448
2001-04-30,102.90519418585441
2001-05-01,105.71502558463784
2001-05-02,106.91839011890586
2001-05-03,107.40447452652062
2001-05-04,106.74140229384307
2001-05-07,107.75480467728859
2001-05-08,106.43957958978196
2001-05-09,105.40551895498385
2001-05-10,104.52608468798908
2001-05-11,105.72817445688474
2001-05-14,104.32406387608043
2001-05-15,104.14710099579608
2001-05-16,101.9808215677449
2001-05-17,104.26978475261471
2001-05-18,103.9731115132577
2001-05-21,105.5316166082099
2001-05-22,106.81187883095834
2001-05-23,109.10235654569702
2001-05-24,109.15293249121886
2001-05-25,108.34472858700177
2001-05-28,107.0606939195511
2001-05-29,108.93175588619654
2001-05-30,106.5628250753858
2001-05-31,107.39538937166647
2001-06-01,107.16623889401791
2001-06-04,106.91164487090623
2001-06-05,106.20261567322702
2001-06-06,106.38755529695558
2001-06-07,106.47921912653163
2001-06-08,106.91791528510912
2001-06-11,106.38544640424341
2001-06-12,103.45294139417793
2001-06-13,103.10477963943912
2001-06-14,102.03517625636503
2001-06-15,100.65571874690684
2001-06-18,99.90234442893491
2001-06-19,100.14166842887477
2001-06-20,100.41258580473234
2001-06-21,101.38854474756695
2001-06-22,101.84136769874442
2001-06-25,100.44970567906346
2001-06-26,100.4390005756713
2001-06-27,100.14108485771347
2001-06-28,100.18240920011893
2001-06-29,102.10959490060438
2001-07-02,101.77887371337977
2001-07-03,101.92533308406227
2001-07-04,101.31499009439769
2001-07-05,101.43171623760682
2001-07-06,98.71812160672482
2001-07-09,97.45169215398904
2001-07-10,97.46315871690534
2001-07-11,95.99550214689204
2001-07-12,98.57376541626572
2001-07-13,97.6528039015296
2001-07-16,96.94385312706298
2001-07-17,96.33130197082423
2001-07-18,92.985789875023
2001-07-19,93.2932662513706
2001-07-20,93.19386881048597
2001-07-23,91.14301257134456
2001-07-24,91.29954763040419
2001-07-25,91.70577821108691
2001-07-26,92.0179933287512
2001-07-27,92.2312706220326
2001-07-30,90.52197140276185
2001-07-31,92.38790219692522
2001-08-01,92.85454119483143
2001-08-02,94.77369675010223
2001-08-03,93.57596386914125
2001-08-06,93.8033071716513
2001-08-07,94.45818729022247
2001-08-08,94.38981649652298
2001-08-09,90.94467396562553
2001-08-10,90.83388306072483
2001-08-13,89.49774262722697
2001-08-14,92.12426903854967
2001-08-15,91.62597095764092
2001-08-16,90.17950596296532
2001-08-17,89.37056410950538
2001-08-20,88.46830757639718
2001-08-21,89.12258893694452
2001-08-22,88.84464600463733
2001-08-23,88.70085014473663
2001-08-24,88.3961697082263
2001-08-27,89.5856758347982
2001-08-28,89.05689417878285
2001-08-29,88.22405345316177
2001-08-30,87.22333476193688
2001-08-31,86.98870984526053
2001-09-03,85.47492752869636
2001-09-04,88.85520378840279
2001-09-05,87.46534235887613
2001-09-06,86.71090193616281
2001-09-07,85.2978752742399
2001-09-10,83.70566870768262
2001-09-11,84.08464689575149
2001-09-12,78.75735701929537
2001-09-13,79.18521679262584
2001-09-14,79.85829452680994
