Date,AC ASIA WITH PARTIAL A SHARES
2008-11-27,1028.2139708416894
2008-11-28,1056.0305283125163
2008-12-30,1032.6548215557282
2008-12-31,1048.5415975438198
2009-01-29,1062.9676897546215
2009-01-30,1066.2597273979675
2009-02-26,951.2191866038364
2009-02-27,967.3046390367252
2009-03-30,1015.3993378247997
2009-03-31,988.5404866377754
2009-04-29,1080.5102423221083
2009-04-30,1115.9244369338032
2009-05-28,1178.7794627923572
2009-05-29,1178.876327712463
2009-06-29,1192.9795857276424
2009-06-30,1198.8367070939482
2009-07-30,1271.9589359743802
2009-07-31,1284.847571205123
2009-08-28,1278.5084445991047
2009-08-31,1274.2293048501174
2009-09-29,1284.3138979306286
2009-09-30,1290.7341435994483
2009-10-29,1231.7746416801897
2009-10-30,1259.5393530525935
2009-11-27,1211.9310556257813
2009-11-30,1248.128016369119
2009-12-30,1339.409078056479
2009-12-31,1339.527723226333
2010-01-28,1369.077131967631
2010-01-29,1352.4994989638967
2010-02-25,1393.485320094528
2010-02-26,1389.1576414681522
2010-03-30,1506.9166734891146
2010-03-31,1486.312329539464
2010-04-29,1514.8073686919752
2010-04-30,1526.563318713454
2010-05-28,1505.435328291228
2010-05-31,1517.8424239498352
2010-06-29,1539.5280498026832
2010-06-30,1518.1381078803677
2010-07-29,1496.873895131156
2010-07-30,1494.8789943763043
2010-08-30,1531.3095019339517
2010-08-31,1506.3114687381371
2010-09-29,1533.6757332982943
2010-09-30,1515.101579168597
2010-10-28,1526.3997338820122
2010-10-29,1523.8427092980914
2010-11-29,1633.0608965146396
2010-11-30,1629.9456979518575
2010-12-30,1691.4656559987175
2010-12-31,1683.8844696873455
2011-01-28,1664.5233977642406
2011-01-31,1640.007975507194
2011-02-25,1628.7004624340957
2011-02-28,1629.7796533717149
2011-03-30,1564.9527148002514
2011-03-31,1565.403733089768
2011-04-28,1531.6268104181725
2011-04-29,1530.9872369415061
2011-05-30,1542.7343847802501
2011-05-31,1556.9263348683703
2011-06-29,1528.0419007929572
2011-06-30,1533.7018175625608
2011-07-28,1597.4841124809432
2011-07-29,1581.5708328731446
2011-08-30,1412.594382721445
2011-08-31,1435.2707027300555
2011-09-29,1407.0028678734016
2011-09-30,1418.647071028862
2011-10-28,1457.6315578422373
2011-10-31,1446.8713530045675
2011-11-29,1416.73532677078
2011-11-30,1401.421792838874
2011-12-29,1457.3364868314861
2011-12-30,1463.2676577640063
2012-01-30,1549.9650884036587
2012-01-31,1564.5542502640992
2012-02-28,1603.8651044819617
2012-02-29,1616.2061483884825
2012-03-29,1609.2542256393963
2012-03-30,1605.008750925456
2012-04-27,1574.7330312680547
2012-04-30,1591.8978673363663
2012-05-30,1545.1549020152643
2012-05-31,1546.3009960875283
2012-06-28,1572.0424949659525
2012-06-29,1566.0267843489564
2012-07-30,1608.5101301974623
2012-07-31,1618.5888247229093
2012-08-30,1594.4784687663832
2012-08-31,1571.4266220131994
2012-09-27,1616.738997159692
2012-09-28,1615.8086390238288
2012-10-30,1575.0228862252582
2012-10-31,1588.8727506887806
2012-11-29,1621.406110542173
2012-11-30,1623.7130031315007
2012-12-28,1665.4152945661776
2012-12-31,1667.9583870181316
2013-01-30,1662.2659908743913
2013-01-31,1661.4207630602834
2013-02-27,1716.234266168147
2013-02-28,1743.6581838666661
2013-03-28,1791.432110848545
2013-03-29,1793.125701593323
2013-04-29,1825.5714814413607
2013-04-30,1832.6720817724693
2013-05-30,1797.0679068966676
2013-05-31,1803.0445660261473
2013-06-27,1714.4795651353902
2013-06-28,1755.3896675624044
2013-07-30,1764.0656992612876
2013-07-31,1739.5565626498874
2013-08-29,1711.0726783767507
2013-08-30,1720.777145533471
2013-09-27,1819.2432022314122
2013-09-30,1790.3281081145185
2013-10-30,1812.0179174053394
2013-10-31,1822.5893296384718
2013-11-28,1835.4827743847886
2013-11-29,1834.9154078117233
2013-12-30,1802.4761802626565
2013-12-31,1809.5658041446802
2014-01-30,1752.99164332332
2014-01-31,1766.9109300466746
2014-02-27,1769.0263113948645
2014-02-28,1750.8591729745522
2014-03-28,1738.7091455323994
2014-03-31,1752.3758379986737
2014-04-29,1734.4732196206273
2014-04-30,1727.1183788298438
2014-05-29,1833.869884056144
2014-05-30,1825.6637396049982
2014-06-27,1881.2516561729617
2014-06-30,1886.2891441483962
2014-07-30,1984.3385517105119
2014-07-31,1975.1812367945874
2014-08-28,1997.9919748097539
2014-08-29,1993.7648532008232
2014-09-29,2014.9259023883294
2014-09-30,2006.326316025266
2014-10-30,1993.4488090480552
2014-10-31,2031.9869829672396
2014-11-27,2042.9406252084639
2014-11-28,2049.6395832496637
2014-12-30,2064.1617111447013
2014-12-31,2076.5156592157673
2015-01-29,2271.5163275901386
2015-01-30,2279.5087832526888
2015-02-26,2383.941028638518
2015-02-27,2380.2118693292373
2015-03-30,2498.416629176198
2015-03-31,2512.909812834796
2015-04-29,2606.110814667301
2015-04-30,2547.8538564578093
2015-05-28,2597.115041660652
2015-05-29,2584.371400224174
2015-06-29,2444.1825741830103
2015-06-30,2469.3683261158235
2015-07-30,2416.729171440599
2015-07-31,2408.1570688923007
2015-08-28,2197.8887115372777
2015-08-31,2185.710537103026
2015-09-29,2044.4209462881806
2015-09-30,2100.7045531028675
2015-10-29,2321.707549199267
2015-10-30,2314.3760673343404
2015-11-27,2387.7089206355276
2015-11-30,2367.3890103365993
2015-12-30,2282.7252123684175
2015-12-31,2298.59728546233
