Date,AC ASIA ex JAPAN WITH PARTIAL A SHARES
2008-11-27,1064.712984371814
2008-11-28,1095.7341119605458
2008-12-30,1076.4247339838957
2008-12-31,1098.4017156395944
2009-01-29,1097.4465031065888
2009-01-30,1127.4429095515618
2009-02-26,1067.7703328520463
2009-02-27,1064.1551072445043
2009-03-30,1156.1167235089333
2009-03-31,1158.2527419861592
2009-04-29,1291.3670710525232
2009-04-30,1353.8254162686524
2009-05-28,1472.49704980748
2009-05-29,1470.1001784125322
2009-06-29,1480.5213976728548
2009-06-30,1478.5456608233046
2009-07-30,1639.642194304098
2009-07-31,1653.5938848170838
2009-08-28,1598.5183170135997
2009-08-31,1577.2922189626881
2009-09-29,1685.3394268612944
2009-09-30,1685.3549025596162
2009-10-29,1636.7692688178258
2009-10-30,1662.0325298984176
2009-11-27,1645.9321813402514
2009-11-30,1677.9961491972604
2009-12-30,1818.0905239589838
2009-12-31,1831.906312217689
2010-01-28,1786.3273566042076
2010-01-29,1776.2532748676379
2010-02-25,1820.6374657874837
2010-02-26,1819.244769635775
2010-03-30,1994.9028864152494
2010-03-31,1967.410869689705
2010-04-29,2027.9379456790655
2010-04-30,2042.6605372665078
2010-05-28,2002.8901824975635
2010-05-31,2026.9777615089379
2010-06-29,2083.2474560173823
2010-06-30,2064.459114370072
2010-07-29,2052.0047592228984
2010-07-30,2054.460530150176
2010-08-30,2104.1178637716
2010-08-31,2081.7952706954216
2010-09-29,2161.3236648946154
2010-09-30,2156.3606836943477
2010-10-28,2182.310801166935
2010-10-29,2175.3617772325297
2010-11-29,2289.8138009817835
2010-11-30,2288.976661085171
2010-12-30,2358.2368116978278
2010-12-31,2342.847975237948
2011-01-28,2308.366271750427
2011-01-31,2269.8660328027267
2011-02-25,2168.007812580784
2011-02-28,2166.7258526601727
2011-03-30,2236.455000341128
2011-03-31,2240.2033080337933
2011-04-28,2230.652591512933
2011-04-29,2223.6514812583323
2011-05-30,2241.131162982002
2011-05-31,2264.4416207944378
2011-06-29,2178.791193394615
