Date,ACFM AMERICA INDEX
2009-05-29,1000.0
2009-06-01,1027.1331869670673
2009-06-02,1018.4803599158336
2009-06-03,1008.2467126936738
2009-06-04,1020.6130511011253
2009-06-05,1031.1982654922024
2009-06-08,1039.8030233804946
2009-06-09,1034.3910447607836
2009-06-10,1031.5600836997685
2009-06-11,1034.6342779212068
2009-06-12,1039.5690460230558
2009-06-15,1025.4816321696542
2009-06-16,1008.455159665857
2009-06-17,1004.6661229418216
2009-06-18,1006.976538156664
2009-06-19,1013.8144149985602
2009-06-22,982.4193428941134
2009-06-23,975.8014490943483
2009-06-24,983.3176036584795
2009-06-25,1012.7592928631097
2009-06-26,1002.1215943117206
2009-06-29,1011.1389276317484
2009-06-30,1004.6457537815622
2009-07-01,1002.4922621774673
2009-07-02,982.431114685631
2009-07-03,983.7438525105658
2009-07-06,987.586158118186
2009-07-07,963.1893429269951
2009-07-08,966.8405308671737
2009-07-09,965.1573265680245
2009-07-10,963.8282896087226
2009-07-13,985.4702979024299
2009-07-14,993.2468330408196
2009-07-15,1014.420456520285
2009-07-16,1021.9458071626312
2009-07-17,1023.1911212533997
2009-07-20,1029.581858164548
2009-07-21,1032.765032521251
2009-07-22,1033.1847243403715
2009-07-23,1055.4350797910004
2009-07-24,1062.8506903190887
2009-07-27,1064.6347770504567
2009-07-28,1063.1771281948027
2009-07-29,1065.211880957139
2009-07-30,1079.5398771806783
2009-07-31,1072.9567656123056
2009-08-03,1073.233263160135
2009-08-04,1078.9516396080674
2009-08-05,1077.551364272853
2009-08-06,1070.8302122872537
2009-08-07,1095.3541689967722
2009-08-10,1095.0296832686179
2009-08-11,1080.4340835953092
2009-08-12,1088.229599901201
2009-08-13,1091.227975340383
2009-08-14,1086.2747951390204
2009-08-17,1069.5405426536147
2009-08-18,1078.9301422128467
2009-08-19,1077.8850187946603
2009-08-20,1088.154948759356
2009-08-21,1103.6942809970537
2009-08-24,1101.928454927153
2009-08-25,1103.7352629911359
2009-08-26,1108.844105637474
2009-08-27,1111.4227357317752
2009-08-28,1100.4844200848731
2009-08-31,1090.9618524371426
2009-09-01,1072.0288814927346
2009-09-02,1072.6503498632399
2009-09-03,1082.0326430057723
2009-09-04,1099.7417023248565
2009-09-07,1093.483937187618
2009-09-08,1091.4937925157396
2009-09-09,1092.526587431502
2009-09-10,1104.7764928118481
2009-09-11,1102.3210975136267
2009-09-14,1106.5057767129067
2009-09-15,1114.4394803731952
2009-09-16,1125.1618886335618
2009-09-17,1118.5979699842314
2009-09-18,1120.9743193435966
2009-09-21,1121.3477631467767
2009-09-22,1120.6225006038355
2009-09-23,1110.3367449705427
2009-09-24,1102.698874168817
2009-09-25,1097.47629896861
2009-09-28,1121.326110478072
2009-09-29,1126.8556110104275
2009-09-30,1119.7769418161977
2009-10-01,1095.9641847447015
2009-10-02,1086.7038781144768
2009-10-05,1101.8295033312459
2009-10-06,1109.919198544178
