Date,ACWI ex RUSSIA
1998-12-31,567.3694542996387
1999-01-01,567.3695679579643
1999-01-04,570.5569476450911
1999-01-05,577.1100197972735
1999-01-06,591.2889710883995
1999-01-07,592.2254998998953
1999-01-08,597.6649374548938
1999-01-11,593.3233369765819
1999-01-12,582.699530430735
1999-01-13,566.0898589229643
1999-01-14,562.1086418126052
1999-01-15,576.5264439413127
1999-01-18,581.2620091069153
1999-01-19,582.1540049931597
1999-01-20,587.6004990177382
1999-01-21,579.9128866064927
1999-01-22,570.9857690088327
1999-01-25,574.3787892428204
1999-01-26,579.7357489112525
1999-01-27,581.16885834343
1999-01-28,590.632808776106
1999-01-29,598.2541107928167
1999-02-01,602.1219180583646
1999-02-02,597.0828677049843
1999-02-03,596.765299308608
1999-02-04,592.8815973320252
1999-02-05,588.8839448099021
1999-02-08,589.8733693774509
1999-02-09,576.395453264837
1999-02-10,575.8219613948428
1999-02-11,586.9630223721973
1999-02-12,585.0985273551233
1999-02-15,587.2645912713006
1999-02-16,591.9851640410523
1999-02-17,583.9044852636008
1999-02-18,587.0135447442716
1999-02-19,592.9859350062494
1999-02-22,606.3398399426562
1999-02-23,610.8604525942561
1999-02-24,609.4210126608622
1999-02-25,601.6420931345231
1999-02-26,602.931469629341
1999-03-01,601.0614552790918
1999-03-02,598.3291250775785
1999-03-03,597.5851606142486
1999-03-04,606.7271136615358
1999-03-05,620.383948636839
1999-03-08,620.9767717198673
1999-03-09,622.4855373849874
1999-03-10,623.6923394235514
1999-03-11,634.8329922736425
1999-03-12,630.4219801259536
1999-03-15,634.8041635830014
1999-03-16,638.4531092131692
1999-03-17,631.45579310815
1999-03-18,634.8087808063975
1999-03-19,638.3889951261343
1999-03-22,637.2332531077702
1999-03-23,624.9231506082137
1999-03-24,621.8302156717151
1999-03-25,633.7223192065514
1999-03-26,637.0760547122054
1999-03-29,647.5624953035762
1999-03-30,643.2186719112879
1999-03-31,640.8901371037248
1999-04-01,643.9032484061756
1999-04-02,644.8545625876149
1999-04-05,654.4262416537174
1999-04-06,656.079925922772
1999-04-07,658.6565190561728
1999-04-08,663.8683101189463
1999-04-09,668.2090241076921
1999-04-12,666.4206603982493
1999-04-13,670.2307451200545
1999-04-14,665.0615275662609
1999-04-15,665.7160832370802
1999-04-16,666.9103871885172
1999-04-19,667.0836647870829
1999-04-20,663.5683873725742
1999-04-21,673.1182585357758
1999-04-22,681.5860341824555
1999-04-23,680.0786774350198
1999-04-26,685.3247855399726
1999-04-27,686.9414548658584
1999-04-28,684.5353171672745
1999-04-29,682.9558985470063
1999-04-30,681.9617489513413
1999-05-03,688.3599240390857
1999-05-04,680.930892412064
1999-05-05,678.7147463848222
1999-05-06,673.129408105535
1999-05-07,673.07445397916
1999-05-10,672.2723555897179
1999-05-11,678.4904867706083
1999-05-12,681.5987117318125
1999-05-13,685.6209195394615
1999-05-14,670.031368073967
1999-05-17,665.8108929076019
1999-05-18,667.4375121085116
1999-05-19,670.5524582227844
1999-05-20,672.7789128201553
1999-05-21,673.5800888765696
1999-05-24,665.7863292097145
1999-05-25,655.3113312863949
1999-05-26,667.2405677904674
1999-05-27,659.6519038331795
1999-05-28,665.4679415113782
1999-05-31,667.6050852319041
1999-06-01,665.578376284517
1999-06-02,673.654227604867
1999-06-03,676.1224289740364
1999-06-04,688.2866132119528
1999-06-07,693.8511501272665
1999-06-08,684.5905150923733
1999-06-09,686.0339514414445
1999-06-10,678.542095405084
1999-06-11,679.3987862826013
1999-06-14,679.1778820603663
1999-06-15,682.4128232063874
1999-06-16,697.9789238698925
1999-06-17,703.1487385901659
1999-06-18,700.5098323367494
1999-06-21,708.7589690226675
1999-06-22,705.98185216553
1999-06-23,700.6727376056316
1999-06-24,691.9980143580095
1999-06-25,685.3846140155873
1999-06-28,695.7231619129008
1999-06-29,703.3187573360243
1999-06-30,708.7170704981351
1999-07-01,721.9799860191882
1999-07-02,729.2919104744615
1999-07-05,733.776766036973
1999-07-06,730.3299513847124
1999-07-07,730.9766979081872
1999-07-08,731.6218697439067
1999-07-09,733.4333085816522
1999-07-12,736.2317890218138
1999-07-13,729.6719970371795
1999-07-14,731.1664220458646
1999-07-15,735.909510314654
1999-07-16,738.2977827718347
1999-07-19,739.3990440748873
1999-07-20,714.2580057718096
1999-07-21,706.7156702051686
1999-07-22,699.4338844286482
1999-07-23,695.2164787761909
1999-07-26,680.4718282989451
1999-07-27,687.0919963203725
1999-07-28,690.9557710295215
1999-07-29,677.5078900647746
1999-07-30,679.6767217187652
1999-08-02,680.1559395893016
1999-08-03,678.6570183461625
1999-08-04,668.432744629027
1999-08-05,662.5142439543483
1999-08-06,658.8360488472935
1999-08-09,662.5543575975818
1999-08-10,654.3041901667149
1999-08-11,663.0668903390203
1999-08-12,668.2366184195522
1999-08-13,682.6075487010922
1999-08-16,687.2795250200953
1999-08-17,693.8539045286429
1999-08-18,690.775098641099
1999-08-19,682.3071186049101
1999-08-20,689.103469605104
1999-08-23,703.4036080676442
1999-08-24,706.5750201334582
1999-08-25,716.7287901921195
1999-08-26,711.7612254228624
1999-08-27,706.553928329843
1999-08-30,701.8334108900634
1999-08-31,687.9483055312304
1999-09-01,693.080701745812
1999-09-02,681.5238255933626
1999-09-03,700.3143019803717
1999-09-06,705.1812627739953
1999-09-07,700.1294011544875
1999-09-08,697.7058609912757
1999-09-09,705.2705246938872
1999-09-10,711.58547429321
1999-09-13,715.4413367618909
1999-09-14,709.8106884526817
1999-09-15,706.0520540022954
1999-09-16,701.6968403199731
1999-09-17,704.9996437895306
