Date,ACWI ex CHINA
1999-01-01,1000.000200283275
1999-01-04,1005.6236876929958
1999-01-05,1017.187093017274
1999-01-06,1042.190000479814
1999-01-07,1043.8338564614094
1999-01-08,1053.4273543268523
1999-01-11,1045.780117619887
1999-01-12,1027.05331707755
1999-01-13,997.7483013664495
1999-01-14,990.7558440566443
1999-01-15,1016.1491984882242
1999-01-18,1024.5002772643847
1999-01-19,1026.0806263619495
1999-01-20,1035.6955734778915
1999-01-21,1022.1623205224524
1999-01-22,1006.4187732506032
1999-01-25,1012.3677384859627
1999-01-26,1021.8322657448778
1999-01-27,1024.348110148258
1999-01-28,1041.023008062033
1999-01-29,1054.4560660098919
1999-02-01,1061.2759063289327
1999-02-02,1052.4017378273334
1999-02-03,1051.8503058196304
1999-02-04,1045.0183305245132
1999-02-05,1037.9704004758828
1999-02-08,1039.7265020101331
1999-02-09,1015.9874553923771
1999-02-10,1015.034485132998
1999-02-11,1034.7086479357044
1999-02-12,1031.3945854097763
1999-02-15,1035.20159408012
1999-02-16,1043.5444820228568
1999-02-17,1029.3039240605835
1999-02-18,1034.793255466977
1999-02-19,1045.3647483303455
1999-02-22,1068.969595038685
1999-02-23,1076.9194853654594
1999-02-24,1074.3996029482416
1999-02-25,1060.6214263622235
1999-02-26,1062.8931891448178
1999-03-01,1059.6359982447352
1999-03-02,1054.8551948450308
1999-03-03,1053.502738400742
1999-03-04,1069.5867140031369
1999-03-05,1093.6751045418591
1999-03-08,1094.7180303140785
1999-03-09,1097.3940942119643
1999-03-10,1099.5524895601025
1999-03-11,1119.2366737580196
1999-03-12,1111.482370549349
1999-03-15,1119.2086164389682
1999-03-16,1125.6792223066782
1999-03-17,1113.3710032850595
1999-03-18,1119.26301915172
1999-03-19,1125.5897082758115
1999-03-22,1123.493888536551
1999-03-23,1101.782189476274
1999-03-24,1096.2847383429755
1999-03-25,1117.2937408625285
1999-03-26,1123.1966028750126
1999-03-29,1141.6894501926163
1999-03-30,1134.0519393003697
1999-03-31,1129.934921767582
1999-04-01,1135.223008213992
1999-04-02,1136.9073028690766
1999-04-05,1153.7755297601257
1999-04-06,1156.6400734328004
1999-04-07,1161.1470335370575
1999-04-08,1170.295762236175
1999-04-09,1177.8912612673325
1999-04-12,1174.7596797579183
1999-04-13,1181.4877778575396
1999-04-14,1172.4420378087364
1999-04-15,1173.6053770255673
1999-04-16,1175.7468968026608
1999-04-19,1176.0723438749094
1999-04-20,1169.8268566269912
1999-04-21,1186.6417266721767
1999-04-22,1201.6012862799525
1999-04-23,1198.9812786765303
1999-04-26,1208.239917798253
1999-04-27,1211.0716025518261
1999-04-28,1206.817246911073
1999-04-29,1204.0831309889488
1999-04-30,1202.3968859292215
1999-05-03,1213.6713798436253
1999-05-04,1200.5864324756524
1999-05-05,1196.8054653966103
1999-05-06,1186.9614292952037
1999-05-07,1186.7975721110115
1999-05-10,1185.3898568253026
1999-05-11,1196.3076145471227
1999-05-12,1201.59531296998
1999-05-13,1208.737743029709
1999-05-14,1181.2424097298313
1999-05-17,1173.9393438247134
1999-05-18,1176.896905032374
1999-05-19,1182.333827503523
1999-05-20,1186.2458581279177
1999-05-21,1187.6932900323286
1999-05-24,1173.9853399814172
1999-05-25,1155.4853888423347
1999-05-26,1176.5352715252195
1999-05-27,1163.175524675768
1999-05-28,1173.4108319457866
1999-05-31,1177.1529961401204
1999-06-01,1173.5543328644414
1999-06-02,1187.77224798221
1999-06-03,1192.179143130351
1999-06-04,1213.62889180929
1999-06-07,1223.4533666360521
1999-06-08,1207.153046839896
1999-06-09,1209.70624040255
1999-06-10,1196.5004949510283
1999-06-11,1198.0109812439869
1999-06-14,1197.6169700832386
1999-06-15,1203.297507205963
1999-06-16,1230.7751295882586
1999-06-17,1239.8646768439692
1999-06-18,1235.2390267293426
1999-06-21,1249.8263043046713
1999-06-22,1244.8918867947054
1999-06-23,1235.4889583862441
1999-06-24,1220.2184946525435
1999-06-25,1208.532132543559
1999-06-28,1226.7380556861588
1999-06-29,1240.1191707695332
1999-06-30,1249.6446347617
1999-07-01,1273.0968511085218
1999-07-02,1285.9931526076984
1999-07-05,1293.9549176490414
1999-07-06,1287.9637247202882
1999-07-07,1289.1102543348009
1999-07-08,1290.273029548814
1999-07-09,1293.4294058233434
1999-07-12,1298.3390760544298
1999-07-13,1286.7276864296257
1999-07-14,1289.4353365583668
1999-07-15,1297.7777524615265
1999-07-16,1301.9792151005597
1999-07-19,1303.9073316906192
1999-07-20,1259.5386223200355
1999-07-21,1246.2094455332592
1999-07-22,1233.3985338738516
1999-07-23,1225.9471704731675
1999-07-26,1199.9698605263982
1999-07-27,1211.6092909465954
1999-07-28,1218.4136187280549
1999-07-29,1194.604812435922
1999-07-30,1198.4620268008814
1999-08-02,1199.2859968954494
1999-08-03,1196.6333731818456
1999-08-04,1178.5427159034068
1999-08-05,1168.07356984434
1999-08-06,1161.6157775567187
1999-08-09,1168.175829497374
1999-08-10,1153.6608264679771
1999-08-11,1169.1212513875323
1999-08-12,1178.22218888665
1999-08-13,1203.5343766984497
