Date,ACWI ex ITALY
2015-12-11,2118.717231234235
2015-12-14,2106.203573930569
2015-12-15,2145.589380863327
2015-12-16,2170.2929151060803
2015-12-17,2178.3384351281925
2015-12-18,2148.412061049654
2015-12-21,2140.8261264686594
2015-12-22,2145.4565734943067
2015-12-23,2190.2380338062226
2015-12-24,2177.566021834373
2015-12-25,2176.7986094943567
2015-12-28,2169.9736203067832
2015-12-29,2201.481781507252
2015-12-30,2187.1232099524173
2015-12-31,2181.8265302538207
2016-01-01,2181.8462485064624
2016-01-04,2149.0887330681467
2016-01-05,2165.6313461167892
2016-01-06,2133.44151944819
2016-01-07,2071.0057664353553
2016-01-08,2040.0394790857085
2016-01-11,2040.8132137247028
2016-01-12,2050.8892982449725
2016-01-13,2027.2072806469716
2016-01-14,2033.4161502912552
2016-01-15,1975.9331290951316
2016-01-18,1980.541897646462
2016-01-19,1986.7593352885865
2016-01-20,1947.8815966437498
2016-01-21,1966.889449380512
2016-01-22,2019.1484020256225
2016-01-25,2000.706142438918
2016-01-26,2012.948632977833
2016-01-27,2005.873559692931
2016-01-28,1997.0804936273412
2016-01-29,2059.657971024889
2016-02-01,2051.371336991558
2016-02-02,2013.882897726211
2016-02-03,1987.6267294941904
2016-02-04,1980.0785159679817
2016-02-05,1956.0650542413825
2016-02-08,1925.105603889532
2016-02-09,1885.3333989074968
2016-02-10,1902.5186812960394
2016-02-11,1853.5114334082175
2016-02-12,1889.288096827086
2016-02-15,1930.3693476784874
2016-02-16,1950.7060023113568
2016-02-17,1982.0406941756107
2016-02-18,1990.7941226111354
2016-02-19,1982.2596970221764
2016-02-22,2021.753839515572
2016-02-23,2001.0910017074827
2016-02-24,1992.6582071424327
2016-02-25,2013.32370627033
2016-02-26,2034.8060648596727
2016-02-29,2037.7208845556884
2016-03-01,2075.6762440105526
2016-03-02,2101.5321944053367
2016-03-03,2096.9271872167506
2016-03-04,2097.0168972758065
2016-03-07,2102.4744396888564
2016-03-08,2070.9640833731078
2016-03-09,2084.6899491193403
2016-03-10,2058.6152367096724
2016-03-11,2092.4001341531557
2016-03-14,2104.6255288912034
2016-03-15,2090.7344331960585
2016-03-16,2100.880288975435
2016-03-17,2087.437555293998
2016-03-18,2097.7822251874936
2016-03-21,2102.301066854005
2016-03-22,2108.9295535909923
2016-03-23,2102.434515233807
2016-03-24,2092.399241608588
2016-03-25,2093.8125946766786
2016-03-28,2088.8899598421217
2016-03-29,2106.050716762472
2016-03-30,2098.819701682327
2016-03-31,2086.8832670601496
2016-04-01,2084.922383623124
2016-04-04,2079.399153366333
2016-04-05,2051.9302590255697
2016-04-06,2068.433182636169
2016-04-07,2054.48530956167
2016-04-08,2063.3452158401205
2016-04-11,2058.7966521988724
2016-04-12,2087.048597104429
2016-04-13,2132.6121161495744
2016-04-14,2143.6805770873234
2016-04-15,2135.8135708224745
2016-04-18,2134.7458223711446
2016-04-19,2148.36346053078
2016-04-20,2157.8555290432982
2016-04-21,2162.242379672625
2016-04-22,2164.7188306033204
2016-04-25,2154.027273994236
2016-04-26,2150.8753332426286
2016-04-27,2151.077133729953
2016-04-28,2140.7701678143403
2016-04-29,2106.764622188115
2016-05-02,2100.5031201032475
2016-05-03,2077.289607084501
2016-05-04,2063.610768710852
2016-05-05,2076.9077998891053
2016-05-06,2074.187423935692
2016-05-09,2077.575338536365
2016-05-10,2101.9234297181065
2016-05-11,2085.6884712700926
2016-05-12,2087.437158949535
2016-05-13,2088.319302833004
2016-05-16,2097.410256028904
2016-05-17,2090.393116043306
2016-05-18,2098.5151775343606
2016-05-19,2094.1489717066925
2016-05-20,2107.8203875379127
2016-05-23,2106.9589096895
2016-05-24,2135.750585828946
2016-05-25,2158.8795355459233
2016-05-26,2156.004060516847
2016-05-27,2172.7107072546323
2016-05-30,2172.1816306349574
2016-05-31,2170.926982945307
2016-06-01,2161.3541200525715
2016-06-02,2165.9072340264447
2016-06-03,2140.36339436582
2016-06-06,2144.8553772869636
2016-06-07,2159.418650004842
2016-06-08,2159.7482059155827
2016-06-09,2159.5483758412065
2016-06-10,2134.8624369477043
2016-06-13,2108.4521684002725
2016-06-14,2106.4932338923586
2016-06-15,2106.9402750603704
2016-06-16,2115.27524564138
2016-06-17,2106.185677486366
2016-06-20,2126.097395748491
2016-06-21,2145.235099340952
2016-06-22,2143.536122265491
2016-06-23,2159.2067700151283
2016-06-24,2101.3944476986785
2016-06-27,2081.8093736732544
2016-06-28,2103.087507693272
2016-06-29,2139.329056671953
2016-06-30,2163.562623045031
2016-07-01,2168.9467259721996
2016-07-04,2170.0077529378414
2016-07-05,2154.6236938341926
2016-07-06,2153.5415207056853
2016-07-07,2159.4387963059776
2016-07-08,2188.747489037714
2016-07-11,2207.804281513379
2016-07-12,2221.9732955825366
2016-07-13,2220.395630452402
2016-07-14,2233.0750603965184
2016-07-15,2237.497678521881
2016-07-18,2243.1601096938707
2016-07-19,2247.6807148645216
2016-07-20,2259.110335827788
2016-07-21,2259.3602062620453
2016-07-22,2265.019659737248
2016-07-25,2262.1895368665264
2016-07-26,2262.9662528887657
2016-07-27,2263.279066495013
2016-07-28,2246.261914629877
2016-07-29,2242.076723904755
2016-08-01,2242.2235293119234
2016-08-02,2217.554215825876
2016-08-03,2222.049606209397
2016-08-04,2236.5434608117866
2016-08-05,2263.355150000576
2016-08-08,2269.127895220465
2016-08-09,2272.759874854716
2016-08-10,2262.302348680844
2016-08-11,2270.8959112357093
2016-08-12,2271.97685556656
2016-08-15,2273.8953571849565
2016-08-16,2251.550655571335
2016-08-17,2248.2643698484976
2016-08-18,2245.717186329455
2016-08-19,2239.4680364798605
2016-08-22,2237.70641774544
2016-08-23,2246.5209133953817
2016-08-24,2249.867832226592
2016-08-25,2239.326633563188
2016-08-26,2239.0219016079905
2016-08-29,2260.293349926203
2016-08-30,2261.934901563833
2016-08-31,2258.6492849161327
2016-09-01,2251.5832325195174
2016-09-02,2273.057004899714
2016-09-05,2282.614067162273
2016-09-06,2277.4369811628
2016-09-07,2279.3601727580512
2016-09-08,2269.7159142379355
2016-09-09,2235.128601661943
2016-09-12,2237.453912311523
2016-09-13,2208.259663058703
2016-09-14,2204.271731747614
2016-09-15,2220.631661515651
2016-09-16,2226.2041663686796
2016-09-19,2233.418413091468
2016-09-20,2236.6247177970904
2016-09-21,2266.4049565974283
2016-09-22,2272.0106361036537
2016-09-23,2262.9337363922377
2016-09-26,2232.9753741659997
2016-09-27,2254.758976568418
2016-09-28,2264.6097509960564
2016-09-29,2250.1872071619714
2016-09-30,2252.651137744866
2016-10-03,2255.86829387616
2016-10-04,2263.346333690723
2016-10-05,2258.846246691673
2016-10-06,2262.6278399801827
2016-10-07,2253.4250169059937
2016-10-10,2266.391340848563
2016-10-11,2260.6606268532046
2016-10-12,2263.7677269656037
2016-10-13,2249.8278155456037
2016-10-14,2261.79499569581
2016-10-17,2256.478816528627
2016-10-18,2279.688953811033
2016-10-19,2289.2325840282024
2016-10-20,2294.8398674193727
2016-10-21,2302.429233586832
2016-10-24,2307.687181777294
2016-10-25,2306.943671767503
2016-10-26,2290.8611324503217
2016-10-27,2282.9092998328847
2016-10-28,2275.948301088213
2016-10-31,2269.67520963631
2016-11-01,2244.0385080436367
2016-11-02,2212.7559318594276
2016-11-03,2209.540274211987
2016-11-04,2194.5706546749284
