Date,GOLDEN DRAGON WITH CHINA ALL SHARES
2008-11-25,1000.0
2008-11-26,1027.6683819497403
2008-11-27,1053.3094054470776
2008-11-28,1080.3808264457732
2008-12-01,1103.1012176627153
2008-12-02,1051.3464866261716
2008-12-03,1067.9819251374079
2008-12-04,1061.471649424797
2008-12-05,1080.3941288404067
2008-12-08,1132.4639512722947
2008-12-09,1124.505220109391
2008-12-10,1171.6928722882203
2008-12-11,1147.9451139916955
2008-12-12,1079.5460908690113
2008-12-15,1078.8404252546234
2008-12-16,1079.320534121066
2008-12-17,1059.9466526344625
2008-12-18,1064.600642475074
2008-12-19,1093.1779236796035
2008-12-22,1058.7790539486487
2008-12-23,1019.4932041200541
2008-12-24,1013.0896950486498
2008-12-25,1010.7618091638427
2008-12-26,1006.588409700153
2008-12-29,1001.8871914768127
2008-12-30,1015.5736072830696
2008-12-31,1040.7823721051057
2009-01-01,1040.7823721051057
2009-01-02,1063.3709967581524
2009-01-05,1123.3648543278507
2009-01-06,1150.5702438237977
2009-01-07,1110.1789162626292
2009-01-08,1054.6229879999053
2009-01-09,1067.4556645264354
2009-01-12,1054.8331499472254
2009-01-13,1056.1796457801383
2009-01-14,1070.3086307566293
2009-01-15,1044.7700724881618
2009-01-16,1040.7198707158084
2009-01-19,1057.895423585545
2009-01-20,1056.7614443541097
2009-01-21,1043.5843804491321
2009-01-22,1040.251023722802
2009-01-23,1047.2955998405153
2009-01-26,1020.0443829731324
2009-01-27,1016.7824590867409
2009-01-28,1012.8247272952958
2009-01-29,1047.550313782994
2009-01-30,1080.3291668384973
2009-02-02,1064.0447164980708
2009-02-03,1060.2527412821112
2009-02-04,1089.7099602826222
2009-02-05,1096.9402539541215
2009-02-06,1130.2097292381636
2009-02-09,1123.413993870707
2009-02-10,1131.6175764465916
2009-02-11,1133.1923169493784
2009-02-12,1120.4060217702302
2009-02-13,1138.064183257842
2009-02-16,1149.6492694593508
2009-02-17,1129.2147591950327
2009-02-18,1127.173642203758
2009-02-19,1119.5314042664031
2009-02-20,1106.8914109785371
2009-02-23,1126.6783261672272
2009-02-24,1092.07202175321
2009-02-25,1109.7425542446347
2009-02-26,1085.8140046534468
2009-02-27,1084.252980404407
2009-03-02,1059.1691020169244
2009-03-03,1060.5210310573723
2009-03-04,1101.1937403811698
2009-03-05,1104.3651100157995
2009-03-06,1083.3751527039935
2009-03-09,1066.1200544192202
2009-03-10,1073.3541429647532
2009-03-11,1087.5066012983073
2009-03-12,1084.4369000151253
2009-03-13,1107.3319404928595
2009-03-16,1126.7564014290488
2009-03-17,1131.5048576928027
2009-03-18,1128.9480929790345
2009-03-19,1089.5759795643896
2009-03-20,1084.3469314608458
2009-03-23,1132.021193807824
2009-03-24,1156.6730162035738
2009-03-25,1144.1087109686537
2009-03-26,1175.2646547632612
2009-03-27,1200.064051118114
2009-03-30,1167.3528331450325
2009-03-31,1166.8866447362382
2009-04-01,1180.3880544087913
2009-04-02,1214.7213667123242
2009-04-03,1220.6725076025978
2009-04-06,1240.820170233605
2009-04-07,1244.9578436894824
2009-04-08,1211.8279620847136
2009-04-09,1248.5674266400226
