Date,ACWI ex SPAIN
2015-12-11,2097.716308307301
2015-12-14,2085.3626552428045
2015-12-15,2124.400683928732
2015-12-16,2148.8681583374855
2015-12-17,2156.6934644323487
2015-12-18,2127.1493930216943
2015-12-21,2120.3836675148113
2015-12-22,2124.831969396353
2015-12-23,2169.0707633516254
2015-12-24,2156.360811536921
2015-12-25,2155.598563155125
2015-12-28,2149.08219449464
2015-12-29,2180.3325394653616
2015-12-30,2165.948795857331
2015-12-31,2160.9435250523247
2016-01-01,2160.963110651216
2016-01-04,2128.4384347379396
2016-01-05,2145.058194530159
2016-01-06,2112.973163007883
2016-01-07,2051.101424621331
2016-01-08,2020.4764711698615
2016-01-11,2021.1628172864168
2016-01-12,2031.1946747926734
2016-01-13,2007.769936916714
2016-01-14,2013.9946100696784
2016-01-15,1956.981386884867
2016-01-18,1961.3207621434608
2016-01-19,1967.4824389071018
2016-01-20,1928.7907981080823
2016-01-21,1947.8875599737107
2016-01-22,1999.3419720963516
2016-01-25,1981.0908697258133
2016-01-26,1993.119054955638
2016-01-27,1985.9026355112096
2016-01-28,1977.0439964037848
2016-01-29,2039.0234704990169
2016-02-01,2030.731988128724
2016-02-02,1993.696582462433
2016-02-03,1967.7530554331738
2016-02-04,1959.9683255418356
2016-02-05,1935.6688273668267
2016-02-08,1905.2418674990136
2016-02-09,1865.8580338690272
2016-02-10,1883.0092104413259
2016-02-11,1834.5409266245224
2016-02-12,1870.2603689348693
2016-02-15,1910.8296935094036
2016-02-16,1931.0007172521468
2016-02-17,1961.8849394656975
2016-02-18,1970.575406019507
2016-02-19,1962.201246025902
2016-02-22,2001.4097401389583
2016-02-23,1980.9345876631135
2016-02-24,1972.8562908006288
2016-02-25,1993.20793540211
2016-02-26,2014.5032786417066
2016-02-29,2017.2525843940678
2016-03-01,2054.8955301901933
2016-03-02,2080.2825410192727
2016-03-03,2075.8559977545215
2016-03-04,2075.7656598958333
2016-03-07,2081.0834406715753
2016-03-08,2049.835825003878
2016-03-09,2063.6013180788345
2016-03-10,2037.5600396384798
2016-03-11,2070.9740949566913
2016-03-14,2082.9382641413245
2016-03-15,2069.4334039224614
2016-03-16,2079.5872363234334
2016-03-17,2066.1051059945453
2016-03-18,2076.1985141654277
2016-03-21,2080.8551093763626
2016-03-22,2087.5303055684817
2016-03-23,2081.034708764079
2016-03-24,2071.16661962962
2016-03-25,2072.570332880229
2016-03-28,2067.681273025908
2016-03-29,2084.710285263675
2016-03-30,2077.550075315045
2016-03-31,2065.8613682184746
2016-04-01,2063.928250781106
2016-04-04,2058.3191283010774
2016-04-05,2031.0878133316587
2016-04-06,2047.5754440570872
2016-04-07,2033.6207087068979
2016-04-08,2042.6666387310793
2016-04-11,2038.1428983502483
2016-04-12,2065.80870135158
2016-04-13,2110.9214337596004
2016-04-14,2121.936649537679
2016-04-15,2114.074366058591
2016-04-18,2113.0313772780823
2016-04-19,2126.3870912352877
2016-04-20,2135.4916370094784
2016-04-21,2139.7465864105466
2016-04-22,2142.0654338979093
2016-04-25,2131.4669773810083
2016-04-26,2128.123013410669
2016-04-27,2128.2372591668977
2016-04-28,2118.3374902293317
2016-04-29,2084.927987759639
2016-05-02,2078.586433471824
2016-05-03,2055.8443305986857
2016-05-04,2042.5463694879938
2016-05-05,2055.694702756524
2016-05-06,2052.8680948640827
2016-05-09,2056.2392734331347
2016-05-10,2080.3355379266213
2016-05-11,2064.313185276867
2016-05-12,2065.9895518032627
2016-05-13,2066.746087451015
2016-05-16,2075.8101398439653
2016-05-17,2068.592243864942
2016-05-18,2076.6298062709525
2016-05-19,2072.4228804690365
2016-05-20,2085.963285699073
2016-05-23,2085.106520641814
2016-05-24,2113.6323548850087
2016-05-25,2136.2709506747833
2016-05-26,2133.6033585282116
2016-05-27,2150.0673987354717
2016-05-30,2149.5914730808167
2016-05-31,2148.3920703707513
2016-06-01,2139.0313702536755
2016-06-02,2143.410043915549
2016-06-03,2118.252113801262
2016-06-06,2122.7560828309292
2016-06-07,2137.3253469458514
2016-06-08,2137.7784795327393
2016-06-09,2137.6138499696385
2016-06-10,2113.297344016486
2016-06-13,2087.145921491778
2016-06-14,2085.3561010290937
2016-06-15,2085.710438079449
2016-06-16,2093.945798634743
2016-06-17,2084.993387092754
2016-06-20,2104.473839255781
2016-06-21,2123.4521512067136
2016-06-22,2121.5763416344685
2016-06-23,2137.196635834473
2016-06-24,2080.792574199396
2016-06-27,2061.109115784261
2016-06-28,2082.1883875220215
2016-06-29,2117.8155798850494
2016-06-30,2141.9569699294175
2016-07-01,2147.1159376674823
2016-07-04,2147.9746681916963
2016-07-05,2132.978323013707
2016-07-06,2131.9321142288695
2016-07-07,2137.5702488047514
2016-07-08,2166.7152499450917
2016-07-11,2185.5188349223645
2016-07-12,2199.4463373119224
2016-07-13,2197.817858435831
2016-07-14,2210.4197852083958
2016-07-15,2214.820331400373
2016-07-18,2220.502858651486
2016-07-19,2225.0221354742544
2016-07-20,2236.1752016270125
2016-07-21,2236.4042554817797
2016-07-22,2241.961582921193
2016-07-25,2239.1575949843696
2016-07-26,2239.986418170218
2016-07-27,2240.092572566416
2016-07-28,2223.437592123851
2016-07-29,2219.2491259748663
2016-08-01,2219.3597410034336
2016-08-02,2195.1524812888038
2016-08-03,2199.6901702548644
2016-08-04,2213.836717559636
2016-08-05,2240.400725869114
2016-08-08,2246.1565515625575
2016-08-09,2249.5396787850127
2016-08-10,2239.142778180874
2016-08-11,2247.677549971847
2016-08-12,2248.7886311009397
2016-08-15,2250.680630098544
2016-08-16,2228.5745796512715
2016-08-17,2225.450906786262
2016-08-18,2222.908687087494
2016-08-19,2216.664346723027
2016-08-22,2214.897743701119
2016-08-23,2223.7127172203504
2016-08-24,2226.916692237181
2016-08-25,2216.440601391925
2016-08-26,2216.1013323421676
2016-08-29,2237.165736575119
2016-08-30,2238.81421660622
2016-08-31,2235.491867203085
2016-09-01,2228.3453135576387
2016-09-02,2249.5317954286634
2016-09-05,2258.9096081110733
2016-09-06,2253.787842416322
2016-09-07,2255.5929325779057
2016-09-08,2245.8379899897463
2016-09-09,2211.470834672327
2016-09-12,2213.9307845341514
2016-09-13,2185.0393925378426
2016-09-14,2181.147322632426
2016-09-15,2197.403801795884
2016-09-16,2202.821980894308
2016-09-19,2209.9935178862625
2016-09-20,2213.0980659277943
2016-09-21,2242.556832679246
2016-09-22,2247.902498280523
2016-09-23,2239.0322369318283
2016-09-26,2209.349200709606
2016-09-27,2230.9869459618035
2016-09-28,2240.691228343946
2016-09-29,2226.352280963057
2016-09-30,2228.8999883654
2016-10-03,2232.009501144705
2016-10-04,2239.4132307517175
2016-10-05,2235.0467814165913
2016-10-06,2238.849111064098
2016-10-07,2229.980623500996
2016-10-10,2242.85989715195
2016-10-11,2237.000273276705
2016-10-12,2240.08989354244
2016-10-13,2226.2875242931764
2016-10-14,2238.0247692091793
2016-10-17,2232.8608006957406
2016-10-18,2255.8245619769896
2016-10-19,2265.120120641451
2016-10-20,2270.467308577339
2016-10-21,2277.9488767956295
2016-10-24,2282.925882596342
2016-10-25,2282.367754021728
2016-10-26,2266.3370193131072
2016-10-27,2258.407283878422
2016-10-28,2251.3867526343943
2016-10-31,2245.0830387998913
2016-11-01,2219.7246186865254
2016-11-02,2188.7555912741227
2016-11-03,2185.4861498641812
2016-11-04,2170.7582601760287
2016-11-07,2222.3134186318966
2016-11-08,2229.60796943544
2016-11-09,2249.684412675601
2016-11-10,2269.2393771744564
2016-11-11,2261.9772341473167
2016-11-14,2281.87258417743
2016-11-15,2293.1281435260616
2016-11-16,2302.719037831015
2016-11-17,2313.2286511216016
2016-11-18,2322.9582303052307
2016-11-21,2329.4355147382103
2016-11-22,2342.7455983369427
2016-11-23,2351.2930283284777
2016-11-24,2347.5969272734064
2016-11-25,2348.8659480509714
2016-11-28,2346.109241972927
2016-11-29,2340.0499091446873
2016-11-30,2339.935822828432
2016-12-01,2333.7151468258594
2016-12-02,2321.8901464689397
2016-12-05,2319.1867177402073
2016-12-06,2330.718940947851
2016-12-07,2351.6186536254595
2016-12-08,2393.559482884912
2016-12-09,2419.079651694456
2016-12-12,2401.131877564317
2016-12-13,2411.8933768398424
2016-12-14,2395.5927071781794
2016-12-15,2434.8093710251733
2016-12-16,2435.587433609462
2016-12-19,2432.9113712284347
2016-12-20,2450.1528223521877
2016-12-21,2435.617264717566
2016-12-22,2425.0170331610443
2016-12-23,2425.2491392866864
2016-12-26,2424.671724771889
2016-12-27,2428.7840070236607
2016-12-28,2434.175501639357
2016-12-29,2417.3037759145286
2016-12-30,2402.8108124394853
2017-01-02,2404.861545428105
2017-01-03,2451.0394354862133
2017-01-04,2450.553227505541
2017-01-05,2434.7747428034463
2017-01-06,2440.967321108595
2017-01-09,2437.76056459308
2017-01-10,2434.8737383225766
2017-01-11,2462.633792781104
2017-01-12,2428.806552831129
2017-01-13,2440.827052570376
2017-01-16,2438.248767179294
2017-01-17,2418.48565258317
2017-01-18,2422.9949110555103
2017-01-19,2429.0672689003763
2017-01-20,2421.521798083622
2017-01-23,2407.3493132401295
2017-01-24,2418.227356175111
2017-01-25,2440.3230581597445
2017-01-26,2456.236840925229
2017-01-27,2447.102186524616
2017-01-30,2436.2329294905494
2017-01-31,2409.2449854826978
2017-02-01,2422.594827021336
2017-02-02,2414.5645684893934
2017-02-03,2432.1300056099626
2017-02-06,2435.9639831849395
2017-02-07,2446.187686018089
2017-02-08,2448.6315421531513
2017-02-09,2466.0577010006905
2017-02-10,2486.1297408163746
2017-02-13,2502.631522238454
2017-02-14,2512.6882061240394
2017-02-15,2524.898942631391
2017-02-16,2507.172254181033
2017-02-17,2515.272278792427
2017-02-20,2518.9809796432837
2017-02-21,2547.8114943503924
2017-02-22,2547.3514844952733
2017-02-23,2540.095411873333
2017-02-24,2538.0712142984316
2017-02-27,2527.7118223625866
2017-02-28,2519.5926132699087
2017-03-01,2558.790949032536
2017-03-02,2556.668173716811
2017-03-03,2546.2433840201606
2017-03-06,2534.6039370406243
2017-03-07,2533.175911291386
2017-03-08,2531.589789886676
2017-03-09,2523.3114622765775
2017-03-10,2518.480075518429
2017-03-13,2524.6069145864944
2017-03-14,2522.4545253593938
2017-03-15,2540.6803776010483
2017-03-16,2533.229498674728
2017-03-17,2531.407894012355
2017-03-20,2527.624141177189
2017-03-21,2497.4046276133117
2017-03-22,2493.067484675263
2017-03-23,2499.424322256861
2017-03-24,2496.6014436532278
2017-03-27,2476.5718323946235
2017-03-28,2498.1943715120465
2017-03-29,2525.637723763182
2017-03-30,2532.7254932362903
2017-03-31,2531.337653163982
2017-04-03,2538.2957671376444
2017-04-04,2537.1469715208905
2017-04-05,2533.4174885657994
2017-04-06,2534.073877601514
2017-04-07,2542.0452920800867
2017-04-10,2547.624341198891
2017-04-11,2541.05434304953
2017-04-12,2538.3516759991194
2017-04-13,2526.439636288756
2017-04-14,2524.681203303911
2017-04-17,2533.245515114018
2017-04-18,2513.0377555738037
2017-04-19,2504.934293418252
2017-04-20,2508.604886312472
2017-04-21,2522.6622283527445
2017-04-24,2519.5453108179654
2017-04-25,2520.4636677878298
2017-04-26,2532.6938659584052
2017-04-27,2533.370896698512
2017-04-28,2524.162989125153
2017-05-01,2523.237073230575
2017-05-02,2533.9571352826724
2017-05-03,2528.2756083304253
2017-05-04,2521.7433697260653
2017-05-05,2523.770104508514
2017-05-08,2540.1501850435575
2017-05-09,2547.042734713641
2017-05-10,2557.1291945005414
2017-05-11,2554.5485092863682
2017-05-12,2544.3676878725064
2017-05-15,2544.347606777657
2017-05-16,2527.464486299682
2017-05-17,2484.1591421855405
2017-05-18,2481.924822818419
2017-05-19,2484.575397211472
2017-05-22,2487.2370381641676
2017-05-23,2493.5244650717223
2017-05-24,2505.448734150666
2017-05-25,2509.640066232267
2017-05-26,2514.4402782278376
2017-05-29,2515.06144668926
2017-05-30,2512.2426978738927
2017-05-31,2497.6577168633307
2017-06-01,2516.7369674110023
2017-06-02,2521.6123872137823
2017-06-05,2523.517766701829
2017-06-06,2513.5146728949458
2017-06-07,2515.608171376307
2017-06-08,2522.3351942316194
2017-06-09,2529.037328614823
2017-06-12,2517.9829174397228
2017-06-13,2529.3293984189054
2017-06-14,2516.588343260556
2017-06-15,2526.9265881581355
2017-06-16,2523.4886099944056
2017-06-19,2548.7930479506826
2017-06-20,2540.9515889121185
2017-06-21,2533.6912880902228
2017-06-22,2533.2641206162752
2017-06-23,2528.6828429804827
2017-06-26,2533.456200552135
2017-06-27,2502.1957207319438
2017-06-28,2500.6899363610155
2017-06-29,2473.847081503158
2017-06-30,2474.2455462653584
2017-07-03,2488.1068613405278
2017-07-04,2487.8785185253687
2017-07-05,2495.6362265321345
2017-07-06,2465.220462671249
2017-07-07,2472.315896019688
2017-07-10,2479.336812413008
2017-07-11,2473.6950668825566
2017-07-12,2496.600284528977
2017-07-13,2507.7024034025926
2017-07-14,2512.76784418973
2017-07-17,2509.486926789251
2017-07-18,2487.3652444366994
2017-07-19,2513.293351927451
2017-07-20,2493.352290562117
2017-07-21,2483.8607074560136
2017-07-24,2483.454527153882
2017-07-25,2485.070497803415
2017-07-26,2493.422937769906
2017-07-27,2489.5111321319423
2017-07-28,2467.1495854224545
2017-07-31,2459.9252198388785
2017-08-01,2466.6824272113495
2017-08-02,2457.3784548100384
2017-08-03,2449.7550146338494
2017-08-04,2476.257191221764
2017-08-07,2473.5880306617914
2017-08-08,2481.3139673042156
2017-08-09,2472.6267015088542
2017-08-10,2444.887909857481
2017-08-11,2430.233718734773
2017-08-14,2451.0954643205064
2017-08-15,2460.9463636866853
2017-08-16,2471.910550636041
2017-08-17,2445.1420244291035
2017-08-18,2436.010334046277
2017-08-21,2425.3411828505027
2017-08-22,2453.3781781269845
2017-08-23,2440.5871535535957
2017-08-24,2441.8000209437314
2017-08-25,2434.2715434118813
2017-08-28,2419.120427363691
2017-08-29,2402.879155355626
2017-08-30,2430.1442920133263
2017-08-31,2449.2527315475327
2017-09-01,2459.141830256132
2017-09-04,2447.648238260986
2017-09-05,2436.4670267756865
2017-09-06,2438.035478915313
2017-09-07,2432.144117300094
2017-09-08,2429.7333817158233
2017-09-11,2458.2871700826317
2017-09-12,2472.391236150825
2017-09-13,2477.6746616525597
