Date,ACWI ex ANDEAN
2015-12-11,1878.9640834991108
2015-12-14,1867.5622489549198
2015-12-15,1902.7308217504833
2015-12-16,1924.3917017972606
2015-12-17,1931.654041618261
2015-12-18,1905.0932704264376
2015-12-21,1898.326352545301
2015-12-22,1902.4099941320178
2015-12-23,1942.0520343362825
2015-12-24,1930.8925242232995
2015-12-25,1930.2163367623855
2015-12-28,1924.1840187448367
2015-12-29,1952.1341259918406
2015-12-30,1939.3113564019445
2015-12-31,1934.6297530066788
2016-01-01,1934.6471271912249
2016-01-04,1905.362493911429
2016-01-05,1920.0849611962994
2016-01-06,1891.3693696068208
2016-01-07,1836.3239947489685
2016-01-08,1808.8491486180062
2016-01-11,1809.4510243457355
2016-01-12,1818.4688258144677
2016-01-13,1797.7363219967635
2016-01-14,1802.899146735497
2016-01-15,1751.9327055984204
2016-01-18,1755.615602061134
2016-01-19,1761.2267103449472
2016-01-20,1726.3098405747508
2016-01-21,1743.5673241494924
2016-01-22,1789.698101572342
2016-01-25,1773.1871846029164
2016-01-26,1784.1328368057077
2016-01-27,1777.8253504621096
2016-01-28,1769.5368073159646
2016-01-29,1824.8613591916271
2016-02-01,1817.4618485756027
2016-02-02,1784.1199590430979
2016-02-03,1760.63265277668
2016-02-04,1754.0473220416543
2016-02-05,1732.6326129291233
2016-02-08,1704.8431288706354
2016-02-09,1669.4945294412807
2016-02-10,1685.1527568036795
2016-02-11,1641.3224432944712
2016-02-12,1673.3306269165903
2016-02-15,1709.826483616563
2016-02-16,1727.6670325924208
2016-02-17,1755.504682022142
2016-02-18,1762.977369290031
2016-02-19,1755.3040070175662
2016-02-22,1790.4725993898967
2016-02-23,1772.0786726502786
2016-02-24,1764.3449982168727
2016-02-25,1782.8067865996568
2016-02-26,1801.9665648878686
2016-02-29,1804.639453364929
2016-03-01,1838.308023288831
2016-03-02,1861.1187498353352
2016-03-03,1857.1775898711492
2016-03-04,1857.1772690252333
2016-03-07,1861.7884991814435
2016-03-08,1834.0967285983977
2016-03-09,1846.2879993974334
2016-03-10,1823.2866034067567
