Date,MSCI ACWI ex USA ex China ex Hong Kong Index
2017-11-30,1000.0
2017-12-01,998.8386732586221
2017-12-04,1004.3034909359725
2017-12-05,1004.1504886962393
2017-12-06,1000.4407106094446
2017-12-07,1001.137863746644
2017-12-08,1008.3351101184692
2017-12-11,1009.2181555181974
2017-12-12,1014.6581916614962
2017-12-13,1014.1386547258845
2017-12-14,1011.747975751795
2017-12-15,1009.9479920595936
2017-12-18,1019.7213590328047
2017-12-19,1016.2792940042353
2017-12-20,1010.7075522816751
2017-12-21,1014.8855991431768
2017-12-22,1017.3140624824318
2017-12-25,1017.6697284728388
2017-12-26,1015.4391100068415
2017-12-27,1017.845660517018
2017-12-28,1017.0478191122187
2017-12-29,1015.2882347115833
2018-01-01,1015.0919339180917
2018-01-02,1016.1797350355247
2018-01-03,1020.4669220051321
2018-01-04,1029.0703532935565
2018-01-05,1038.7111618549375
2018-01-08,1043.5649023870405
2018-01-09,1048.8942471415644
2018-01-10,1044.9522734500856
2018-01-11,1040.049483062805
2018-01-12,1038.008346836074
2018-01-15,1036.9691834939906
2018-01-16,1040.0702683526322
2018-01-17,1039.113520188824
2018-01-18,1039.182715338705
2018-01-19,1045.3207356252817
2018-01-22,1046.627946886217
2018-01-23,1050.1864492030552
2018-01-24,1046.7637718795174
2018-01-25,1039.6803754268356
2018-01-26,1044.6167890403353
2018-01-29,1045.4719255479938
2018-01-30,1032.4022230299424
2018-01-31,1027.885706981328
2018-02-01,1027.325537871852
2018-02-02,1013.6892559856996
2018-02-05,996.9201481180116
2018-02-06,975.2941079892158
2018-02-07,987.6045881510341
2018-02-08,979.7013168408234
2018-02-09,966.9681164702033
2018-02-12,974.8093129472267
2018-02-13,970.6028604034512
2018-02-14,976.9202756955276
2018-02-15,983.1355358999962
2018-02-16,991.6394977452678
2018-02-19,994.2374097244137
2018-02-20,994.8843726580668
2018-02-21,997.396240056943
2018-02-22,995.0047432742923
2018-02-23,1002.4655262041898
2018-02-26,1008.1097050533745
2018-02-27,1008.9771898130564
2018-02-28,1001.4991840842541
2018-03-01,990.847503631062
2018-03-02,972.7480531941101
2018-03-05,974.6061649973587
2018-03-06,978.0618215565817
2018-03-07,976.1216143932139
2018-03-08,985.9497012558593
2018-03-09,990.3597256480161
2018-03-12,998.0627890151845
2018-03-13,991.2896521350139
2018-03-14,990.3845032879235
2018-03-15,992.4055527554976
2018-03-16,993.7080827110929
2018-03-19,982.8581519877504
2018-03-20,986.9985609253511
2018-03-21,988.4500386761694
2018-03-22,980.4653770544616
2018-03-23,963.4041934871489
2018-03-26,958.1448285064055
2018-03-27,970.3443133549181
2018-03-28,969.1622861008983
2018-03-29,975.5717068860517
2018-03-30,977.2249391662931
2018-04-02,975.786798710072
2018-04-03,974.1102110561677
2018-04-04,969.0974774283003
2018-04-05,987.8594530540962
2018-04-06,983.0831308962158
2018-04-09,982.5718493689304
2018-04-10,988.135666184762
2018-04-11,984.4711449056534
2018-04-12,989.1126978100257
2018-04-13,989.5463103073403
2018-04-16,987.1145163191219
2018-04-17,992.662101298786
2018-04-18,998.0150681663865
2018-04-19,999.2729193452608
2018-04-20,998.4876322153278
2018-04-23,999.5458882561817
2018-04-24,999.0125771279687
2018-04-25,994.1828653734339
2018-04-26,1003.6387339104095
2018-04-27,1009.0589790692883
2018-04-30,1011.5182311295941
2018-05-01,1013.0018455555438
2018-05-02,1015.0899091016921
2018-05-03,1011.0204733976859
2018-05-04,1015.3936641990512
2018-05-07,1019.8339279714617
2018-05-08,1022.6180410706637
2018-05-09,1025.5954608205068
2018-05-10,1028.609201153357
2018-05-11,1031.0913426503457
2018-05-14,1031.9470664639907
2018-05-15,1030.591722336987
2018-05-16,1036.2397465703411
2018-05-17,1037.389513699918
2018-05-18,1036.5372292794602
2018-05-21,1038.4097719626232
2018-05-22,1040.4080896328417
2018-05-23,1035.2806069869137
2018-05-24,1031.0961405412024
2018-05-25,1033.9464454307208
2018-05-28,1032.8636434259306
2018-05-29,1026.3852527730357
2018-05-30,1021.696717412735
2018-05-31,1018.3017882102184
2018-06-01,1023.5062471022134
2018-06-04,1029.5314197390808
2018-06-05,1027.2853162889303
2018-06-06,1024.5461704892307
2018-06-07,1022.7077239992674
2018-06-08,1021.8361042216287
2018-06-11,1024.099489151688
2018-06-12,1024.1570605337906
2018-06-13,1025.5760801052916
2018-06-14,1032.781773242198
2018-06-15,1026.3824975506689
2018-06-18,1018.6127235390302
2018-06-19,1011.8684958241693
2018-06-20,1015.989866287764
2018-06-21,1008.3650650473161
2018-06-22,1014.4477062102007
2018-06-25,997.3277391323074
2018-06-26,998.8058895154957
2018-06-27,1003.0631790346027
2018-06-28,998.6150913847499
2018-06-29,1003.0631804667056
2018-07-02,994.8893759958582
2018-07-03,998.7391609238231
2018-07-04,1000.373509628741
2018-07-05,998.4974724421304
2018-07-06,1000.9829008499604
2018-07-09,1009.1417322420272
2018-07-10,1013.5752575988416
2018-07-11,1002.6085742772138
2018-07-12,1008.3309339120856
2018-07-13,1013.7118054830516
2018-07-16,1008.801035677779
2018-07-17,1011.8692460426078
2018-07-18,1016.6613988524024
2018-07-19,1015.7275108852155
2018-07-20,1015.1838683948707
2018-07-23,1013.4047543195566
2018-07-24,1021.0432903113575
2018-07-25,1023.0504738221439
2018-07-26,1029.6492549078325
2018-07-27,1034.9081723207792
2018-07-30,1030.3574787694297
2018-07-31,1029.536424610717
2018-08-01,1030.42841156151
2018-08-02,1023.9395710315518
2018-08-03,1030.2468416053823
2018-08-06,1029.692257148745
2018-08-07,1032.991028021766
2018-08-08,1031.7415020170115
2018-08-09,1033.1641597836656
2018-08-10,1026.5157974533297
2018-08-13,1017.4713878678243
2018-08-14,1024.6450007245674
2018-08-15,1015.9239489795148
2018-08-16,1014.3119327215136
2018-08-17,1015.4805092859382
2018-08-20,1018.6645469436924
2018-08-21,1016.4528728994817
2018-08-22,1015.1320785012028
2018-08-23,1013.1431414924816
2018-08-24,1013.2697960096081
2018-08-27,1020.1370948235623
2018-08-28,1019.1040111937588
2018-08-29,1021.3732340623546
2018-08-30,1019.4145048939549
2018-08-31,1015.2397520996728
2018-09-03,1012.3215200508918
2018-09-04,1007.7107372524707
2018-09-05,994.2657645432257
2018-09-06,990.5989475649476
2018-09-07,992.3557725929735
2018-09-10,991.8279785496761
2018-09-11,992.2863906819367
2018-09-12,993.9284555345299
2018-09-13,993.4698986068532
2018-09-14,999.5844261886269
2018-09-17,998.3471336892437
2018-09-18,1002.5019042358815
2018-09-19,1010.3769643898489
2018-09-20,1011.7411508350422
2018-09-21,1017.6746208037285
2018-09-24,1012.588546390854
2018-09-25,1015.3950510524631
2018-09-26,1019.7715940107665
2018-09-27,1023.5072631219252
2018-09-28,1023.4551991977435
2018-10-01,1025.5289830096335
2018-10-02,1023.0753198481326
2018-10-03,1023.8124604654236
2018-10-04,1014.3957506288099
2018-10-05,1007.0844349870575
2018-10-08,1003.8659353111557
2018-10-09,1001.0056558847115
2018-10-10,988.8451686375452
2018-10-11,963.1936305463865
