Date,ACWI ex PERU
2015-12-11,2095.548284470413
2015-12-14,2082.8215081476674
2015-12-15,2122.088028349813
2015-12-16,2146.2685650817675
2015-12-17,2154.4237215073204
2015-12-18,2124.846859306711
2015-12-21,2117.293818645501
2015-12-22,2121.816975999207
2015-12-23,2166.0618537899595
2015-12-24,2153.626203860193
2015-12-25,2152.8731841754475
2015-12-28,2146.117792204449
2015-12-29,2177.264367584328
2015-12-30,2162.983989417675
2015-12-31,2157.7853259795447
2016-01-01,2157.8046742916817
2016-01-04,2125.1077121049307
2016-01-05,2141.553761161816
2016-01-06,2109.5296904340835
2016-01-07,2048.1091280341466
2016-01-08,2017.4728962026127
2016-01-11,2018.1265167317194
2016-01-12,2028.1617465620475
2016-01-13,2005.0939103268533
2016-01-14,2010.8932322828189
2016-01-15,1954.0019565225593
2016-01-18,1958.0920252623416
2016-01-19,1964.3756048307644
2016-01-20,1925.4519437487995
2016-01-21,1944.7299114810837
2016-01-22,1996.229677703935
2016-01-25,1977.791150492562
2016-01-26,1989.990003092147
2016-01-27,1982.975495621589
2016-01-28,1973.8028726573766
2016-01-29,2035.5580255874827
2016-02-01,2027.2855359473258
2016-02-02,1990.0626888650231
2016-02-03,1963.8674845521768
2016-02-04,1956.613930615487
2016-02-05,1932.7449901212406
2016-02-08,1901.7567743013628
2016-02-09,1862.318874991279
2016-02-10,1879.821928246153
2016-02-11,1830.9303482826795
2016-02-12,1866.6408516916456
2016-02-15,1907.3578236165579
2016-02-16,1927.2061170303564
2016-02-17,1958.2942574156705
2016-02-18,1966.6586704697445
2016-02-19,1958.0959521247603
2016-02-22,1997.3283060600245
2016-02-23,1976.78958982905
2016-02-24,1968.1463964563532
2016-02-25,1988.7417714182382
2016-02-26,2010.1335856152516
2016-02-29,2013.109195043719
2016-03-01,2050.6494664707934
2016-03-02,2076.149076325292
2016-03-03,2071.78486487468
2016-03-04,2071.804684688831
2016-03-07,2076.967434287066
2016-03-08,2046.0497442884316
2016-03-09,2059.66237502523
2016-03-10,2034.001765213158
2016-03-11,2067.890201987088
2016-03-14,2079.8436916655396
2016-03-15,2066.0766156505315
2016-03-16,2075.9748778946755
2016-03-17,2062.669884715709
2016-03-18,2072.800854898276
2016-03-21,2077.3342885331363
2016-03-22,2083.8452055041544
2016-03-23,2077.2467726074815
2016-03-24,2067.152715303817
2016-03-25,2068.5393793024095
2016-03-28,2063.718413093653
2016-03-29,2080.5455585658087
2016-03-30,2073.598066534649
2016-03-31,2061.6749674609187
2016-04-01,2059.4358698995648
2016-04-04,2053.887793575698
2016-04-05,2026.503406035656
2016-04-06,2042.8227100701279
2016-04-07,2028.7896791798066
