Date,ACWI ex GREECE
2015-12-11,2103.0192319893176
2015-12-14,2090.2422809627574
2015-12-15,2129.671431295749
2015-12-16,2153.9323385525295
2015-12-17,2162.0790093904284
2015-12-18,2132.3621006720705
2015-12-21,2124.770259892135
2015-12-22,2129.32220803248
2015-12-23,2173.76031910515
2015-12-24,2161.280595800967
2015-12-25,2160.524828525662
2015-12-28,2153.7402928517718
2015-12-29,2185.0120010936907
2015-12-30,2170.6920652573867
2015-12-31,2165.427262966882
2016-01-01,2165.4466829564976
2016-01-04,2132.6511209871837
2016-01-05,2149.1802424350476
2016-01-06,2117.0220925034737
2016-01-07,2055.404839488825
2016-01-08,2024.6563482054132
2016-01-11,2025.3069249370521
2016-01-12,2035.3613952207809
2016-01-13,2012.1986436098848
2016-01-14,2018.0556443579142
2016-01-15,1960.9736917169787
2016-01-18,1965.1396187735463
2016-01-19,1971.4100282855586
2016-01-20,1932.4280169827548
2016-01-21,1951.7920615732064
2016-01-22,2003.4674416477899
2016-01-25,1984.9548257090016
2016-01-26,1997.1994158002892
2016-01-27,1990.1655368627592
2016-01-28,1980.9789646944716
2016-01-29,2042.9814132545175
2016-02-01,2034.6645957973037
2016-02-02,1997.2845212653933
2016-02-03,1971.0610076109015
2016-02-04,1963.8398019702533
2016-02-05,1939.894884846611
2016-02-08,1908.8767359273759
2016-02-09,1869.3044067120948
2016-02-10,1886.907641354499
2016-02-11,1837.8510654351687
2016-02-12,1873.6994696587305
2016-02-15,1914.491947883543
2016-02-16,1934.4136458414262
2016-02-17,1965.60293193538
2016-02-18,1973.9902522298653
2016-02-19,1965.4425571139325
2016-02-22,2004.842044307965
2016-02-23,1984.2028720661492
2016-02-24,1975.5736376162913
2016-02-25,1996.2283851953184
2016-02-26,2017.648162506474
2016-02-29,2020.594317953463
2016-03-01,2058.2869391507566
2016-03-02,2083.8799435836954
2016-03-03,2079.47781961545
2016-03-04,2079.516379680284
2016-03-07,2084.6814734532545
2016-03-08,2053.605454983392
2016-03-09,2067.322344620021
2016-03-10,2041.522044932515
2016-03-11,2075.539911690252
2016-03-14,2087.5380813747656
2016-03-15,2073.675232101897
2016-03-16,2083.6418573097653
2016-03-17,2070.315468553459
2016-03-18,2080.525801422158
2016-03-21,2085.0912055807044
2016-03-22,2091.6174012195743
2016-03-23,2084.962417914565
2016-03-24,2074.807929227658
2016-03-25,2076.1997328443426
2016-03-28,2071.3521536222497
2016-03-29,2088.2414187731706
2016-03-30,2081.251373485858
2016-03-31,2069.280321637246
2016-04-01,2067.037250051123
2016-04-04,2061.480891690387
2016-04-05,2034.0034201827632
2016-04-06,2050.3954941918546
2016-04-07,2036.2866810124951
2016-04-08,2045.5826173402668
2016-04-11,2041.2779617359777
2016-04-12,2068.8675870138677
2016-04-13,2114.363890674043
2016-04-14,2125.402741840724
2016-04-15,2117.5113263441012
2016-04-18,2116.5560015379356
2016-04-19,2130.048316538082
2016-04-20,2139.572648026604
2016-04-21,2143.9110814066485
2016-04-22,2146.271618724979
2016-04-25,2135.5252551606095
2016-04-26,2132.6371567573706
2016-04-27,2132.9263477193285
2016-04-28,2122.978895045809
2016-04-29,2089.1767761477236
2016-05-02,2082.865061658545
2016-05-03,2059.638156607742
2016-05-04,2046.115085319213
2016-05-05,2059.1858430376174
2016-05-06,2056.4275231795814
2016-05-09,2059.6355932334723
2016-05-10,2083.795457500076
2016-05-11,2067.641568900676
2016-05-12,2069.292916475269
