Date,ACWI ex PHILIPPINES
2015-12-11,2096.2649413057115
2015-12-14,2083.5177073501154
2015-12-15,2122.850720773628
2015-12-16,2147.0367321260446
2015-12-17,2155.1340329413993
2015-12-18,2125.5033406859257
2015-12-21,2117.930605530483
2015-12-22,2122.448774344088
2015-12-23,2166.743867326341
2015-12-24,2154.3140756479256
2015-12-25,2153.5600253861253
2015-12-28,2146.798783389977
2015-12-29,2177.9861962146097
2015-12-30,2163.676319482298
2015-12-31,2158.4581001068273
2016-01-01,2158.4774749103535
2016-01-04,2125.7668113325235
2016-01-05,2142.2066026553252
2016-01-06,2110.1463092010695
2016-01-07,2048.723737704159
2016-01-08,2018.0802276269737
2016-01-11,2018.8406329054646
2016-01-12,2028.8856932123176
2016-01-13,2005.717652862446
2016-01-14,2011.5704733043274
2016-01-15,1954.5960804592355
2016-01-18,1958.7240924322177
2016-01-19,1964.9985084077996
2016-01-20,1926.0874674067277
2016-01-21,1945.4528010028803
2016-01-22,1996.9816352702405
2016-01-25,1978.424439404973
2016-01-26,1990.724093894701
2016-01-27,1983.6222156026727
2016-01-28,1974.4407565801303
2016-01-29,2036.214252180831
2016-02-01,2027.9419226796167
2016-02-02,1990.6720409827763
2016-02-03,1964.5485574652132
2016-02-04,1957.271486306384
2016-02-05,1933.3065527034662
2016-02-08,1902.2647381659613
2016-02-09,1862.851092015061
2016-02-10,1880.3649138915202
2016-02-11,1831.4301485213825
2016-02-12,1867.2194586734358
2016-02-15,1907.958494610215
2016-02-16,1927.807683656709
2016-02-17,1958.9400263330617
2016-02-18,1967.256602532832
2016-02-19,1958.7135540140728
2016-02-22,1998.0059214696803
2016-02-23,1977.4076400772296
2016-02-24,1968.7846946316456
2016-02-25,1989.4200311202128
2016-02-26,2010.8122762398914
2016-02-29,2013.8153968230943
2016-03-01,2051.3963676992685
2016-03-02,2076.889280700647
2016-03-03,2072.507722027418
2016-03-04,2072.5761438503837
2016-03-07,2077.7407224548874
2016-03-08,2046.762362616607
2016-03-09,2060.3782559467168
2016-03-10,2034.6607856472906
2016-03-11,2068.5773341438207
2016-03-14,2080.516119413181
2016-03-15,2066.7202470895336
2016-03-16,2076.6791130523216
2016-03-17,2063.3441631181076
2016-03-18,2073.4442537678983
2016-03-21,2077.9290210798586
2016-03-22,2084.444315299885
2016-03-23,2077.812092780995
2016-03-24,2067.69882684048
2016-03-25,2069.0873931563697
2016-03-28,2064.2722293902802
2016-03-29,2081.1715787095063
2016-03-30,2074.2295124331204
2016-03-31,2062.3048109353876
2016-04-01,2060.0546399989344
2016-04-04,2054.501288161749
2016-04-05,2027.1022236034075
2016-04-06,2043.450408159508
2016-04-07,2029.354073530936
2016-04-08,2038.6476920028424
2016-04-11,2034.3373526253774
2016-04-12,2061.808927293699
2016-04-13,2107.140931967625
2016-04-14,2118.1574007345785
2016-04-15,2110.380966035057
2016-04-18,2109.4745159959634
2016-04-19,2122.9561540442696
2016-04-20,2132.471001879802
2016-04-21,2136.8400460627795
2016-04-22,2139.218573646955
2016-04-25,2128.4975618461517
2016-04-26,2125.6330880951605
2016-04-27,2125.8927991933356
2016-04-28,2115.9722585977734
2016-04-29,2082.2917591601413
2016-05-02,2076.059113837004
2016-05-03,2052.884463436178
2016-05-04,2039.3931870047943
2016-05-05,2052.492608257379
2016-05-06,2049.7469948322855
2016-05-09,2052.9540349545664
2016-05-10,2077.00130537659
2016-05-11,2060.7579646316453
2016-05-12,2062.4676087434746
2016-05-13,2063.30441036062
2016-05-16,2072.213553809169
2016-05-17,2065.120166221547
2016-05-18,2073.25613284873
2016-05-19,2068.866539619246
2016-05-20,2082.574837559965
2016-05-23,2081.5378513722876
2016-05-24,2110.269676070815
2016-05-25,2133.196813274373
2016-05-26,2130.4560866037978
2016-05-27,2146.795656149843
2016-05-30,2146.3386412387217
2016-05-31,2144.908924906818
2016-06-01,2135.293292315961
2016-06-02,2139.7219005838874
2016-06-03,2114.4362725012365
2016-06-06,2118.912164537147
2016-06-07,2133.443907057113
2016-06-08,2133.718454821971
2016-06-09,2133.4799078891697
2016-06-10,2108.7100340565694
2016-06-13,2082.333604865742
2016-06-14,2080.145584954225
2016-06-15,2080.7898383060824
2016-06-16,2088.785989044723
2016-06-17,2080.347475148338
2016-06-20,2100.340639711529
2016-06-21,2119.1439724363063
2016-06-22,2117.399112741598
2016-06-23,2133.3781246279773
2016-06-24,2074.639796962168
2016-06-27,2054.804585608091
2016-06-28,2076.1882461313653
2016-06-29,2112.132764095986
2016-06-30,2136.152763530299
2016-07-01,2141.510258978866
2016-07-04,2142.310951809386
2016-07-05,2127.033098466076
2016-07-06,2125.6478651689954
2016-07-07,2131.464437770354
2016-07-08,2160.766295097567
2016-07-11,2179.6048805593855
2016-07-12,2193.902132352514
2016-07-13,2192.1880282554976
2016-07-14,2204.863759553528
2016-07-15,2209.1027061170034
2016-07-18,2214.688527194511
2016-07-19,2219.028140419808
2016-07-20,2230.3185657289837
2016-07-21,2230.561691951713
2016-07-22,2236.1344036367086
2016-07-25,2233.2655533535712
2016-07-26,2234.042565772679
2016-07-27,2234.4363387830117
2016-07-28,2217.4938130894557
2016-07-29,2213.7441330503907
2016-08-01,2213.5683064710574
2016-08-02,2188.9978624350533
2016-08-03,2193.496952385672
2016-08-04,2207.7545646474805
2016-08-05,2234.4022754861767
2016-08-08,2240.166143047679
2016-08-09,2243.7715290966894
2016-08-10,2233.507625572529
2016-08-11,2242.1555117156763
2016-08-12,2243.2421372431763
2016-08-15,2245.1216727836863
2016-08-16,2223.0065644468987
2016-08-17,2219.600945105012
2016-08-18,2217.221431031539
2016-08-19,2210.7876939760868
2016-08-22,2209.087046874576
2016-08-23,2218.1032220450265
2016-08-24,2221.507136763998
2016-08-25,2211.0093840571667
2016-08-26,2210.848609285674
2016-08-29,2231.551181040832
2016-08-30,2233.4010591923497
2016-08-31,2230.237037831841
2016-09-01,2223.3088590914413
2016-09-02,2244.610177150168
2016-09-05,2254.0051132666995
2016-09-06,2248.8370365340197
2016-09-07,2250.9854094946686
2016-09-08,2241.5958765560135
2016-09-09,2207.4527736364776
2016-09-12,2209.4652185324026
2016-09-13,2180.544826489771
2016-09-14,2176.6132269600844
2016-09-15,2192.6709492842388
2016-09-16,2197.859272629373
2016-09-19,2205.1441199125657
2016-09-20,2208.0881020802535
2016-09-21,2237.4620495094673
2016-09-22,2243.207386274835
2016-09-23,2234.148013511633
2016-09-26,2204.5417403738397
2016-09-27,2225.8999460731384
2016-09-28,2235.6308321287243
2016-09-29,2221.5423391122786
2016-09-30,2224.053150118202
2016-10-03,2227.0441025464775
2016-10-04,2234.3812002448394
2016-10-05,2230.1559476295074
2016-10-06,2233.8817475075243
2016-10-07,2224.7945135272403
2016-10-10,2237.744277753982
2016-10-11,2231.95050061812
2016-10-12,2235.0241219318536
2016-10-13,2221.202076272136
2016-10-14,2233.201352585343
2016-10-17,2228.042829265385
2016-10-18,2251.019833254227
2016-10-19,2260.375783398288
2016-10-20,2265.976055806674
2016-10-21,2273.494613402236
2016-10-24,2278.7832977929756
2016-10-25,2278.0416297212087
2016-10-26,2262.3388357906542
2016-10-27,2254.653850496653
2016-10-28,2247.7209176569136
2016-10-31,2241.387001480148
2016-11-01,2216.040372383969
2016-11-02,2185.035642728856
2016-11-03,2181.8657838229155
2016-11-04,2167.0716302396727
